산업명,코드,테스트_연도,훈련_시작,훈련_끝,n_obs,beta_i,alpha,r2,decay_lambda,granger_p,actual_dM,actual_dF,pred_dF
건설업,F,2015,2012,2014,3,3.427141,-10.190272,0.823854,0.8,,6.243,4.0,11.2055
건설업,F,2016,2012,2015,4,-0.024802,4.305975,0.001307,0.8,,5.2994,7.52,4.1745
건설업,F,2017,2012,2016,5,0.36973,3.319278,0.036077,0.8,0.2086,5.5213,10.26,5.3607
건설업,F,2018,2012,2017,6,1.235925,0.179108,0.120931,0.8,0.3346,3.7607,-0.47,4.827
건설업,F,2019,2012,2018,7,3.018945,-9.728233,0.490738,0.8,0.5136,1.6751,-0.02,-4.6711
건설업,F,2020,2012,2019,8,1.904423,-4.093811,0.566129,0.8,0.4554,0.8758,-0.88,-2.4259
건설업,F,2021,2012,2020,9,1.663852,-2.938321,0.654006,0.8,0.2347,7.9402,6.43,10.273
건설업,F,2022,2012,2021,10,1.190777,-1.739504,0.639028,0.8,0.6249,4.5847,13.73,3.7199
건설업,F,2023,2012,2022,11,1.267989,0.110558,0.279405,0.8,0.1453,3.6538,2.92,4.7435
건설업,F,2024,2012,2023,12,1.324223,-0.519679,0.295336,0.8,0.0805,6.1515,-2.79,7.6263
