회사명,거래소코드,회계년도,상장협코드,대표이사명,본사 주소,종업원,설립일,결산월,사업자등록번호,금감원등록번호,발행주식 액면가(원),발행주식 보통주,발행주식 우선주,외부감사기관,회계감사법인,통계청 한국표준산업분류 코드 11차(대분류),통계청 한국표준산업분류 11차(대분류),통계청 한국표준산업분류 코드 11차(중분류),통계청 한국표준산업분류 11차(중분류),자산총계(요약)(백만원),유동자산(요약)(백만원),당좌자산(요약)(백만원),현금 및 현금성자산(요약)(백만원),단기투자자산(요약)(백만원),단기예금(요약)(백만원),단기매매증권(요약)(백만원),단기대여금(요약)(백만원),기타단기투자자산(요약)(백만원),매출채권(요약)(백만원),*할인어음 또는 배서어음(요약)(백만원),기타당좌자산(요약)(백만원),재고자산(요약)(백만원),상품(요약)(백만원),제품(요약)(백만원),반제품(요약)(백만원),재공품(요약)(백만원),원재료(요약)(백만원),기타재고자산(요약)(백만원),임대주택자산(요약)(백만원),비유동자산(요약)(백만원),투자자산(요약)(백만원),*장기금융상품(요약)(백만원),*투자유가증권(장기투자증권)(요약)(백만원),유형자산(요약)(백만원),토지,건설중인자산,건물,기계장치,차량운반구,렌탈자산,설비자산,무형자산(요약)(백만원),기타비유동자산(요약)(백만원),이연자산(요약)(백만원),부채총계(요약)(백만원),유동부채(요약)(백만원),매입채무(요약)(백만원),단기차입금(요약)(백만원),유동성장기부채(요약)(백만원),기타유동부채(요약)(백만원),비유동부채(요약)(백만원),사채(요약)(백만원),장기차입금(요약)(백만원),제충당금(요약)(백만원),기타비유동부채(요약)(백만원),이연부채(요약)(백만원),자본총계(요약)(백만원),자본금(요약)(백만원),자본잉여금(요약)(백만원),자본조정(요약)(백만원),기타포괄손익누계액(요약)(백만원),이익잉여금(요약)(백만원),*미처분이익잉여금 및 차기이월미처분이익잉여금(요약)(백만원),*당기순이익(요약)(백만원),부채와자본총계(요약)(백만원),매출액(요약)(백만원),매출원가(요약)(백만원),매출총이익(요약)(백만원),판매비와 관리비(요약)(백만원),급료,퇴직급여(요약)(백만원),복리후생비(요약)(백만원),세금과공과(요약)(백만원),임차료(요약)(백만원),감가상각비,연구비,기타 판매비와 관리비(요약)(백만원),영업이익(요약)(백만원),영업외수익(요약)(백만원),이자수익(요약)(백만원),배당금수익(요약)(백만원),외환차익(요약)(백만원),외화환산이익(요약)(백만원),지분법이익(요약)(백만원),기타영업외수익(요약)(백만원),영업외비용(요약)(백만원),이자비용(요약)(백만원),외환차손(요약)(백만원),외화환산손실(요약)(백만원),지분법손실(요약)(백만원),기타영업외비용(요약)(백만원),법인세비용차감전(계속사업)손익(요약)(백만원),(계속사업손익)법인세비용(요약)(백만원),계속사업이익(요약)(백만원),중단사업이익(요약)(백만원),*법인세효과(요약)(백만원),당기순이익(요약)(백만원),주당계속사업이익(요약)(원),주당순이익(요약)(원),희석화주당계속사업이익(요약)(원),희석화주당순이익(요약)(원),CPA수정후 당기순이익(요약)(백만원),*주당경상이익(2007년 이전 발생)(요약)(원),*희석화주당경상이익(2007년 이전 발생)(요약)(원),영업활동으로 인한 현금흐름(요약)(백만원),당기순이익(요약)(백만원).1,현금의 유출이 없는 비용 등 가산(요약)(백만원),*감가상각비,*전기오류수정손익(요약)(백만원),현금의 유입이없는 수익등의 차감(요약)(백만원),*전기오류수정손익(요약)(백만원).1,영업활동으로 인한 자산 및 부채의변동(요약)(백만원),영업활동으로 인한 자산의 감소(증가)(요약)(백만원),영업활동으로 인한 부채의 증가(감소)(요약)(백만원),투자활동으로 인한 현금흐름(요약)(백만원),투자활동으로 인한 현금유입액(요약)(백만원),투자활동으로 인한 현금유출액(요약)(백만원),재무활동으로 인한 현금흐름(요약)(백만원),재무활동으로 인한 현금유입액(요약)(백만원),재무활동으로 인한 현금유출액(요약)(백만원),영업,합병분할(영업양수도)으로 인한 증가(감소)(요약)(백만원),환율변동으로 인한 차이조정(요약)(백만원),현금의 증가(감소)(요약)(백만원),기초현금(요약)(백만원),기말현금(요약)(백만원),현금등가물(요약)(백만원),현금의 수입과 지출이 없는 거래(요약)(백만원),M코드
(주)MH에탄올,023150,2010/12,873,"최동호, 김일환",경남 창원시 마산회원구 내서읍 광려천남로 25,55,1978/07/04,12,608-81-03800,121534,500,7378526,0,안경회계법인,한영회계법인,11,제조업,11,음료 제조업,114576.0,36086.0,31888.0,87.0,22546.0,19115.0,0.0,3431.0,0.0,7483.0,0.0,1772.0,4198.0,0.0,1337.0,0.0,201.0,1998.0,663.0,0.0,78490.0,38961.0,452.0,38509.0,36838.0,25138.0,49.0,10741.0,795.0,52.0,0.0,64.0,152.0,2539.0,0.0,72006.0,63879.0,268.0,60309.0,875.0,2427.0,8127.0,0.0,4292.0,2969.0,866.0,0.0,42570.0,4408.0,10167.0,0.0,14334.0,13661.0,12184.0,-1208.0,114576.0,43305.0,32333.0,10971.0,3672.0,1881.0,107.0,177.0,328.0,57.0,269.0,0.0,854.0,7299.0,3369.0,1191.0,197.0,1.0,0.0,0.0,1979.0,10630.0,3971.0,3.0,565.0,5865.0,226.0,38.0,1246.0,-1208.0,0.0,0.0,-1208.0,-173.0,-173.0,0.0,0.0,-1208.0,0.0,0.0,2763.0,-1208.0,8633.0,1676.0,0.0,1936.0,0.0,-2727.0,-3405.0,678.0,-7796.0,29903.0,37699.0,4859.0,55065.0,50206.0,0.0,0.0,0.0,-174.0,261.0,87.0,0.0,6325.0,M03
(주)MH에탄올,023150,2011/12,873,"최동호, 김일환",경남 창원시 마산회원구 내서읍 광려천남로 25,55,1978/07/04,12,608-81-03800,121534,500,7378526,0,안경회계법인,안진회계법인,11,제조업,11,음료 제조업,135927.0,26253.0,21711.0,885.0,10565.0,10565.0,0.0,0.0,0.0,8749.0,0.0,1512.0,4542.0,0.0,2065.0,0.0,258.0,1909.0,310.0,0.0,109674.0,69988.0,3.0,3401.0,35173.0,24693.0,0.0,9409.0,965.0,41.0,0.0,65.0,4285.0,228.0,0.0,79766.0,66483.0,0.0,63016.0,1203.0,2264.0,13283.0,0.0,8089.0,0.0,5194.0,0.0,56161.0,4408.0,2340.0,0.0,0.0,49414.0,47937.0,3352.0,135927.0,43207.0,32716.0,10491.0,3595.0,1787.0,63.0,206.0,325.0,37.0,247.0,0.0,930.0,6896.0,2629.0,1631.0,197.0,53.0,640.0,0.0,107.0,5012.0,4593.0,254.0,70.0,0.0,95.0,4513.0,1161.0,3352.0,0.0,0.0,3352.0,479.0,479.0,0.0,0.0,3352.0,0.0,0.0,4202.0,3352.0,7214.0,1080.0,0.0,2489.0,0.0,-3875.0,-3189.0,-686.0,-8074.0,43509.0,51583.0,4670.0,60498.0,55827.0,0.0,0.0,0.0,798.0,87.0,885.0,0.0,0.0,M03
(주)MH에탄올,023150,2012/12,873,"최동호, 김일환",경남 창원시 마산회원구 내서읍 광려천남로 25,55,1978/07/04,12,608-81-03800,121534,500,7378526,0,안경회계법인,안진회계법인,11,제조업,11,음료 제조업,139201.0,23100.0,17794.0,2.0,7450.0,7450.0,0.0,0.0,0.0,10110.0,0.0,232.0,5306.0,0.0,622.0,0.0,257.0,2675.0,1752.0,0.0,116101.0,77256.0,88.0,3701.0,34423.0,24693.0,0.0,8922.0,757.0,12.0,0.0,39.0,4229.0,192.0,0.0,80488.0,67403.0,0.0,64484.0,476.0,2443.0,13085.0,0.0,7613.0,267.0,5205.0,0.0,58713.0,4408.0,2340.0,0.0,0.0,51965.0,50488.0,2572.0,139201.0,45489.0,35478.0,10010.0,3492.0,1790.0,74.0,159.0,346.0,34.0,180.0,0.0,909.0,6519.0,1724.0,1163.0,0.0,0.0,0.0,0.0,560.0,4926.0,3983.0,0.0,0.0,0.0,943.0,3316.0,745.0,2572.0,0.0,0.0,2572.0,367.0,367.0,0.0,0.0,2572.0,0.0,0.0,2789.0,2572.0,6246.0,953.0,0.0,1505.0,0.0,-4523.0,-4466.0,-57.0,-4116.0,11640.0,15756.0,445.0,48202.0,47757.0,0.0,0.0,0.0,-883.0,885.0,2.0,0.0,0.0,M03
(주)MH에탄올,023150,2013/12,873,"최동호, 김일환",경남 창원시 마산회원구 내서읍 광려천남로 25,55,1978/07/04,12,608-81-03800,121534,500,7378526,0,안경회계법인,안진회계법인,11,제조업,11,음료 제조업,122521.0,25869.0,19774.0,47.0,8780.0,8780.0,0.0,0.0,0.0,10665.0,0.0,282.0,6095.0,0.0,964.0,0.0,280.0,2837.0,2013.0,0.0,96652.0,55433.0,576.0,3701.0,34124.0,24714.0,69.0,8747.0,550.0,2.0,0.0,42.0,4206.0,2889.0,0.0,75401.0,67843.0,0.0,62913.0,1497.0,3433.0,7558.0,0.0,7182.0,149.0,227.0,0.0,47120.0,4408.0,2399.0,0.0,0.0,40314.0,38837.0,-11627.0,122521.0,46299.0,33248.0,13051.0,3400.0,1763.0,93.0,172.0,335.0,22.0,117.0,0.0,899.0,9650.0,312.0,257.0,0.0,0.0,0.0,0.0,55.0,27911.0,2809.0,0.0,0.0,0.0,25103.0,-17949.0,-6322.0,-11627.0,0.0,0.0,-11627.0,-1661.0,-1661.0,0.0,0.0,-11627.0,0.0,0.0,5638.0,-11627.0,29034.0,850.0,0.0,6598.0,0.0,-5170.0,-4917.0,-253.0,-4647.0,21518.0,26164.0,-947.0,48466.0,49413.0,0.0,0.0,0.0,45.0,2.0,47.0,0.0,0.0,M03
(주)MH에탄올,023150,2014/12,873,"최동호, 김일환",경남 창원시 마산회원구 내서읍 광려천남로 25,55,1978/07/04,12,608-81-03800,121534,500,7378526,0,안경회계법인,안경회계법인,11,제조업,11,음료 제조업,85254.0,28019.0,21032.0,5.0,10300.0,8750.0,0.0,1550.0,0.0,10380.0,0.0,348.0,6987.0,0.0,190.0,0.0,278.0,3384.0,3135.0,0.0,57235.0,12353.0,618.0,11067.0,36083.0,24714.0,486.0,8989.0,1689.0,119.0,0.0,86.0,4575.0,4224.0,0.0,32746.0,31619.0,0.0,28450.0,226.0,2943.0,1127.0,0.0,732.0,238.0,156.0,0.0,52508.0,4597.0,3323.0,0.0,0.0,44588.0,43111.0,4618.0,85254.0,48984.0,37110.0,11874.0,3127.0,1705.0,76.0,189.0,226.0,24.0,97.0,0.0,810.0,8747.0,934.0,311.0,0.0,0.0,0.0,0.0,623.0,5416.0,1556.0,0.0,0.0,0.0,3860.0,4265.0,-353.0,4618.0,0.0,0.0,4618.0,640.0,640.0,626.0,626.0,0.0,0.0,0.0,5126.0,4618.0,6241.0,828.0,0.0,1265.0,0.0,-4468.0,-4623.0,155.0,35175.0,53350.0,18175.0,-40343.0,1050.0,41394.0,0.0,0.0,0.0,-43.0,47.0,5.0,0.0,0.0,M03
(주)MH에탄올,023150,2015/12,873,"최동호, 김일환",경남 창원시 마산회원구 내서읍 광려천남로 25,55,1978/07/04,12,608-81-03800,121534,500,7378526,0,안경회계법인,안경회계법인,11,제조업,11,음료 제조업,78691.0,21759.0,18156.0,3152.0,3700.0,3700.0,0.0,0.0,0.0,11080.0,0.0,224.0,3603.0,0.0,539.0,0.0,288.0,2489.0,287.0,0.0,56933.0,13603.0,780.0,10396.0,36846.0,24714.0,268.0,9467.0,2127.0,126.0,0.0,144.0,4581.0,1903.0,0.0,21122.0,20538.0,0.0,18000.0,136.0,2403.0,583.0,0.0,484.0,0.0,99.0,0.0,57570.0,4597.0,3323.0,-894.0,0.0,50544.0,48919.0,7745.0,78691.0,50386.0,36425.0,13961.0,2867.0,1668.0,93.0,210.0,211.0,35.0,110.0,0.0,541.0,11094.0,769.0,248.0,0.0,0.0,0.0,0.0,521.0,1873.0,874.0,0.0,0.0,0.0,999.0,9990.0,2245.0,7745.0,0.0,0.0,7745.0,1059.0,1059.0,0.0,0.0,0.0,0.0,0.0,13354.0,7745.0,5465.0,1134.0,0.0,482.0,0.0,626.0,2086.0,-1460.0,2921.0,10958.0,8037.0,-13158.0,3000.0,16158.0,0.0,0.0,30.0,3147.0,5.0,3152.0,0.0,0.0,M03
(주)MH에탄올,023150,2016/12,873,"최동호, 김일환",경남 창원시 마산회원구 내서읍 광려천남로 25,55,1978/07/04,12,608-81-03800,121534,500,7378526,0,안경회계법인,안경회계법인,11,제조업,11,음료 제조업,72025.0,18956.0,13417.0,1357.0,1813.0,0.0,0.0,1813.0,0.0,9965.0,0.0,283.0,5539.0,0.0,1806.0,0.0,283.0,2340.0,1109.0,0.0,53069.0,11132.0,1376.0,9087.0,37391.0,24714.0,403.0,9895.0,2064.0,231.0,0.0,85.0,4512.0,34.0,0.0,8768.0,7641.0,0.0,5000.0,136.0,2505.0,1127.0,0.0,348.0,185.0,594.0,0.0,63258.0,4597.0,3323.0,-1440.0,0.0,56778.0,54968.0,8135.0,72025.0,48897.0,33962.0,14935.0,3058.0,1883.0,72.0,217.0,228.0,1.0,142.0,0.0,515.0,11877.0,365.0,306.0,0.0,0.0,0.0,0.0,59.0,1802.0,404.0,0.0,0.0,0.0,1398.0,10440.0,2305.0,8135.0,0.0,0.0,8135.0,1128.0,1128.0,0.0,0.0,0.0,0.0,0.0,12230.0,8135.0,5589.0,1168.0,0.0,284.0,0.0,-1210.0,-1135.0,-75.0,1477.0,3825.0,2348.0,-15502.0,0.0,15502.0,0.0,0.0,0.0,-1795.0,3152.0,1357.0,0.0,0.0,M03
(주)MH에탄올,023150,2017/12,873,"최동호, 김일환",경남 창원시 마산회원구 내서읍 광려천남로 25,55,1978/07/04,12,608-81-03800,121534,500,7378526,0,안경회계법인,안경회계법인,11,제조업,11,음료 제조업,107437.0,18235.0,12733.0,761.0,1253.0,1253.0,0.0,0.0,0.0,10590.0,0.0,129.0,5503.0,0.0,1642.0,0.0,289.0,1523.0,2048.0,0.0,89202.0,45154.0,2.0,7313.0,39419.0,24714.0,333.0,11530.0,2310.0,487.0,0.0,44.0,4617.0,13.0,0.0,42738.0,15541.0,0.0,11203.0,136.0,4202.0,27197.0,0.0,25213.0,500.0,1485.0,0.0,64699.0,4597.0,3323.0,-3534.0,0.0,60313.0,58283.0,5903.0,107437.0,48270.0,34577.0,13693.0,3240.0,1854.0,80.0,173.0,231.0,1.0,170.0,0.0,731.0,10453.0,502.0,380.0,0.0,0.0,0.0,0.0,122.0,2635.0,314.0,0.0,0.0,0.0,2321.0,8320.0,2417.0,5903.0,0.0,0.0,5903.0,824.0,824.0,0.0,0.0,0.0,0.0,0.0,10756.0,5903.0,6677.0,1349.0,0.0,405.0,0.0,-1420.0,-549.0,-870.0,-38164.0,4469.0,42633.0,26812.0,54260.0,27449.0,0.0,0.0,0.0,-596.0,1357.0,761.0,0.0,0.0,M03
(주)MH에탄올,023150,2018/12,873,"최동호, 김일환",경남 창원시 마산회원구 내서읍 광려천남로 25,55,1978/07/04,12,608-81-03800,121534,500,7378526,0,안경회계법인,안경회계법인,11,제조업,11,음료 제조업,109657.0,18385.0,11955.0,5.0,1600.0,800.0,0.0,800.0,0.0,10266.0,0.0,84.0,6430.0,0.0,2174.0,0.0,282.0,1805.0,2170.0,0.0,91272.0,45974.0,2.0,8559.0,40586.0,24714.0,52.0,13372.0,2068.0,361.0,0.0,20.0,4617.0,95.0,0.0,41185.0,13741.0,0.0,10482.0,0.0,3259.0,27444.0,0.0,25077.0,888.0,1479.0,0.0,68472.0,4597.0,3323.0,-4621.0,-5177.0,70349.0,68051.0,6553.0,109657.0,46943.0,34331.0,12612.0,3583.0,1992.0,118.0,202.0,249.0,35.0,187.0,0.0,801.0,9029.0,512.0,186.0,220.0,3.0,74.0,0.0,27.0,1288.0,1034.0,0.0,0.0,0.0,254.0,8252.0,1699.0,6553.0,0.0,0.0,6553.0,955.0,955.0,0.0,0.0,6553.0,,,6669.0,6553.0,4700.0,1338.0,0.0,481.0,0.0,-4104.0,-3919.0,-185.0,-2930.0,1687.0,4617.0,-4495.0,48031.0,52526.0,0.0,0.0,0.0,-756.0,761.0,5.0,0.0,0.0,M03
(주)MH에탄올,023150,2019/12,873,"최동호, 김일환",경남 창원시 마산회원구 내서읍 광려천남로 25,55,1978/07/04,12,608-81-03800,121534,500,7378526,0,안경회계법인,안경회계법인,11,제조업,11,음료 제조업,101059.0,18130.0,10049.0,2.0,800.0,800.0,0.0,0.0,0.0,9125.0,0.0,123.0,8081.0,0.0,2297.0,0.0,324.0,2682.0,2778.0,0.0,82928.0,37267.0,60.0,8235.0,41121.0,24714.0,150.0,13994.0,2012.0,240.0,0.0,11.0,4512.0,28.0,0.0,41581.0,14252.0,0.0,10693.0,0.0,3559.0,27329.0,0.0,25000.0,1003.0,1327.0,0.0,59478.0,4597.0,3323.0,-5886.0,-5477.0,62921.0,60388.0,-5005.0,101059.0,46992.0,35416.0,11577.0,3748.0,2123.0,148.0,250.0,227.0,39.0,2443.0,0.0,782.0,7829.0,352.0,83.0,219.0,0.0,0.0,0.0,49.0,11624.0,1032.0,0.0,0.0,0.0,10593.0,-3444.0,1561.0,-5005.0,0.0,0.0,-5005.0,-752.0,-752.0,0.0,0.0,-5005.0,,,6418.0,-5005.0,15213.0,1530.0,0.0,304.0,0.0,-3486.0,-3100.0,-387.0,-2941.0,1901.0,4842.0,-3480.0,49731.0,53211.0,0.0,0.0,0.0,-3.0,5.0,2.0,0.0,0.0,M03
