회사명,거래소코드,회계년도,상장협코드,대표이사명,본사 주소,종업원,설립일,결산월,사업자등록번호,금감원등록번호,발행주식 액면가(원),발행주식 보통주,발행주식 우선주,외부감사기관,회계감사법인,통계청 한국표준산업분류 코드 11차(대분류),통계청 한국표준산업분류 11차(대분류),통계청 한국표준산업분류 코드 11차(중분류),통계청 한국표준산업분류 11차(중분류),자산총계(요약)(백만원),유동자산(요약)(백만원),당좌자산(요약)(백만원),현금 및 현금성자산(요약)(백만원),단기투자자산(요약)(백만원),단기예금(요약)(백만원),단기매매증권(요약)(백만원),단기대여금(요약)(백만원),기타단기투자자산(요약)(백만원),매출채권(요약)(백만원),*할인어음 또는 배서어음(요약)(백만원),기타당좌자산(요약)(백만원),재고자산(요약)(백만원),상품(요약)(백만원),제품(요약)(백만원),반제품(요약)(백만원),재공품(요약)(백만원),원재료(요약)(백만원),기타재고자산(요약)(백만원),임대주택자산(요약)(백만원),비유동자산(요약)(백만원),투자자산(요약)(백만원),*장기금융상품(요약)(백만원),*투자유가증권(장기투자증권)(요약)(백만원),유형자산(요약)(백만원),토지,건설중인자산,건물,기계장치,차량운반구,렌탈자산,설비자산,무형자산(요약)(백만원),기타비유동자산(요약)(백만원),이연자산(요약)(백만원),부채총계(요약)(백만원),유동부채(요약)(백만원),매입채무(요약)(백만원),단기차입금(요약)(백만원),유동성장기부채(요약)(백만원),기타유동부채(요약)(백만원),비유동부채(요약)(백만원),사채(요약)(백만원),장기차입금(요약)(백만원),제충당금(요약)(백만원),기타비유동부채(요약)(백만원),이연부채(요약)(백만원),자본총계(요약)(백만원),자본금(요약)(백만원),자본잉여금(요약)(백만원),자본조정(요약)(백만원),기타포괄손익누계액(요약)(백만원),이익잉여금(요약)(백만원),*미처분이익잉여금 및 차기이월미처분이익잉여금(요약)(백만원),*당기순이익(요약)(백만원),부채와자본총계(요약)(백만원),매출액(요약)(백만원),매출원가(요약)(백만원),매출총이익(요약)(백만원),판매비와 관리비(요약)(백만원),급료,퇴직급여(요약)(백만원),복리후생비(요약)(백만원),세금과공과(요약)(백만원),임차료(요약)(백만원),감가상각비,연구비,기타 판매비와 관리비(요약)(백만원),영업이익(요약)(백만원),영업외수익(요약)(백만원),이자수익(요약)(백만원),배당금수익(요약)(백만원),외환차익(요약)(백만원),외화환산이익(요약)(백만원),지분법이익(요약)(백만원),기타영업외수익(요약)(백만원),영업외비용(요약)(백만원),이자비용(요약)(백만원),외환차손(요약)(백만원),외화환산손실(요약)(백만원),지분법손실(요약)(백만원),기타영업외비용(요약)(백만원),법인세비용차감전(계속사업)손익(요약)(백만원),(계속사업손익)법인세비용(요약)(백만원),계속사업이익(요약)(백만원),중단사업이익(요약)(백만원),*법인세효과(요약)(백만원),당기순이익(요약)(백만원),주당계속사업이익(요약)(원),주당순이익(요약)(원),희석화주당계속사업이익(요약)(원),희석화주당순이익(요약)(원),CPA수정후 당기순이익(요약)(백만원),*주당경상이익(2007년 이전 발생)(요약)(원),*희석화주당경상이익(2007년 이전 발생)(요약)(원),영업활동으로 인한 현금흐름(요약)(백만원),당기순이익(요약)(백만원).1,현금의 유출이 없는 비용 등 가산(요약)(백만원),*감가상각비,*전기오류수정손익(요약)(백만원),현금의 유입이없는 수익등의 차감(요약)(백만원),*전기오류수정손익(요약)(백만원).1,영업활동으로 인한 자산 및 부채의변동(요약)(백만원),영업활동으로 인한 자산의 감소(증가)(요약)(백만원),영업활동으로 인한 부채의 증가(감소)(요약)(백만원),투자활동으로 인한 현금흐름(요약)(백만원),투자활동으로 인한 현금유입액(요약)(백만원),투자활동으로 인한 현금유출액(요약)(백만원),재무활동으로 인한 현금흐름(요약)(백만원),재무활동으로 인한 현금유입액(요약)(백만원),재무활동으로 인한 현금유출액(요약)(백만원),영업,합병분할(영업양수도)으로 인한 증가(감소)(요약)(백만원),환율변동으로 인한 차이조정(요약)(백만원),현금의 증가(감소)(요약)(백만원),기초현금(요약)(백만원),기말현금(요약)(백만원),현금등가물(요약)(백만원),현금의 수입과 지출이 없는 거래(요약)(백만원),M코드
(주)에스엠라이프디자인그룹,063440,2010/12,5828,"남화민, 박준영",경기도 파주시 직지길 376,34,1998/12/29,12,113-81-50713,367604,500,46029154,0,대주회계법인,삼일회계법인,18,제조업,18,인쇄 및 기록매체 복제업,35711.0,9095.0,8998.0,2970.0,803.0,788.0,0.0,0.0,15.0,3894.0,0.0,1331.0,97.0,33.0,0.0,0.0,17.0,47.0,0.0,0.0,26616.0,2993.0,113.0,2880.0,21527.0,11641.0,0.0,9688.0,148.0,26.0,0.0,24.0,11.0,2085.0,0.0,11247.0,8078.0,3764.0,3500.0,82.0,732.0,3169.0,0.0,0.0,1.0,3169.0,0.0,24463.0,5360.0,15099.0,-2435.0,4476.0,1963.0,-8701.0,-8760.0,35711.0,22594.0,20280.0,2314.0,7855.0,1787.0,188.0,402.0,45.0,0.0,329.0,0.0,5104.0,-5541.0,515.0,188.0,0.0,163.0,37.0,0.0,128.0,3832.0,209.0,137.0,0.0,616.0,2870.0,-8858.0,-98.0,-8760.0,0.0,0.0,-8760.0,-887.0,-887.0,0.0,0.0,-8760.0,0.0,0.0,-2385.0,-8760.0,4397.0,638.0,0.0,129.0,0.0,2107.0,1928.0,179.0,2033.0,3329.0,1296.0,802.0,1200.0,398.0,0.0,0.0,0.0,451.0,2519.0,2970.0,0.0,433.0,M06
(주)에스엠라이프디자인그룹,063440,2011/12,5828,"남화민, 박준영",경기도 파주시 직지길 376,34,1998/12/29,12,113-81-50713,367604,500,46029154,0,대주회계법인,삼일회계법인,18,제조업,18,인쇄 및 기록매체 복제업,37119.0,9577.0,9139.0,2991.0,788.0,0.0,0.0,0.0,788.0,3959.0,0.0,1401.0,438.0,33.0,312.0,0.0,20.0,73.0,0.0,0.0,27541.0,9587.0,0.0,1176.0,16107.0,6733.0,2618.0,6371.0,285.0,40.0,0.0,60.0,556.0,1292.0,0.0,8865.0,6933.0,2825.0,3500.0,0.0,608.0,1933.0,0.0,0.0,29.0,1904.0,0.0,28254.0,5360.0,15261.0,-744.0,0.0,8377.0,6463.0,392.0,37119.0,21202.0,13618.0,7584.0,5676.0,1671.0,171.0,464.0,42.0,0.0,307.0,0.0,3021.0,1908.0,403.0,233.0,4.0,94.0,12.0,0.0,60.0,1920.0,274.0,100.0,11.0,230.0,1305.0,392.0,0.0,392.0,0.0,0.0,392.0,42.0,42.0,0.0,0.0,392.0,0.0,0.0,994.0,392.0,2647.0,517.0,0.0,267.0,0.0,-1777.0,-208.0,-1569.0,-2844.0,172.0,3016.0,1871.0,1953.0,82.0,0.0,0.0,0.0,21.0,2970.0,2991.0,0.0,0.0,M06
(주)에스엠라이프디자인그룹,063440,2012/12,5828,"남화민, 박준영",경기도 파주시 직지길 376,34,1998/12/29,12,113-81-50713,367604,500,46029154,0,대주회계법인,삼일회계법인,18,제조업,18,인쇄 및 기록매체 복제업,30675.0,5192.0,5043.0,1306.0,788.0,788.0,0.0,0.0,0.0,1676.0,0.0,1274.0,148.0,75.0,0.0,0.0,16.0,57.0,0.0,0.0,25484.0,8876.0,0.0,1045.0,15829.0,6733.0,0.0,6080.0,2923.0,39.0,0.0,53.0,633.0,146.0,0.0,7480.0,5430.0,1687.0,3500.0,0.0,243.0,2050.0,0.0,0.0,171.0,1879.0,0.0,23195.0,5360.0,15261.0,-744.0,0.0,3319.0,1405.0,-4780.0,30675.0,17340.0,13340.0,4000.0,6713.0,1739.0,141.0,697.0,49.0,0.0,313.0,0.0,3773.0,-2713.0,200.0,96.0,0.0,77.0,0.0,0.0,26.0,2267.0,246.0,168.0,18.0,456.0,1379.0,-4780.0,0.0,-4780.0,0.0,0.0,-4780.0,-489.0,-489.0,0.0,0.0,-4780.0,0.0,0.0,-1209.0,-4780.0,3007.0,747.0,0.0,97.0,0.0,662.0,2461.0,-1800.0,-477.0,1.0,478.0,0.0,0.0,0.0,0.0,0.0,0.0,-1686.0,2991.0,1306.0,0.0,0.0,M06
(주)에스엠라이프디자인그룹,063440,2013/12,5828,"남화민, 박준영",경기도 파주시 직지길 376,34,1998/12/29,12,113-81-50713,367604,500,46029154,0,대주회계법인,삼일회계법인,18,제조업,18,인쇄 및 기록매체 복제업,37878.0,16420.0,16146.0,2266.0,11031.0,11031.0,0.0,0.0,0.0,1847.0,0.0,1002.0,274.0,213.0,0.0,0.0,6.0,55.0,0.0,0.0,21457.0,5467.0,0.0,612.0,15371.0,6733.0,0.0,5790.0,2783.0,23.0,0.0,42.0,565.0,54.0,0.0,18457.0,17222.0,1178.0,6000.0,0.0,10044.0,1235.0,0.0,0.0,120.0,1115.0,0.0,19420.0,5879.0,16600.0,-744.0,0.0,-2314.0,-4228.0,-5662.0,37878.0,14817.0,11076.0,3741.0,6284.0,1802.0,230.0,548.0,70.0,0.0,321.0,0.0,3314.0,-2543.0,1018.0,157.0,0.0,22.0,0.0,0.0,838.0,3071.0,894.0,152.0,11.0,0.0,2014.0,-4596.0,1066.0,-5662.0,0.0,0.0,-5662.0,-564.0,-564.0,0.0,0.0,-5662.0,0.0,0.0,-2806.0,-5662.0,5400.0,985.0,0.0,943.0,0.0,-1600.0,-846.0,-754.0,-8188.0,9214.0,17403.0,11954.0,20428.0,8474.0,0.0,0.0,0.0,960.0,1306.0,2266.0,0.0,0.0,M06
(주)에스엠라이프디자인그룹,063440,2014/12,5828,"남화민, 박준영",경기도 파주시 직지길 376,34,1998/12/29,12,113-81-50713,367604,500,46029154,0,대주회계법인,삼일회계법인,18,제조업,18,인쇄 및 기록매체 복제업,24914.0,7525.0,6884.0,2245.0,8.0,8.0,0.0,0.0,0.0,4086.0,0.0,545.0,641.0,339.0,234.0,0.0,26.0,42.0,0.0,0.0,17389.0,1862.0,0.0,852.0,14939.0,6733.0,0.0,5499.0,2672.0,11.0,0.0,23.0,558.0,29.0,0.0,9754.0,8420.0,2325.0,5700.0,0.0,395.0,1334.0,0.0,0.0,250.0,1084.0,0.0,15160.0,7655.0,19424.0,-744.0,-41.0,-11134.0,-13048.0,-6359.0,24914.0,17802.0,12715.0,5087.0,4761.0,1675.0,223.0,353.0,46.0,0.0,306.0,0.0,2159.0,326.0,353.0,181.0,0.0,23.0,2.0,0.0,147.0,7011.0,722.0,58.0,4.0,6227.0,0.0,-6332.0,26.0,-6359.0,0.0,0.0,-6359.0,-499.0,-499.0,0.0,0.0,0.0,0.0,0.0,174.0,-6359.0,8222.0,958.0,0.0,303.0,0.0,-1387.0,-2471.0,1084.0,5540.0,11158.0,5618.0,-5734.0,4601.0,10335.0,0.0,0.0,0.0,-21.0,2266.0,2245.0,0.0,0.0,M06
(주)에스엠라이프디자인그룹,063440,2015/12,5828,"남화민, 박준영",경기도 파주시 직지길 376,34,1998/12/29,12,113-81-50713,367604,500,46029154,0,대주회계법인,성운회계법인,18,제조업,18,인쇄 및 기록매체 복제업,22277.0,5886.0,5222.0,2399.0,24.0,24.0,0.0,0.0,0.0,2398.0,0.0,401.0,664.0,84.0,372.0,0.0,130.0,78.0,0.0,0.0,16391.0,2758.0,0.0,1017.0,13144.0,6073.0,182.0,4688.0,2127.0,49.0,0.0,26.0,468.0,21.0,0.0,8971.0,7417.0,2302.0,4750.0,0.0,365.0,1554.0,0.0,0.0,446.0,1108.0,0.0,13306.0,9642.0,23036.0,-744.0,-25.0,-18603.0,-20517.0,-7469.0,22277.0,11203.0,8913.0,2290.0,4029.0,1521.0,213.0,395.0,44.0,0.0,333.0,0.0,1523.0,-1739.0,62.0,25.0,0.0,2.0,5.0,0.0,30.0,5803.0,214.0,1.0,0.0,5499.0,90.0,-7481.0,-12.0,-7469.0,0.0,0.0,-7469.0,-460.0,-460.0,0.0,0.0,0.0,0.0,0.0,1080.0,-7469.0,7858.0,1029.0,0.0,58.0,0.0,749.0,877.0,-129.0,-5601.0,241.0,5842.0,4674.0,5624.0,950.0,0.0,0.0,0.0,154.0,2245.0,2399.0,0.0,0.0,M06
(주)에스엠라이프디자인그룹,063440,2016/12,5828,"남화민, 박준영",경기도 파주시 직지길 376,34,1998/12/29,12,113-81-50713,367604,500,46029154,0,대주회계법인,성운회계법인,18,제조업,18,인쇄 및 기록매체 복제업,43573.0,24609.0,24282.0,2051.0,16090.0,16090.0,0.0,0.0,0.0,1593.0,0.0,4548.0,327.0,0.0,16.0,0.0,83.0,103.0,125.0,0.0,18964.0,1657.0,0.0,450.0,12740.0,6073.0,0.0,4425.0,2015.0,41.0,0.0,186.0,1790.0,2777.0,0.0,3264.0,1614.0,1035.0,0.0,0.0,579.0,1650.0,0.0,0.0,540.0,1109.0,0.0,40309.0,19514.0,43714.0,-704.0,83.0,-22298.0,-24212.0,-3569.0,43573.0,11371.0,7887.0,3484.0,5885.0,2334.0,192.0,445.0,42.0,31.0,384.0,0.0,2458.0,-2401.0,2870.0,33.0,0.0,5.0,0.0,0.0,2831.0,4014.0,104.0,0.0,0.0,2838.0,1072.0,-3545.0,24.0,-3569.0,0.0,0.0,-3569.0,-120.0,-120.0,0.0,0.0,0.0,0.0,0.0,-7684.0,-3569.0,5576.0,1108.0,0.0,2845.0,0.0,-6845.0,-5450.0,-1395.0,-18463.0,3949.0,22412.0,25800.0,30550.0,4750.0,0.0,0.0,0.0,-347.0,2399.0,2051.0,0.0,0.0,M06
(주)에스엠라이프디자인그룹,063440,2017/12,5828,"남화민, 박준영",경기도 파주시 직지길 376,34,1998/12/29,12,113-81-50713,367604,500,46029154,0,대주회계법인,성운회계법인,18,제조업,18,인쇄 및 기록매체 복제업,44234.0,23801.0,23554.0,3167.0,500.0,0.0,0.0,500.0,0.0,1899.0,0.0,17989.0,247.0,0.0,84.0,0.0,39.0,124.0,0.0,0.0,20433.0,5465.0,0.0,2363.0,12061.0,5771.0,0.0,3886.0,2161.0,135.0,0.0,108.0,394.0,2514.0,0.0,2727.0,1407.0,860.0,0.0,0.0,547.0,1320.0,0.0,0.0,339.0,981.0,0.0,41507.0,19514.0,43714.0,-419.0,75.0,-21377.0,-23290.0,768.0,44234.0,31503.0,24678.0,6825.0,5204.0,2663.0,213.0,525.0,51.0,94.0,443.0,0.0,1217.0,1621.0,375.0,122.0,0.0,6.0,0.0,0.0,247.0,1417.0,2.0,48.0,21.0,842.0,504.0,579.0,-189.0,768.0,0.0,0.0,768.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,3881.0,768.0,4419.0,2529.0,0.0,538.0,0.0,-768.0,-229.0,-539.0,-2796.0,20164.0,22960.0,30.0,30.0,0.0,0.0,0.0,0.0,1115.0,2051.0,3167.0,0.0,0.0,M06
(주)에스엠라이프디자인그룹,063440,2018/12,5828,"남화민, 박준영",경기도 파주시 직지길 376,34,1998/12/29,12,113-81-50713,367604,500,46029154,0,대주회계법인,삼일회계법인,18,제조업,18,인쇄 및 기록매체 복제업,55274.0,36691.0,36365.0,3064.0,2657.0,0.0,0.0,275.0,2382.0,2206.0,0.0,28437.0,326.0,0.0,113.0,0.0,88.0,125.0,0.0,0.0,18583.0,2989.0,0.0,268.0,12281.0,6073.0,0.0,3899.0,2169.0,85.0,0.0,56.0,441.0,2872.0,0.0,5127.0,3891.0,2711.0,0.0,0.0,1181.0,1236.0,0.0,0.0,152.0,1084.0,0.0,50147.0,22455.0,50404.0,611.0,-493.0,-22830.0,-24744.0,-1958.0,55274.0,20031.0,15250.0,4781.0,5323.0,2978.0,177.0,489.0,51.0,83.0,352.0,0.0,1192.0,-541.0,307.0,230.0,0.0,23.0,0.0,0.0,55.0,1428.0,2.0,5.0,2.0,618.0,801.0,-1662.0,180.0,-1843.0,-116.0,0.0,-1958.0,-44.0,-47.0,0.0,0.0,-1958.0,,,3797.0,-1958.0,3793.0,1134.0,0.0,349.0,0.0,2312.0,393.0,1919.0,-13827.0,3679.0,17506.0,9928.0,9983.0,55.0,0.0,0.0,0.0,-103.0,3167.0,3064.0,0.0,0.0,M06
(주)에스엠라이프디자인그룹,063440,2019/12,5828,"남화민, 박준영",경기도 파주시 직지길 376,34,1998/12/29,12,113-81-50713,367604,500,46029154,0,대주회계법인,삼일회계법인,18,제조업,18,인쇄 및 기록매체 복제업,53864.0,35046.0,34904.0,7360.0,0.0,0.0,0.0,0.0,0.0,3885.0,0.0,23659.0,142.0,0.0,125.0,0.0,5.0,12.0,0.0,0.0,18818.0,7253.0,0.0,268.0,9078.0,5185.0,0.0,2843.0,886.0,34.0,70.0,62.0,439.0,2048.0,0.0,5012.0,3710.0,3002.0,0.0,0.0,708.0,1301.0,0.0,0.0,139.0,1162.0,0.0,48853.0,22875.0,51481.0,856.0,-559.0,-25801.0,-27715.0,-2963.0,53864.0,33325.0,28223.0,5102.0,4029.0,2011.0,170.0,274.0,68.0,43.0,2579.0,0.0,1147.0,1074.0,792.0,435.0,0.0,0.0,0.0,0.0,357.0,4827.0,7.0,6.0,0.0,0.0,4814.0,-2961.0,2.0,-2963.0,0.0,0.0,-2963.0,-66.0,-66.0,0.0,0.0,-2963.0,,,4817.0,-2963.0,7143.0,1164.0,0.0,1410.0,0.0,2047.0,2604.0,-556.0,-1972.0,6963.0,8935.0,1451.0,1597.0,146.0,0.0,0.0,0.0,4296.0,3064.0,7360.0,0.0,0.0,M06
