회사명,거래소코드,회계년도,상장협코드,대표이사명,본사 주소,종업원,설립일,결산월,사업자등록번호,금감원등록번호,발행주식 액면가(원),발행주식 보통주,발행주식 우선주,외부감사기관,회계감사법인,통계청 한국표준산업분류 코드 11차(대분류),통계청 한국표준산업분류 11차(대분류),통계청 한국표준산업분류 코드 11차(중분류),통계청 한국표준산업분류 11차(중분류),자산총계(요약)(백만원),유동자산(요약)(백만원),당좌자산(요약)(백만원),현금 및 현금성자산(요약)(백만원),단기투자자산(요약)(백만원),단기예금(요약)(백만원),단기매매증권(요약)(백만원),단기대여금(요약)(백만원),기타단기투자자산(요약)(백만원),매출채권(요약)(백만원),*할인어음 또는 배서어음(요약)(백만원),기타당좌자산(요약)(백만원),재고자산(요약)(백만원),상품(요약)(백만원),제품(요약)(백만원),반제품(요약)(백만원),재공품(요약)(백만원),원재료(요약)(백만원),기타재고자산(요약)(백만원),임대주택자산(요약)(백만원),비유동자산(요약)(백만원),투자자산(요약)(백만원),*장기금융상품(요약)(백만원),*투자유가증권(장기투자증권)(요약)(백만원),유형자산(요약)(백만원),토지,건설중인자산,건물,기계장치,차량운반구,렌탈자산,설비자산,무형자산(요약)(백만원),기타비유동자산(요약)(백만원),이연자산(요약)(백만원),부채총계(요약)(백만원),유동부채(요약)(백만원),매입채무(요약)(백만원),단기차입금(요약)(백만원),유동성장기부채(요약)(백만원),기타유동부채(요약)(백만원),비유동부채(요약)(백만원),사채(요약)(백만원),장기차입금(요약)(백만원),제충당금(요약)(백만원),기타비유동부채(요약)(백만원),이연부채(요약)(백만원),자본총계(요약)(백만원),자본금(요약)(백만원),자본잉여금(요약)(백만원),자본조정(요약)(백만원),기타포괄손익누계액(요약)(백만원),이익잉여금(요약)(백만원),*미처분이익잉여금 및 차기이월미처분이익잉여금(요약)(백만원),*당기순이익(요약)(백만원),부채와자본총계(요약)(백만원),매출액(요약)(백만원),매출원가(요약)(백만원),매출총이익(요약)(백만원),판매비와 관리비(요약)(백만원),급료,퇴직급여(요약)(백만원),복리후생비(요약)(백만원),세금과공과(요약)(백만원),임차료(요약)(백만원),감가상각비,연구비,기타 판매비와 관리비(요약)(백만원),영업이익(요약)(백만원),영업외수익(요약)(백만원),이자수익(요약)(백만원),배당금수익(요약)(백만원),외환차익(요약)(백만원),외화환산이익(요약)(백만원),지분법이익(요약)(백만원),기타영업외수익(요약)(백만원),영업외비용(요약)(백만원),이자비용(요약)(백만원),외환차손(요약)(백만원),외화환산손실(요약)(백만원),지분법손실(요약)(백만원),기타영업외비용(요약)(백만원),법인세비용차감전(계속사업)손익(요약)(백만원),(계속사업손익)법인세비용(요약)(백만원),계속사업이익(요약)(백만원),중단사업이익(요약)(백만원),*법인세효과(요약)(백만원),당기순이익(요약)(백만원),주당계속사업이익(요약)(원),주당순이익(요약)(원),희석화주당계속사업이익(요약)(원),희석화주당순이익(요약)(원),CPA수정후 당기순이익(요약)(백만원),*주당경상이익(2007년 이전 발생)(요약)(원),*희석화주당경상이익(2007년 이전 발생)(요약)(원),영업활동으로 인한 현금흐름(요약)(백만원),당기순이익(요약)(백만원).1,현금의 유출이 없는 비용 등 가산(요약)(백만원),*감가상각비,*전기오류수정손익(요약)(백만원),현금의 유입이없는 수익등의 차감(요약)(백만원),*전기오류수정손익(요약)(백만원).1,영업활동으로 인한 자산 및 부채의변동(요약)(백만원),영업활동으로 인한 자산의 감소(증가)(요약)(백만원),영업활동으로 인한 부채의 증가(감소)(요약)(백만원),투자활동으로 인한 현금흐름(요약)(백만원),투자활동으로 인한 현금유입액(요약)(백만원),투자활동으로 인한 현금유출액(요약)(백만원),재무활동으로 인한 현금흐름(요약)(백만원),재무활동으로 인한 현금유입액(요약)(백만원),재무활동으로 인한 현금유출액(요약)(백만원),영업,합병분할(영업양수도)으로 인한 증가(감소)(요약)(백만원),환율변동으로 인한 차이조정(요약)(백만원),현금의 증가(감소)(요약)(백만원),기초현금(요약)(백만원),기말현금(요약)(백만원),현금등가물(요약)(백만원),현금의 수입과 지출이 없는 거래(요약)(백만원),M코드
(주)강동씨앤엘,198440,2014/12,6514,"박을성, 이훈창",전남 장성군 장성읍 영천로 35,130,2014/04/28,12,107-88-18207,1032583,100,60931896,0,삼덕회계법인,삼일회계법인,23,제조업,23,비금속 광물제품 제조업,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M09
(주)강동씨앤엘,198440,2015/12,6514,"박을성, 이훈창",전남 장성군 장성읍 영천로 35,130,2014/04/28,12,107-88-18207,1032583,100,60931896,0,삼덕회계법인,삼영회계법인,23,제조업,23,비금속 광물제품 제조업,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M09
(주)강동씨앤엘,198440,2016/12,6514,"박을성, 이훈창",전남 장성군 장성읍 영천로 35,130,2014/04/28,12,107-88-18207,1032583,100,60931896,0,삼덕회계법인,삼영회계법인,23,제조업,23,비금속 광물제품 제조업,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M09
(주)강동씨앤엘,198440,2017/12,6514,"박을성, 이훈창",전남 장성군 장성읍 영천로 35,130,2014/04/28,12,107-88-18207,1032583,100,60931896,0,삼덕회계법인,신우회계법인,23,제조업,23,비금속 광물제품 제조업,115882.0,38543.0,35213.0,675.0,4057.0,2.0,0.0,4055.0,0.0,29646.0,0.0,835.0,3330.0,0.0,0.0,0.0,1302.0,1741.0,287.0,0.0,77339.0,27843.0,0.0,16585.0,47901.0,33661.0,975.0,4999.0,6590.0,296.0,0.0,1380.0,923.0,672.0,0.0,38488.0,23126.0,5866.0,5200.0,1371.0,10688.0,15362.0,1373.0,2286.0,6548.0,5155.0,0.0,77394.0,3048.0,23179.0,-3305.0,21778.0,32694.0,32394.0,1004.0,115882.0,87660.0,75975.0,11686.0,8668.0,1441.0,0.0,184.0,75.0,0.0,28.0,0.0,6940.0,3018.0,1645.0,312.0,0.0,1.0,0.0,159.0,1173.0,2933.0,180.0,3.0,0.0,0.0,2750.0,1730.0,726.0,1004.0,0.0,0.0,1004.0,37.0,37.0,0.0,0.0,0.0,0.0,0.0,3162.0,1004.0,6669.0,2439.0,0.0,1887.0,0.0,-2624.0,-2843.0,219.0,-14608.0,27611.0,42219.0,8857.0,49360.0,40503.0,0.0,0.0,0.0,-2589.0,3264.0,675.0,0.0,0.0,M09
(주)강동씨앤엘,198440,2018/12,6514,"박을성, 이훈창",전남 장성군 장성읍 영천로 35,130,2014/04/28,12,107-88-18207,1032583,100,60931896,0,삼덕회계법인,한빛회계법인,23,제조업,23,비금속 광물제품 제조업,127537.0,49955.0,45712.0,957.0,12024.0,8000.0,0.0,4024.0,0.0,31389.0,0.0,1342.0,4243.0,0.0,0.0,0.0,1510.0,2412.0,321.0,0.0,77582.0,27516.0,0.0,18622.0,48777.0,35570.0,530.0,6127.0,5275.0,210.0,0.0,1065.0,592.0,697.0,0.0,41026.0,29602.0,4413.0,11800.0,1371.0,12017.0,11424.0,0.0,914.0,5962.0,4548.0,0.0,86511.0,3198.0,25646.0,0.0,21553.0,36114.0,35654.0,4646.0,127537.0,85776.0,73108.0,12668.0,8830.0,1461.0,79.0,195.0,91.0,0.0,31.0,0.0,6974.0,3838.0,3122.0,834.0,0.0,1.0,0.0,0.0,2286.0,667.0,417.0,6.0,0.0,0.0,244.0,6293.0,1647.0,4646.0,0.0,0.0,4646.0,149.0,149.0,0.0,0.0,4646.0,,,1729.0,4646.0,5471.0,2494.0,0.0,2417.0,0.0,-5972.0,-4027.0,-1945.0,-9952.0,13429.0,23381.0,8506.0,44373.0,35868.0,0.0,0.0,0.0,282.0,675.0,957.0,0.0,0.0,M09
(주)강동씨앤엘,198440,2019/12,6514,"박을성, 이훈창",전남 장성군 장성읍 영천로 35,130,2014/04/28,12,107-88-18207,1032583,100,60931896,0,삼덕회계법인,세정회계법인,23,제조업,23,비금속 광물제품 제조업,127036.0,46591.0,39649.0,4440.0,5926.0,0.0,0.0,5926.0,0.0,24623.0,0.0,4660.0,6942.0,0.0,0.0,0.0,5061.0,1588.0,294.0,0.0,80444.0,28318.0,0.0,19382.0,51139.0,36775.0,1027.0,6896.0,5230.0,410.0,0.0,802.0,581.0,406.0,0.0,38590.0,27999.0,3352.0,11160.0,914.0,12572.0,10591.0,0.0,0.0,6033.0,4558.0,0.0,88445.0,3198.0,25678.0,0.0,21553.0,38017.0,37445.0,3396.0,127036.0,70922.0,65599.0,5322.0,5782.0,1495.0,0.0,129.0,79.0,0.0,2306.0,0.0,4035.0,-460.0,4727.0,582.0,0.0,0.0,53.0,0.0,4091.0,589.0,425.0,20.0,0.0,0.0,143.0,3678.0,1049.0,2629.0,768.0,306.0,3396.0,82.0,106.0,0.0,0.0,3396.0,,,2862.0,3396.0,5977.0,2415.0,0.0,4968.0,0.0,-1544.0,-2205.0,661.0,3351.0,12536.0,9184.0,-2731.0,35040.0,37771.0,0.0,0.0,0.0,3483.0,957.0,4440.0,0.0,0.0,M09
(주)강동씨앤엘,198440,2020/12,6514,"박을성, 이훈창",전남 장성군 장성읍 영천로 35,130,2014/04/28,12,107-88-18207,1032583,100,60931896,0,삼덕회계법인,동아송강회계법인,23,제조업,23,비금속 광물제품 제조업,115338.0,38514.0,35032.0,8246.0,1528.0,0.0,0.0,1528.0,0.0,24279.0,0.0,980.0,3482.0,0.0,0.0,0.0,2499.0,846.0,137.0,0.0,76823.0,19660.0,0.0,15865.0,50658.0,37054.0,444.0,7976.0,4331.0,235.0,0.0,618.0,573.0,5933.0,0.0,22975.0,10467.0,3016.0,0.0,0.0,7451.0,12509.0,0.0,0.0,6083.0,6426.0,0.0,92362.0,3198.0,25664.0,0.0,21545.0,41955.0,41335.0,4445.0,115338.0,70183.0,62038.0,8145.0,3864.0,1174.0,0.0,104.0,86.0,0.0,2341.0,0.0,2423.0,4281.0,2060.0,145.0,0.0,0.0,0.0,0.0,1915.0,324.0,104.0,0.0,98.0,0.0,122.0,6016.0,1493.0,4523.0,-78.0,0.0,4445.0,141.0,139.0,0.0,0.0,4445.0,,,7963.0,4445.0,4961.0,2388.0,0.0,962.0,0.0,-481.0,2592.0,-3073.0,8445.0,16072.0,7627.0,-12602.0,10000.0,22602.0,0.0,0.0,0.0,3806.0,4440.0,8246.0,0.0,0.0,M09
(주)강동씨앤엘,198440,2021/12,6514,"박을성, 이훈창",전남 장성군 장성읍 영천로 35,130,2014/04/28,12,107-88-18207,1032583,100,60931896,0,삼덕회계법인,동아송강회계법인,23,제조업,23,비금속 광물제품 제조업,146783.0,48416.0,44212.0,2861.0,21664.0,20000.0,0.0,1664.0,0.0,16930.0,0.0,2757.0,4204.0,0.0,0.0,0.0,2652.0,1401.0,151.0,0.0,98368.0,14094.0,0.0,7183.0,78076.0,63308.0,3276.0,7000.0,3822.0,64.0,445.0,160.0,565.0,5633.0,0.0,29633.0,11416.0,4985.0,0.0,0.0,6430.0,18217.0,0.0,0.0,5905.0,12312.0,0.0,117151.0,3198.0,25657.0,0.0,42105.0,46191.0,45524.0,4639.0,146783.0,65673.0,59069.0,6604.0,2906.0,1345.0,0.0,115.0,77.0,0.0,2292.0,0.0,1341.0,3698.0,2533.0,132.0,0.0,5.0,137.0,0.0,2259.0,164.0,44.0,4.0,0.0,0.0,116.0,6067.0,1430.0,4637.0,2.0,0.0,4639.0,145.0,145.0,0.0,0.0,4639.0,,,13353.0,4639.0,4871.0,2184.0,0.0,2156.0,0.0,5999.0,5498.0,500.0,-18200.0,10759.0,28959.0,-538.0,0.0,538.0,0.0,0.0,0.0,-5385.0,8246.0,2861.0,0.0,0.0,M09
(주)강동씨앤엘,198440,2022/12,6514,"박을성, 이훈창",전남 장성군 장성읍 영천로 35,130,2014/04/28,12,107-88-18207,1032583,100,60931896,0,삼덕회계법인,안진회계법인,23,제조업,23,비금속 광물제품 제조업,137163.0,39854.0,33174.0,3762.0,5009.0,3800.0,0.0,1209.0,0.0,23553.0,0.0,850.0,6680.0,0.0,0.0,0.0,4306.0,2262.0,113.0,0.0,97309.0,9632.0,0.0,0.0,81376.0,59416.0,11994.0,6443.0,2957.0,41.0,391.0,133.0,558.0,5743.0,0.0,27829.0,9904.0,2372.0,0.0,0.0,7532.0,17924.0,0.0,0.0,8002.0,9922.0,0.0,109334.0,3198.0,25654.0,0.0,41861.0,38622.0,37906.0,-7761.0,137163.0,69905.0,79890.0,-9985.0,2646.0,840.0,0.0,97.0,144.0,0.0,2290.0,0.0,1540.0,-12631.0,3864.0,215.0,0.0,285.0,78.0,0.0,3286.0,987.0,91.0,0.0,0.0,0.0,896.0,-9754.0,-1994.0,-7761.0,0.0,0.0,-7761.0,-243.0,-243.0,0.0,0.0,-7761.0,,,-13165.0,-7761.0,5810.0,2247.0,0.0,2906.0,0.0,-8307.0,-9746.0,1439.0,14979.0,24423.0,9444.0,-912.0,1530.0,2442.0,0.0,0.0,0.0,902.0,2861.0,3762.0,0.0,0.0,M09
(주)강동씨앤엘,198440,2023/12,6514,"박을성, 이훈창",전남 장성군 장성읍 영천로 35,130,2014/04/28,12,107-88-18207,1032583,100,60931896,0,삼덕회계법인,안진회계법인,23,제조업,23,비금속 광물제품 제조업,114558.0,16552.0,15594.0,8502.0,0.0,0.0,0.0,0.0,0.0,6158.0,0.0,933.0,958.0,0.0,0.0,0.0,386.0,567.0,5.0,0.0,98007.0,61234.0,0.0,0.0,31412.0,3289.0,16314.0,6138.0,5358.0,24.0,134.0,156.0,0.0,5361.0,0.0,22362.0,8458.0,1014.0,5010.0,0.0,2434.0,13905.0,0.0,0.0,8116.0,5789.0,0.0,92196.0,3198.0,25654.0,0.0,41243.0,22101.0,21385.0,-15840.0,114558.0,50523.0,65245.0,-14722.0,2488.0,470.0,0.0,121.0,114.0,19.0,2519.0,0.0,1510.0,-17210.0,5136.0,239.0,0.0,332.0,21.0,0.0,4543.0,7446.0,192.0,29.0,0.0,0.0,7225.0,-19520.0,-3681.0,-15840.0,0.0,0.0,-15840.0,-495.0,-495.0,0.0,0.0,-15840.0,,,2620.0,-15840.0,10372.0,2542.0,0.0,8468.0,0.0,16555.0,24249.0,-7694.0,-2471.0,12668.0,15138.0,4591.0,7210.0,2619.0,0.0,0.0,0.0,4740.0,3762.0,8502.0,0.0,0.0,M09
