회사명,거래소코드,회계년도,상장협코드,대표이사명,본사 주소,종업원,설립일,결산월,사업자등록번호,금감원등록번호,발행주식 액면가(원),발행주식 보통주,발행주식 우선주,외부감사기관,회계감사법인,통계청 한국표준산업분류 코드 11차(대분류),통계청 한국표준산업분류 11차(대분류),통계청 한국표준산업분류 코드 11차(중분류),통계청 한국표준산업분류 11차(중분류),자산총계(요약)(백만원),유동자산(요약)(백만원),당좌자산(요약)(백만원),현금 및 현금성자산(요약)(백만원),단기투자자산(요약)(백만원),단기예금(요약)(백만원),단기매매증권(요약)(백만원),단기대여금(요약)(백만원),기타단기투자자산(요약)(백만원),매출채권(요약)(백만원),*할인어음 또는 배서어음(요약)(백만원),기타당좌자산(요약)(백만원),재고자산(요약)(백만원),상품(요약)(백만원),제품(요약)(백만원),반제품(요약)(백만원),재공품(요약)(백만원),원재료(요약)(백만원),기타재고자산(요약)(백만원),임대주택자산(요약)(백만원),비유동자산(요약)(백만원),투자자산(요약)(백만원),*장기금융상품(요약)(백만원),*투자유가증권(장기투자증권)(요약)(백만원),유형자산(요약)(백만원),토지,건설중인자산,건물,기계장치,차량운반구,렌탈자산,설비자산,무형자산(요약)(백만원),기타비유동자산(요약)(백만원),이연자산(요약)(백만원),부채총계(요약)(백만원),유동부채(요약)(백만원),매입채무(요약)(백만원),단기차입금(요약)(백만원),유동성장기부채(요약)(백만원),기타유동부채(요약)(백만원),비유동부채(요약)(백만원),사채(요약)(백만원),장기차입금(요약)(백만원),제충당금(요약)(백만원),기타비유동부채(요약)(백만원),이연부채(요약)(백만원),자본총계(요약)(백만원),자본금(요약)(백만원),자본잉여금(요약)(백만원),자본조정(요약)(백만원),기타포괄손익누계액(요약)(백만원),이익잉여금(요약)(백만원),*미처분이익잉여금 및 차기이월미처분이익잉여금(요약)(백만원),*당기순이익(요약)(백만원),부채와자본총계(요약)(백만원),매출액(요약)(백만원),매출원가(요약)(백만원),매출총이익(요약)(백만원),판매비와 관리비(요약)(백만원),급료,퇴직급여(요약)(백만원),복리후생비(요약)(백만원),세금과공과(요약)(백만원),임차료(요약)(백만원),감가상각비,연구비,기타 판매비와 관리비(요약)(백만원),영업이익(요약)(백만원),영업외수익(요약)(백만원),이자수익(요약)(백만원),배당금수익(요약)(백만원),외환차익(요약)(백만원),외화환산이익(요약)(백만원),지분법이익(요약)(백만원),기타영업외수익(요약)(백만원),영업외비용(요약)(백만원),이자비용(요약)(백만원),외환차손(요약)(백만원),외화환산손실(요약)(백만원),지분법손실(요약)(백만원),기타영업외비용(요약)(백만원),법인세비용차감전(계속사업)손익(요약)(백만원),(계속사업손익)법인세비용(요약)(백만원),계속사업이익(요약)(백만원),중단사업이익(요약)(백만원),*법인세효과(요약)(백만원),당기순이익(요약)(백만원),주당계속사업이익(요약)(원),주당순이익(요약)(원),희석화주당계속사업이익(요약)(원),희석화주당순이익(요약)(원),CPA수정후 당기순이익(요약)(백만원),*주당경상이익(2007년 이전 발생)(요약)(원),*희석화주당경상이익(2007년 이전 발생)(요약)(원),영업활동으로 인한 현금흐름(요약)(백만원),당기순이익(요약)(백만원).1,현금의 유출이 없는 비용 등 가산(요약)(백만원),*감가상각비,*전기오류수정손익(요약)(백만원),현금의 유입이없는 수익등의 차감(요약)(백만원),*전기오류수정손익(요약)(백만원).1,영업활동으로 인한 자산 및 부채의변동(요약)(백만원),영업활동으로 인한 자산의 감소(증가)(요약)(백만원),영업활동으로 인한 부채의 증가(감소)(요약)(백만원),투자활동으로 인한 현금흐름(요약)(백만원),투자활동으로 인한 현금유입액(요약)(백만원),투자활동으로 인한 현금유출액(요약)(백만원),재무활동으로 인한 현금흐름(요약)(백만원),재무활동으로 인한 현금유입액(요약)(백만원),재무활동으로 인한 현금유출액(요약)(백만원),영업,합병분할(영업양수도)으로 인한 증가(감소)(요약)(백만원),환율변동으로 인한 차이조정(요약)(백만원),현금의 증가(감소)(요약)(백만원),기초현금(요약)(백만원),기말현금(요약)(백만원),현금등가물(요약)(백만원),현금의 수입과 지출이 없는 거래(요약)(백만원),M코드
(주)SIMPAC,009160,2010/12,608,최진식,인천시 부평구 부평북로 141,488,1973/08/09,12,122-81-00819,138260,500,65370968,0,한영회계법인,안진회계법인,24,제조업,24,1차 금속 제조업,246340.0,132097.0,111038.0,42714.0,10001.0,10000.0,0.0,0.0,1.0,56750.0,0.0,1573.0,21059.0,0.0,10133.0,475.0,6947.0,3201.0,303.0,0.0,114243.0,83807.0,199.0,82528.0,30196.0,14007.0,696.0,10689.0,2954.0,138.0,0.0,1713.0,0.0,240.0,0.0,116728.0,110405.0,39874.0,30000.0,0.0,40532.0,6323.0,0.0,0.0,740.0,5583.0,0.0,129612.0,14542.0,29732.0,-1961.0,156.0,87143.0,23443.0,20122.0,246340.0,180593.0,143241.0,37352.0,14050.0,4774.0,161.0,671.0,82.0,170.0,128.0,0.0,8065.0,23302.0,10388.0,953.0,43.0,616.0,153.0,7342.0,1281.0,5536.0,1567.0,696.0,81.0,202.0,2990.0,28155.0,8032.0,20122.0,0.0,0.0,20122.0,761.0,761.0,0.0,0.0,20122.0,0.0,0.0,23187.0,20122.0,5883.0,1997.0,0.0,8039.0,0.0,5221.0,-22667.0,27888.0,-6020.0,10632.0,16653.0,17993.0,20000.0,2007.0,0.0,0.0,0.0,35159.0,7555.0,42714.0,0.0,13719.0,M10
(주)SIMPAC,009160,2011/12,608,최진식,인천시 부평구 부평북로 141,488,1973/08/09,12,122-81-00819,138260,500,65370968,0,한영회계법인,안진회계법인,24,제조업,24,1차 금속 제조업,296953.0,151220.0,124867.0,62613.0,0.0,0.0,0.0,0.0,0.0,60526.0,0.0,1729.0,26353.0,0.0,10472.0,544.0,10585.0,4719.0,34.0,0.0,145733.0,81747.0,199.0,69250.0,62702.0,33929.0,1103.0,15533.0,10073.0,132.0,0.0,1932.0,1080.0,204.0,0.0,141120.0,116923.0,37851.0,33556.0,0.0,45516.0,24197.0,0.0,10000.0,0.0,14197.0,0.0,155833.0,14542.0,29732.0,-1961.0,1493.0,112027.0,31047.0,21196.0,296953.0,213868.0,169699.0,44168.0,15257.0,6192.0,112.0,137.0,94.0,158.0,148.0,0.0,8417.0,28911.0,5442.0,1924.0,764.0,1203.0,234.0,0.0,1316.0,4950.0,1307.0,974.0,24.0,0.0,2646.0,29403.0,8206.0,21196.0,0.0,0.0,21196.0,785.0,785.0,0.0,0.0,21196.0,0.0,0.0,18175.0,21196.0,13364.0,2002.0,0.0,2959.0,0.0,-13427.0,-13955.0,528.0,-9140.0,26115.0,35254.0,10854.0,13556.0,2702.0,0.0,0.0,9.0,19899.0,42714.0,62613.0,0.0,0.0,M10
(주)SIMPAC,009160,2012/12,608,최진식,인천시 부평구 부평북로 141,488,1973/08/09,12,122-81-00819,138260,500,65370968,0,한영회계법인,안진회계법인,24,제조업,24,1차 금속 제조업,307367.0,150643.0,125362.0,22483.0,36000.0,20000.0,0.0,0.0,16000.0,63509.0,0.0,3370.0,25281.0,0.0,9538.0,1333.0,9353.0,4980.0,76.0,0.0,156723.0,91126.0,199.0,78629.0,64183.0,33998.0,0.0,15128.0,12384.0,362.0,0.0,2311.0,1211.0,204.0,0.0,129536.0,108043.0,37651.0,30338.0,0.0,40054.0,21493.0,0.0,10000.0,0.0,11493.0,0.0,177830.0,14542.0,29732.0,-1961.0,3675.0,131842.0,31171.0,22517.0,307367.0,223855.0,182102.0,41753.0,16443.0,6342.0,637.0,153.0,129.0,220.0,178.0,0.0,8784.0,25310.0,8833.0,1903.0,2394.0,1307.0,0.0,0.0,3228.0,6809.0,1624.0,928.0,259.0,0.0,3998.0,27334.0,4817.0,22517.0,0.0,0.0,22517.0,833.0,833.0,0.0,0.0,22517.0,0.0,0.0,12987.0,22517.0,14080.0,2761.0,0.0,6349.0,0.0,-17262.0,-10327.0,-6935.0,-50743.0,32901.0,83644.0,-2363.0,30338.0,32702.0,0.0,0.0,-11.0,-40130.0,62613.0,22483.0,0.0,0.0,M10
(주)SIMPAC,009160,2013/12,608,최진식,인천시 부평구 부평북로 141,488,1973/08/09,12,122-81-00819,138260,500,65370968,0,한영회계법인,삼정회계법인,24,제조업,24,1차 금속 제조업,349837.0,106535.0,80928.0,8441.0,10.0,0.0,0.0,0.0,10.0,70208.0,0.0,2269.0,25607.0,0.0,11189.0,1070.0,8432.0,4536.0,379.0,0.0,243302.0,101401.0,199.0,88904.0,64271.0,33998.0,0.0,14529.0,13204.0,265.0,0.0,2274.0,1211.0,76420.0,0.0,151936.0,133732.0,38556.0,57162.0,2500.0,35513.0,18204.0,0.0,6667.0,0.0,11537.0,0.0,197901.0,14542.0,29732.0,-1961.0,7251.0,148337.0,27666.0,19196.0,349837.0,204528.0,163875.0,40652.0,16911.0,5899.0,644.0,157.0,0.0,170.0,187.0,0.0,9854.0,23741.0,7068.0,1785.0,2904.0,718.0,46.0,0.0,1615.0,4109.0,1424.0,686.0,412.0,0.0,1588.0,26700.0,7504.0,19196.0,0.0,0.0,19196.0,711.0,711.0,0.0,0.0,19196.0,0.0,0.0,11709.0,19196.0,13275.0,3116.0,0.0,4864.0,0.0,-15898.0,-12819.0,-3079.0,-49066.0,56755.0,105821.0,23306.0,132429.0,109122.0,0.0,0.0,9.0,-14042.0,22483.0,8441.0,0.0,0.0,M10
(주)SIMPAC,009160,2014/12,608,최진식,인천시 부평구 부평북로 141,488,1973/08/09,12,122-81-00819,138260,500,65370968,0,한영회계법인,삼정회계법인,24,제조업,24,1차 금속 제조업,329326.0,118045.0,86147.0,18150.0,12.0,0.0,0.0,0.0,12.0,65023.0,0.0,2962.0,31898.0,0.0,14867.0,878.0,12385.0,3767.0,0.0,0.0,211281.0,139350.0,199.0,64421.0,70605.0,38642.0,2308.0,13930.0,13040.0,248.0,0.0,2437.0,1028.0,299.0,0.0,125421.0,116089.0,39370.0,25004.0,3333.0,48381.0,9332.0,0.0,2500.0,0.0,6832.0,0.0,203905.0,14542.0,29732.0,-1961.0,5197.0,156394.0,21723.0,10219.0,329326.0,227492.0,188349.0,39142.0,20406.0,6205.0,861.0,60.0,0.0,166.0,188.0,0.0,12926.0,18737.0,6629.0,875.0,2872.0,1191.0,359.0,0.0,1331.0,12157.0,2023.0,601.0,68.0,0.0,9466.0,13208.0,2990.0,10219.0,0.0,0.0,10219.0,378.0,378.0,0.0,0.0,0.0,0.0,0.0,29061.0,10219.0,18670.0,3389.0,0.0,4147.0,0.0,4320.0,-5790.0,10110.0,18185.0,28518.0,10332.0,-37653.0,130004.0,167657.0,0.0,0.0,115.0,9709.0,8441.0,18150.0,0.0,0.0,M10
(주)SIMPAC,009160,2015/12,608,최진식,인천시 부평구 부평북로 141,488,1973/08/09,12,122-81-00819,138260,500,65370968,0,한영회계법인,삼정회계법인,24,제조업,24,1차 금속 제조업,369349.0,138075.0,89214.0,13258.0,7045.0,0.0,0.0,0.0,7045.0,62817.0,0.0,6094.0,48861.0,0.0,31631.0,1516.0,11699.0,4015.0,0.0,0.0,231274.0,153816.0,199.0,62971.0,75847.0,38642.0,5215.0,13332.0,15807.0,190.0,0.0,2661.0,1362.0,249.0,0.0,149261.0,142954.0,44285.0,40000.0,2500.0,56169.0,6307.0,0.0,0.0,0.0,6307.0,0.0,220088.0,14542.0,30046.0,-1912.0,3729.0,173682.0,30011.0,19449.0,369349.0,213152.0,171342.0,41810.0,18180.0,6609.0,897.0,161.0,0.0,142.0,151.0,0.0,10219.0,23630.0,5534.0,412.0,2372.0,576.0,139.0,0.0,2034.0,4042.0,1006.0,973.0,64.0,0.0,2000.0,25123.0,5674.0,19449.0,0.0,0.0,19449.0,719.0,719.0,0.0,0.0,0.0,0.0,0.0,10490.0,19449.0,11400.0,3748.0,0.0,3876.0,0.0,-16483.0,-23867.0,7385.0,-24960.0,768.0,25729.0,9501.0,75000.0,65499.0,0.0,0.0,77.0,-4892.0,18150.0,13258.0,0.0,0.0,M10
(주)SIMPAC,009160,2016/12,608,최진식,인천시 부평구 부평북로 141,488,1973/08/09,12,122-81-00819,138260,500,65370968,0,한영회계법인,삼정회계법인,24,제조업,24,1차 금속 제조업,366245.0,138254.0,96711.0,37552.0,0.0,0.0,0.0,0.0,0.0,48744.0,0.0,10415.0,41543.0,0.0,27479.0,873.0,11166.0,2024.0,0.0,0.0,227992.0,151605.0,199.0,14003.0,75130.0,38642.0,3.0,13607.0,20024.0,415.0,0.0,2439.0,997.0,260.0,0.0,137286.0,130874.0,41037.0,10000.0,30000.0,49837.0,6412.0,0.0,0.0,0.0,6412.0,0.0,228959.0,14542.0,30046.0,-4736.0,2228.0,186878.0,29207.0,16445.0,366245.0,215839.0,175972.0,39868.0,18462.0,6239.0,1287.0,181.0,0.0,143.0,158.0,0.0,10454.0,21406.0,4409.0,180.0,1610.0,1528.0,803.0,0.0,287.0,4358.0,1024.0,1185.0,9.0,0.0,2140.0,21457.0,5013.0,16445.0,0.0,0.0,16445.0,613.0,613.0,0.0,0.0,0.0,0.0,0.0,30471.0,16445.0,13482.0,4038.0,0.0,2600.0,0.0,3144.0,13180.0,-10036.0,1868.0,10061.0,8193.0,-8572.0,120557.0,129129.0,0.0,0.0,528.0,24295.0,13258.0,37552.0,0.0,0.0,M10
(주)SIMPAC,009160,2017/12,608,최진식,인천시 부평구 부평북로 141,488,1973/08/09,12,122-81-00819,138260,500,65370968,0,한영회계법인,삼정회계법인,24,제조업,24,1차 금속 제조업,343005.0,124800.0,90503.0,21377.0,400.0,0.0,0.0,400.0,0.0,67026.0,0.0,1700.0,34297.0,0.0,26060.0,465.0,6381.0,1390.0,0.0,0.0,218205.0,146388.0,199.0,8916.0,70403.0,38642.0,3.0,13029.0,16430.0,308.0,0.0,1991.0,997.0,418.0,0.0,119223.0,114191.0,25003.0,15000.0,35000.0,39188.0,5032.0,0.0,0.0,0.0,5032.0,0.0,223782.0,14542.0,30046.0,-12755.0,588.0,191361.0,18690.0,7134.0,343005.0,203150.0,168484.0,34666.0,20695.0,5775.0,750.0,303.0,0.0,125.0,168.0,0.0,13573.0,13971.0,4858.0,249.0,1738.0,738.0,97.0,0.0,2035.0,7271.0,915.0,1577.0,2315.0,0.0,2464.0,11558.0,4424.0,7134.0,0.0,0.0,7134.0,282.0,282.0,0.0,0.0,0.0,0.0,0.0,-13629.0,7134.0,17490.0,5151.0,0.0,3492.0,0.0,-34760.0,-11247.0,-23513.0,-1221.0,3524.0,4745.0,-670.0,65000.0,65670.0,0.0,0.0,-655.0,-16175.0,37552.0,21377.0,0.0,0.0,M10
(주)SIMPAC,009160,2018/12,608,최진식,인천시 부평구 부평북로 141,488,1973/08/09,12,122-81-00819,138260,500,65370968,0,한영회계법인,삼정회계법인,24,제조업,24,1차 금속 제조업,628334.0,273219.0,169348.0,96706.0,0.0,0.0,0.0,0.0,0.0,56603.0,0.0,16039.0,103871.0,139.0,60163.0,5035.0,13760.0,24774.0,0.0,0.0,355115.0,195630.0,19.0,6719.0,156313.0,72044.0,301.0,45144.0,36127.0,482.0,0.0,2215.0,2456.0,716.0,0.0,217215.0,207957.0,37013.0,95000.0,8250.0,67694.0,9257.0,0.0,0.0,0.0,9257.0,0.0,411120.0,32715.0,144808.0,-15675.0,-985.0,250257.0,72586.0,62381.0,628334.0,268864.0,243575.0,25289.0,18073.0,6883.0,1038.0,199.0,0.0,222.0,212.0,0.0,9518.0,7216.0,61629.0,795.0,2572.0,1388.0,391.0,0.0,56484.0,4308.0,2223.0,672.0,308.0,0.0,1105.0,64537.0,2156.0,62381.0,0.0,0.0,62381.0,1513.0,1513.0,0.0,0.0,62381.0,,,36290.0,62381.0,14471.0,7692.0,0.0,59888.0,0.0,19326.0,-2862.0,22188.0,34121.0,38553.0,4431.0,5091.0,75000.0,69909.0,0.0,0.0,-173.0,75329.0,21377.0,96706.0,0.0,0.0,M10
(주)SIMPAC,009160,2019/12,608,최진식,인천시 부평구 부평북로 141,488,1973/08/09,12,122-81-00819,138260,500,65370968,0,한영회계법인,삼정회계법인,24,제조업,24,1차 금속 제조업,608693.0,224313.0,154368.0,102478.0,19.0,0.0,0.0,0.0,19.0,44616.0,0.0,7255.0,69945.0,882.0,48081.0,1265.0,9861.0,9810.0,46.0,0.0,384380.0,225747.0,19.0,7160.0,153003.0,72925.0,1250.0,42775.0,30386.0,498.0,3200.0,1970.0,2039.0,3591.0,0.0,189477.0,178142.0,25347.0,102000.0,0.0,50795.0,11335.0,0.0,0.0,0.0,11335.0,0.0,419216.0,32715.0,144808.0,-15675.0,-749.0,258118.0,65083.0,11507.0,608693.0,391971.0,357127.0,34844.0,26405.0,7560.0,1585.0,1748.0,0.0,109.0,3083.0,0.0,14586.0,8438.0,11084.0,1523.0,5017.0,3416.0,319.0,0.0,809.0,4585.0,2948.0,820.0,320.0,0.0,497.0,14937.0,3430.0,11507.0,0.0,0.0,11507.0,190.0,190.0,0.0,0.0,11507.0,,,45147.0,11507.0,23443.0,11334.0,0.0,7034.0,0.0,17231.0,42593.0,-25362.0,-33506.0,3683.0,37188.0,-5779.0,102000.0,107779.0,0.0,0.0,-90.0,5772.0,96706.0,102478.0,0.0,0.0,M10
