회사명,거래소코드,회계년도,상장협코드,대표이사명,본사 주소,종업원,설립일,결산월,사업자등록번호,금감원등록번호,발행주식 액면가(원),발행주식 보통주,발행주식 우선주,외부감사기관,회계감사법인,통계청 한국표준산업분류 코드 11차(대분류),통계청 한국표준산업분류 11차(대분류),통계청 한국표준산업분류 코드 11차(중분류),통계청 한국표준산업분류 11차(중분류),자산총계(요약)(백만원),유동자산(요약)(백만원),당좌자산(요약)(백만원),현금 및 현금성자산(요약)(백만원),단기투자자산(요약)(백만원),단기예금(요약)(백만원),단기매매증권(요약)(백만원),단기대여금(요약)(백만원),기타단기투자자산(요약)(백만원),매출채권(요약)(백만원),*할인어음 또는 배서어음(요약)(백만원),기타당좌자산(요약)(백만원),재고자산(요약)(백만원),상품(요약)(백만원),제품(요약)(백만원),반제품(요약)(백만원),재공품(요약)(백만원),원재료(요약)(백만원),기타재고자산(요약)(백만원),임대주택자산(요약)(백만원),비유동자산(요약)(백만원),투자자산(요약)(백만원),*장기금융상품(요약)(백만원),*투자유가증권(장기투자증권)(요약)(백만원),유형자산(요약)(백만원),토지,건설중인자산,건물,기계장치,차량운반구,렌탈자산,설비자산,무형자산(요약)(백만원),기타비유동자산(요약)(백만원),이연자산(요약)(백만원),부채총계(요약)(백만원),유동부채(요약)(백만원),매입채무(요약)(백만원),단기차입금(요약)(백만원),유동성장기부채(요약)(백만원),기타유동부채(요약)(백만원),비유동부채(요약)(백만원),사채(요약)(백만원),장기차입금(요약)(백만원),제충당금(요약)(백만원),기타비유동부채(요약)(백만원),이연부채(요약)(백만원),자본총계(요약)(백만원),자본금(요약)(백만원),자본잉여금(요약)(백만원),자본조정(요약)(백만원),기타포괄손익누계액(요약)(백만원),이익잉여금(요약)(백만원),*미처분이익잉여금 및 차기이월미처분이익잉여금(요약)(백만원),*당기순이익(요약)(백만원),부채와자본총계(요약)(백만원),매출액(요약)(백만원),매출원가(요약)(백만원),매출총이익(요약)(백만원),판매비와 관리비(요약)(백만원),급료,퇴직급여(요약)(백만원),복리후생비(요약)(백만원),세금과공과(요약)(백만원),임차료(요약)(백만원),감가상각비,연구비,기타 판매비와 관리비(요약)(백만원),영업이익(요약)(백만원),영업외수익(요약)(백만원),이자수익(요약)(백만원),배당금수익(요약)(백만원),외환차익(요약)(백만원),외화환산이익(요약)(백만원),지분법이익(요약)(백만원),기타영업외수익(요약)(백만원),영업외비용(요약)(백만원),이자비용(요약)(백만원),외환차손(요약)(백만원),외화환산손실(요약)(백만원),지분법손실(요약)(백만원),기타영업외비용(요약)(백만원),법인세비용차감전(계속사업)손익(요약)(백만원),(계속사업손익)법인세비용(요약)(백만원),계속사업이익(요약)(백만원),중단사업이익(요약)(백만원),*법인세효과(요약)(백만원),당기순이익(요약)(백만원),주당계속사업이익(요약)(원),주당순이익(요약)(원),희석화주당계속사업이익(요약)(원),희석화주당순이익(요약)(원),CPA수정후 당기순이익(요약)(백만원),*주당경상이익(2007년 이전 발생)(요약)(원),*희석화주당경상이익(2007년 이전 발생)(요약)(원),영업활동으로 인한 현금흐름(요약)(백만원),당기순이익(요약)(백만원).1,현금의 유출이 없는 비용 등 가산(요약)(백만원),*감가상각비,*전기오류수정손익(요약)(백만원),현금의 유입이없는 수익등의 차감(요약)(백만원),*전기오류수정손익(요약)(백만원).1,영업활동으로 인한 자산 및 부채의변동(요약)(백만원),영업활동으로 인한 자산의 감소(증가)(요약)(백만원),영업활동으로 인한 부채의 증가(감소)(요약)(백만원),투자활동으로 인한 현금흐름(요약)(백만원),투자활동으로 인한 현금유입액(요약)(백만원),투자활동으로 인한 현금유출액(요약)(백만원),재무활동으로 인한 현금흐름(요약)(백만원),재무활동으로 인한 현금유입액(요약)(백만원),재무활동으로 인한 현금유출액(요약)(백만원),영업,합병분할(영업양수도)으로 인한 증가(감소)(요약)(백만원),환율변동으로 인한 차이조정(요약)(백만원),현금의 증가(감소)(요약)(백만원),기초현금(요약)(백만원),기말현금(요약)(백만원),현금등가물(요약)(백만원),현금의 수입과 지출이 없는 거래(요약)(백만원),M코드
(주)누리플랜,069140,2010/12,6359,이형기,경기도 김포시 대곶면 대곶로202번길 191,51,1994/03/04,12,136-81-16116,410997,500,14402564,0,이촌회계법인,안진회계법인,25,제조업,25,금속가공제품 제조업; 기계 및 가구 제외,48990.0,28717.0,21549.0,6112.0,2276.0,2276.0,0.0,0.0,0.0,12605.0,3065.0,557.0,7168.0,818.0,4970.0,0.0,0.0,1379.0,0.0,0.0,20273.0,1981.0,270.0,823.0,16446.0,11776.0,0.0,3982.0,316.0,33.0,0.0,339.0,359.0,1487.0,0.0,23180.0,20661.0,2994.0,6385.0,1267.0,10016.0,2519.0,0.0,758.0,234.0,1527.0,0.0,25810.0,2155.0,6139.0,0.0,3780.0,13735.0,12700.0,3416.0,48990.0,53205.0,40190.0,13015.0,9436.0,4228.0,271.0,989.0,85.0,202.0,349.0,251.0,3060.0,3579.0,1593.0,174.0,0.0,0.0,0.0,133.0,1286.0,858.0,442.0,0.0,0.0,154.0,262.0,4314.0,898.0,3416.0,0.0,0.0,3416.0,1012.0,1012.0,0.0,0.0,3416.0,0.0,0.0,-1687.0,3416.0,1303.0,478.0,0.0,193.0,0.0,-6213.0,-6085.0,-128.0,-2.0,3198.0,3200.0,5555.0,12950.0,7394.0,0.0,0.0,0.0,3867.0,2245.0,6112.0,0.0,1369.0,M11
(주)누리플랜,069140,2011/12,6359,이형기,경기도 김포시 대곶면 대곶로202번길 191,51,1994/03/04,12,136-81-16116,410997,500,14402564,0,이촌회계법인,천지회계법인,25,제조업,25,금속가공제품 제조업; 기계 및 가구 제외,56159.0,35839.0,32837.0,6148.0,3680.0,25.0,0.0,0.0,3656.0,14802.0,0.0,8207.0,3002.0,426.0,745.0,0.0,0.0,1831.0,0.0,0.0,20320.0,2557.0,65.0,338.0,15092.0,10807.0,0.0,3599.0,275.0,66.0,0.0,346.0,1040.0,1632.0,0.0,27432.0,25593.0,4654.0,12523.0,1467.0,6950.0,1839.0,0.0,42.0,335.0,1462.0,0.0,28727.0,2155.0,6139.0,-487.0,0.0,20920.0,19255.0,3910.0,56159.0,59649.0,46116.0,13533.0,9310.0,4174.0,311.0,971.0,128.0,278.0,311.0,288.0,2848.0,4223.0,1327.0,231.0,1.0,12.0,0.0,0.0,1084.0,725.0,668.0,0.0,0.0,0.0,57.0,4825.0,916.0,3910.0,0.0,0.0,3910.0,911.0,911.0,0.0,0.0,3910.0,0.0,0.0,461.0,3910.0,2429.0,449.0,0.0,243.0,0.0,-5634.0,-3294.0,-2341.0,-1760.0,2740.0,4500.0,1335.0,15705.0,14371.0,0.0,0.0,0.0,36.0,6112.0,6148.0,0.0,0.0,M11
(주)누리플랜,069140,2012/12,6359,이형기,경기도 김포시 대곶면 대곶로202번길 191,51,1994/03/04,12,136-81-16116,410997,500,14402564,0,이촌회계법인,천지회계법인,25,제조업,25,금속가공제품 제조업; 기계 및 가구 제외,55755.0,34999.0,31693.0,1396.0,12906.0,12879.0,0.0,0.0,26.0,8302.0,0.0,9090.0,3305.0,434.0,632.0,0.0,0.0,2239.0,0.0,0.0,20756.0,2363.0,118.0,381.0,15662.0,10807.0,0.0,3476.0,1012.0,63.0,0.0,305.0,1015.0,1716.0,0.0,27821.0,17596.0,3340.0,8588.0,0.0,5669.0,10224.0,8540.0,0.0,424.0,1260.0,0.0,27934.0,2155.0,7373.0,-850.0,-1.0,19257.0,17562.0,-1324.0,55755.0,44832.0,36644.0,8189.0,9890.0,4338.0,699.0,765.0,111.0,331.0,300.0,141.0,3204.0,-1701.0,1349.0,353.0,1.0,3.0,15.0,0.0,977.0,1271.0,847.0,7.0,0.0,0.0,416.0,-1623.0,-299.0,-1324.0,0.0,0.0,-1324.0,-313.0,-313.0,0.0,0.0,-1324.0,0.0,0.0,1817.0,-1324.0,2738.0,480.0,0.0,671.0,0.0,1073.0,4195.0,-3122.0,-10295.0,15230.0,25525.0,3726.0,20115.0,16389.0,0.0,0.0,0.0,-4752.0,6148.0,1396.0,0.0,0.0,M11
(주)누리플랜,069140,2013/12,6359,이형기,경기도 김포시 대곶면 대곶로202번길 191,51,1994/03/04,12,136-81-16116,410997,500,14402564,0,이촌회계법인,천지회계법인,25,제조업,25,금속가공제품 제조업; 기계 및 가구 제외,52322.0,32899.0,31185.0,2458.0,12997.0,12997.0,0.0,0.0,0.0,10142.0,0.0,5589.0,1714.0,40.0,647.0,0.0,0.0,1027.0,0.0,0.0,19423.0,2478.0,286.0,584.0,15452.0,10807.0,0.0,3359.0,942.0,44.0,0.0,301.0,924.0,569.0,0.0,26028.0,25448.0,2161.0,8834.0,8194.0,6259.0,580.0,0.0,0.0,460.0,120.0,0.0,26294.0,2270.0,8832.0,-850.0,-17.0,16060.0,14365.0,-3220.0,52322.0,39376.0,34797.0,4579.0,8379.0,3623.0,363.0,727.0,264.0,345.0,326.0,20.0,2710.0,-3799.0,1209.0,389.0,2.0,0.0,0.0,0.0,818.0,1120.0,1004.0,1.0,0.0,0.0,115.0,-3710.0,-491.0,-3220.0,0.0,0.0,-3220.0,-753.0,-753.0,0.0,0.0,-3220.0,0.0,0.0,560.0,-3220.0,2522.0,541.0,0.0,966.0,0.0,2223.0,3127.0,-904.0,-326.0,21792.0,22118.0,827.0,11889.0,11062.0,0.0,0.0,0.0,1062.0,1396.0,2458.0,0.0,0.0,M11
(주)누리플랜,069140,2014/12,6359,이형기,경기도 김포시 대곶면 대곶로202번길 191,51,1994/03/04,12,136-81-16116,410997,500,14402564,0,이촌회계법인,참회계법인,25,제조업,25,금속가공제품 제조업; 기계 및 가구 제외,33576.0,15749.0,14411.0,2250.0,4326.0,4307.0,0.0,19.0,0.0,5476.0,0.0,2361.0,1337.0,0.0,252.0,0.0,0.0,1085.0,0.0,0.0,17827.0,2108.0,76.0,518.0,14918.0,10807.0,0.0,3244.0,621.0,29.0,0.0,217.0,488.0,314.0,0.0,16904.0,16454.0,1776.0,9277.0,0.0,5401.0,450.0,0.0,0.0,380.0,70.0,0.0,16672.0,2270.0,8811.0,-780.0,-8.0,6379.0,4684.0,-9825.0,33576.0,30611.0,29982.0,628.0,8064.0,2897.0,574.0,561.0,140.0,256.0,300.0,73.0,3263.0,-7435.0,1457.0,265.0,3.0,0.0,0.0,0.0,1188.0,3742.0,1051.0,0.0,1.0,0.0,2690.0,-9721.0,104.0,-9825.0,0.0,0.0,-9825.0,-2219.0,-2219.0,0.0,0.0,-8673.0,0.0,0.0,-1256.0,-9825.0,4217.0,503.0,0.0,873.0,0.0,5225.0,6855.0,-1630.0,9054.0,26338.0,17285.0,-8005.0,20147.0,28152.0,0.0,0.0,0.0,-208.0,2458.0,2250.0,0.0,0.0,M11
(주)누리플랜,069140,2015/12,6359,이형기,경기도 김포시 대곶면 대곶로202번길 191,51,1994/03/04,12,136-81-16116,410997,500,14402564,0,이촌회계법인,참회계법인,25,제조업,25,금속가공제품 제조업; 기계 및 가구 제외,32560.0,20905.0,19473.0,2723.0,1189.0,1186.0,0.0,3.0,0.0,6364.0,0.0,9196.0,1432.0,0.0,394.0,0.0,0.0,1038.0,0.0,0.0,11655.0,2132.0,124.0,683.0,8171.0,5839.0,0.0,1400.0,689.0,52.0,0.0,191.0,1007.0,345.0,0.0,15296.0,13027.0,1971.0,5613.0,0.0,5443.0,2269.0,0.0,1800.0,399.0,70.0,0.0,17264.0,2270.0,8811.0,-780.0,3.0,6960.0,5265.0,484.0,32560.0,32143.0,25256.0,6887.0,5659.0,2192.0,139.0,480.0,133.0,164.0,244.0,18.0,2290.0,1228.0,409.0,43.0,5.0,1.0,0.0,0.0,360.0,1153.0,414.0,1.0,0.0,0.0,739.0,484.0,0.0,484.0,0.0,0.0,484.0,109.0,109.0,0.0,0.0,984.0,0.0,0.0,-702.0,484.0,2363.0,437.0,0.0,634.0,0.0,-2914.0,-2060.0,-855.0,2459.0,5719.0,3259.0,-1284.0,15239.0,16523.0,0.0,0.0,0.0,474.0,2250.0,2723.0,0.0,0.0,M11
(주)누리플랜,069140,2016/12,6359,이형기,경기도 김포시 대곶면 대곶로202번길 191,51,1994/03/04,12,136-81-16116,410997,500,14402564,0,이촌회계법인,참회계법인,25,제조업,25,금속가공제품 제조업; 기계 및 가구 제외,35390.0,17713.0,16526.0,4326.0,2365.0,936.0,0.0,1429.0,0.0,6609.0,0.0,3226.0,1187.0,350.0,467.0,0.0,0.0,369.0,0.0,0.0,17677.0,3315.0,152.0,1849.0,12586.0,7083.0,0.0,4940.0,338.0,30.0,0.0,195.0,914.0,861.0,0.0,15997.0,13420.0,2179.0,6919.0,0.0,4322.0,2577.0,0.0,1800.0,657.0,120.0,0.0,19393.0,2270.0,8811.0,-780.0,2.0,9090.0,7395.0,2371.0,35390.0,34412.0,28049.0,6362.0,5636.0,2751.0,211.0,576.0,115.0,201.0,268.0,38.0,1475.0,726.0,5288.0,26.0,9.0,0.0,0.0,49.0,5205.0,4149.0,270.0,0.0,0.0,0.0,3878.0,1865.0,-506.0,2371.0,0.0,0.0,2371.0,536.0,536.0,0.0,0.0,0.0,0.0,0.0,-2111.0,2371.0,3664.0,416.0,0.0,6348.0,0.0,-1799.0,-607.0,-1192.0,2005.0,26451.0,24446.0,1708.0,11034.0,9326.0,0.0,0.0,0.0,1603.0,2723.0,4326.0,0.0,0.0,M11
(주)누리플랜,069140,2017/12,6359,이형기,경기도 김포시 대곶면 대곶로202번길 191,51,1994/03/04,12,136-81-16116,410997,500,14402564,0,이촌회계법인,참회계법인,25,제조업,25,금속가공제품 제조업; 기계 및 가구 제외,38785.0,21091.0,20405.0,4964.0,1726.0,1361.0,0.0,364.0,0.0,8645.0,0.0,5070.0,687.0,19.0,288.0,0.0,0.0,380.0,0.0,0.0,17693.0,2688.0,195.0,1209.0,12370.0,7083.0,0.0,4795.0,299.0,22.0,0.0,172.0,1565.0,1070.0,0.0,17930.0,17004.0,3475.0,5111.0,1800.0,6617.0,926.0,0.0,250.0,506.0,170.0,0.0,20855.0,2376.0,10142.0,-780.0,-3.0,9120.0,7426.0,28.0,38785.0,34579.0,27641.0,6938.0,6455.0,3046.0,263.0,552.0,110.0,218.0,285.0,56.0,1924.0,483.0,497.0,52.0,8.0,0.0,0.0,0.0,437.0,1008.0,278.0,0.0,0.0,18.0,712.0,-29.0,-57.0,28.0,0.0,0.0,28.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,545.0,28.0,1703.0,423.0,0.0,829.0,0.0,-357.0,-3462.0,3105.0,-358.0,2327.0,2685.0,451.0,8013.0,7562.0,0.0,0.0,0.0,638.0,4326.0,4964.0,0.0,0.0,M11
(주)누리플랜,069140,2018/12,6359,이형기,경기도 김포시 대곶면 대곶로202번길 191,51,1994/03/04,12,136-81-16116,410997,500,14402564,0,이촌회계법인,현대회계법인,25,제조업,25,금속가공제품 제조업; 기계 및 가구 제외,41436.0,12561.0,12234.0,913.0,2329.0,840.0,0.0,-36.0,1525.0,3572.0,0.0,5420.0,326.0,0.0,67.0,0.0,0.0,259.0,0.0,0.0,28875.0,14832.0,457.0,0.0,12495.0,7083.0,315.0,4656.0,255.0,13.0,0.0,173.0,1292.0,256.0,0.0,19354.0,14447.0,1623.0,2787.0,4898.0,5139.0,4908.0,0.0,4050.0,578.0,280.0,0.0,22081.0,2376.0,9613.0,813.0,0.0,9279.0,7584.0,373.0,41436.0,31804.0,26430.0,5374.0,7535.0,3229.0,267.0,595.0,89.0,230.0,316.0,161.0,2649.0,-2161.0,4688.0,34.0,7.0,0.0,0.0,3313.0,1334.0,1396.0,643.0,0.0,0.0,0.0,753.0,1131.0,758.0,373.0,0.0,0.0,373.0,80.0,80.0,0.0,0.0,373.0,,,-1088.0,373.0,3376.0,418.0,0.0,5276.0,0.0,438.0,4578.0,-4140.0,-8233.0,2033.0,10265.0,5270.0,14892.0,9622.0,0.0,0.0,0.0,-4051.0,4964.0,913.0,0.0,0.0,M11
(주)누리플랜,069140,2019/12,6359,이형기,경기도 김포시 대곶면 대곶로202번길 191,51,1994/03/04,12,136-81-16116,410997,500,14402564,0,이촌회계법인,현대회계법인,25,제조업,25,금속가공제품 제조업; 기계 및 가구 제외,53280.0,12676.0,12290.0,1954.0,601.0,0.0,0.0,0.0,601.0,3941.0,0.0,5795.0,385.0,0.0,170.0,0.0,0.0,215.0,0.0,0.0,40604.0,26773.0,312.0,0.0,11937.0,7083.0,0.0,4510.0,202.0,4.0,0.0,138.0,1353.0,541.0,0.0,29677.0,20766.0,1113.0,5637.0,250.0,13765.0,8911.0,0.0,7800.0,820.0,291.0,0.0,23603.0,2735.0,13976.0,1190.0,0.0,5702.0,4008.0,-3518.0,53280.0,32924.0,27154.0,5770.0,7579.0,3255.0,320.0,672.0,91.0,43.0,2806.0,128.0,2529.0,-1810.0,3292.0,53.0,6.0,0.0,0.0,1478.0,1755.0,5167.0,1154.0,0.0,0.0,3572.0,441.0,-3685.0,-166.0,-3518.0,0.0,0.0,-3518.0,-665.0,-665.0,0.0,0.0,-3518.0,,,-383.0,-3518.0,5901.0,628.0,0.0,3207.0,0.0,442.0,-63.0,505.0,-11944.0,6081.0,18025.0,13367.0,20654.0,7287.0,0.0,0.0,0.0,1040.0,913.0,1954.0,0.0,0.0,M11
