회사명,거래소코드,회계년도,상장협코드,대표이사명,본사 주소,종업원,설립일,결산월,사업자등록번호,금감원등록번호,발행주식 액면가(원),발행주식 보통주,발행주식 우선주,외부감사기관,회계감사법인,통계청 한국표준산업분류 코드 11차(대분류),통계청 한국표준산업분류 11차(대분류),통계청 한국표준산업분류 코드 11차(중분류),통계청 한국표준산업분류 11차(중분류),자산총계(요약)(백만원),유동자산(요약)(백만원),당좌자산(요약)(백만원),현금 및 현금성자산(요약)(백만원),단기투자자산(요약)(백만원),단기예금(요약)(백만원),단기매매증권(요약)(백만원),단기대여금(요약)(백만원),기타단기투자자산(요약)(백만원),매출채권(요약)(백만원),*할인어음 또는 배서어음(요약)(백만원),기타당좌자산(요약)(백만원),재고자산(요약)(백만원),상품(요약)(백만원),제품(요약)(백만원),반제품(요약)(백만원),재공품(요약)(백만원),원재료(요약)(백만원),기타재고자산(요약)(백만원),임대주택자산(요약)(백만원),비유동자산(요약)(백만원),투자자산(요약)(백만원),*장기금융상품(요약)(백만원),*투자유가증권(장기투자증권)(요약)(백만원),유형자산(요약)(백만원),토지,건설중인자산,건물,기계장치,차량운반구,렌탈자산,설비자산,무형자산(요약)(백만원),기타비유동자산(요약)(백만원),이연자산(요약)(백만원),부채총계(요약)(백만원),유동부채(요약)(백만원),매입채무(요약)(백만원),단기차입금(요약)(백만원),유동성장기부채(요약)(백만원),기타유동부채(요약)(백만원),비유동부채(요약)(백만원),사채(요약)(백만원),장기차입금(요약)(백만원),제충당금(요약)(백만원),기타비유동부채(요약)(백만원),이연부채(요약)(백만원),자본총계(요약)(백만원),자본금(요약)(백만원),자본잉여금(요약)(백만원),자본조정(요약)(백만원),기타포괄손익누계액(요약)(백만원),이익잉여금(요약)(백만원),*미처분이익잉여금 및 차기이월미처분이익잉여금(요약)(백만원),*당기순이익(요약)(백만원),부채와자본총계(요약)(백만원),매출액(요약)(백만원),매출원가(요약)(백만원),매출총이익(요약)(백만원),판매비와 관리비(요약)(백만원),급료,퇴직급여(요약)(백만원),복리후생비(요약)(백만원),세금과공과(요약)(백만원),임차료(요약)(백만원),감가상각비,연구비,기타 판매비와 관리비(요약)(백만원),영업이익(요약)(백만원),영업외수익(요약)(백만원),이자수익(요약)(백만원),배당금수익(요약)(백만원),외환차익(요약)(백만원),외화환산이익(요약)(백만원),지분법이익(요약)(백만원),기타영업외수익(요약)(백만원),영업외비용(요약)(백만원),이자비용(요약)(백만원),외환차손(요약)(백만원),외화환산손실(요약)(백만원),지분법손실(요약)(백만원),기타영업외비용(요약)(백만원),법인세비용차감전(계속사업)손익(요약)(백만원),(계속사업손익)법인세비용(요약)(백만원),계속사업이익(요약)(백만원),중단사업이익(요약)(백만원),*법인세효과(요약)(백만원),당기순이익(요약)(백만원),주당계속사업이익(요약)(원),주당순이익(요약)(원),희석화주당계속사업이익(요약)(원),희석화주당순이익(요약)(원),CPA수정후 당기순이익(요약)(백만원),*주당경상이익(2007년 이전 발생)(요약)(원),*희석화주당경상이익(2007년 이전 발생)(요약)(원),영업활동으로 인한 현금흐름(요약)(백만원),당기순이익(요약)(백만원).1,현금의 유출이 없는 비용 등 가산(요약)(백만원),*감가상각비,*전기오류수정손익(요약)(백만원),현금의 유입이없는 수익등의 차감(요약)(백만원),*전기오류수정손익(요약)(백만원).1,영업활동으로 인한 자산 및 부채의변동(요약)(백만원),영업활동으로 인한 자산의 감소(증가)(요약)(백만원),영업활동으로 인한 부채의 증가(감소)(요약)(백만원),투자활동으로 인한 현금흐름(요약)(백만원),투자활동으로 인한 현금유입액(요약)(백만원),투자활동으로 인한 현금유출액(요약)(백만원),재무활동으로 인한 현금흐름(요약)(백만원),재무활동으로 인한 현금유입액(요약)(백만원),재무활동으로 인한 현금유출액(요약)(백만원),영업,합병분할(영업양수도)으로 인한 증가(감소)(요약)(백만원),환율변동으로 인한 차이조정(요약)(백만원),현금의 증가(감소)(요약)(백만원),기초현금(요약)(백만원),기말현금(요약)(백만원),현금등가물(요약)(백만원),현금의 수입과 지출이 없는 거래(요약)(백만원),M코드
(주)그린광학,0015G0,2010/12,7642,조현일,충북 청주시 청원구 오창읍 각리1길 45,280,1999/04/14,12,301-81-36394,677486,500,11702541,0,신한회계법인,-,27,제조업,27,"의료, 정밀, 광학기기 및 시계 제조업",11580.0,4876.0,3862.0,444.0,778.0,0.0,0.0,778.0,0.0,1622.0,0.0,1017.0,1014.0,0.0,506.0,0.0,216.0,292.0,0.0,0.0,6704.0,842.0,827.0,15.0,3847.0,0.0,10.0,2275.0,1321.0,1.0,0.0,240.0,1743.0,271.0,0.0,7726.0,6311.0,646.0,4002.0,676.0,988.0,1415.0,0.0,785.0,116.0,514.0,0.0,3854.0,350.0,0.0,0.0,0.0,3504.0,3501.0,1366.0,11580.0,10332.0,6410.0,3922.0,2317.0,899.0,81.0,315.0,32.0,96.0,2591.0,34.0,533.0,1605.0,244.0,72.0,0.0,47.0,3.0,0.0,122.0,483.0,326.0,57.0,1.0,0.0,99.0,1366.0,0.0,1366.0,0.0,0.0,1366.0,1952.0,1952.0,0.0,0.0,1366.0,,,1688.0,1366.0,1083.0,837.0,0.0,38.0,0.0,-723.0,-1063.0,340.0,-2972.0,133.0,3105.0,1839.0,3760.0,1921.0,0.0,0.0,0.0,554.0,273.0,827.0,0.0,863.0,M14
(주)그린광학,0015G0,2011/12,7642,조현일,충북 청주시 청원구 오창읍 각리1길 45,280,1999/04/14,12,301-81-36394,677486,500,11702541,0,신한회계법인,태성회계법인,27,제조업,27,"의료, 정밀, 광학기기 및 시계 제조업",13774.0,6190.0,4589.0,247.0,953.0,10.0,0.0,943.0,0.0,1524.0,0.0,1865.0,1601.0,0.0,858.0,0.0,128.0,616.0,0.0,0.0,7583.0,1049.0,1034.0,15.0,4222.0,0.0,12.0,2717.0,1139.0,67.0,0.0,287.0,2081.0,231.0,0.0,8365.0,6333.0,821.0,4127.0,576.0,809.0,2032.0,0.0,1099.0,362.0,571.0,0.0,5408.0,350.0,0.0,0.0,0.0,5058.0,5055.0,1555.0,13774.0,13949.0,8374.0,5575.0,3723.0,1181.0,335.0,385.0,39.0,75.0,2790.0,96.0,1087.0,1852.0,219.0,113.0,0.0,32.0,1.0,0.0,72.0,516.0,356.0,37.0,2.0,0.0,121.0,1555.0,0.0,1555.0,0.0,0.0,1555.0,2221.0,2221.0,0.0,0.0,1555.0,,,1537.0,1555.0,1812.0,1129.0,0.0,74.0,0.0,-1755.0,-1737.0,-18.0,-2566.0,539.0,3105.0,1062.0,2059.0,998.0,0.0,0.0,0.0,33.0,827.0,861.0,0.0,731.0,M14
(주)그린광학,0015G0,2012/12,7642,조현일,충북 청주시 청원구 오창읍 각리1길 45,280,1999/04/14,12,301-81-36394,677486,500,11702541,0,신한회계법인,태성회계법인,27,제조업,27,"의료, 정밀, 광학기기 및 시계 제조업",16616.0,5641.0,3647.0,278.0,846.0,0.0,0.0,846.0,0.0,1242.0,0.0,1282.0,1994.0,0.0,666.0,0.0,703.0,625.0,0.0,0.0,10975.0,1174.0,1159.0,15.0,7339.0,1716.0,41.0,2640.0,2487.0,54.0,0.0,402.0,2287.0,174.0,0.0,10822.0,6603.0,362.0,4457.0,825.0,958.0,4220.0,0.0,3498.0,568.0,153.0,0.0,5793.0,350.0,0.0,0.0,0.0,5443.0,5441.0,385.0,16616.0,11521.0,7913.0,3608.0,3086.0,863.0,177.0,342.0,58.0,57.0,2877.0,236.0,740.0,523.0,510.0,102.0,0.0,28.0,3.0,0.0,377.0,638.0,454.0,39.0,1.0,0.0,145.0,394.0,9.0,385.0,0.0,0.0,385.0,550.0,550.0,0.0,0.0,385.0,,,1936.0,385.0,2138.0,1535.0,0.0,358.0,0.0,-229.0,165.0,-393.0,-5996.0,863.0,6859.0,3724.0,6834.0,3110.0,0.0,0.0,0.0,-335.0,861.0,525.0,0.0,1047.0,M14
(주)그린광학,0015G0,2013/12,7642,조현일,충북 청주시 청원구 오창읍 각리1길 45,280,1999/04/14,12,301-81-36394,677486,500,11702541,0,신한회계법인,태성회계법인,27,제조업,27,"의료, 정밀, 광학기기 및 시계 제조업",20950.0,6268.0,4300.0,214.0,737.0,60.0,0.0,677.0,0.0,2337.0,0.0,1012.0,1969.0,0.0,660.0,0.0,953.0,356.0,0.0,0.0,14681.0,1958.0,1928.0,30.0,9931.0,1716.0,0.0,3346.0,4096.0,34.0,0.0,739.0,2594.0,199.0,0.0,13540.0,9169.0,828.0,4098.0,2381.0,1862.0,4371.0,0.0,3026.0,954.0,391.0,0.0,7410.0,350.0,0.0,0.0,0.0,7060.0,7057.0,1617.0,20950.0,17802.0,11202.0,6599.0,3882.0,1090.0,222.0,345.0,58.0,71.0,2758.0,161.0,1442.0,2717.0,350.0,93.0,0.0,31.0,6.0,0.0,221.0,1269.0,441.0,36.0,1.0,0.0,791.0,1798.0,181.0,1617.0,0.0,0.0,1617.0,2310.0,2310.0,0.0,0.0,1617.0,,,4170.0,1617.0,3019.0,1328.0,0.0,169.0,0.0,-298.0,-1578.0,1281.0,-6760.0,382.0,7142.0,3820.0,6607.0,2786.0,0.0,0.0,0.0,1230.0,525.0,1755.0,0.0,2953.0,M14
(주)그린광학,0015G0,2014/12,7642,조현일,충북 청주시 청원구 오창읍 각리1길 45,280,1999/04/14,12,301-81-36394,677486,500,11702541,0,신한회계법인,태성회계법인,27,제조업,27,"의료, 정밀, 광학기기 및 시계 제조업",26015.0,7338.0,5291.0,240.0,950.0,263.0,0.0,687.0,0.0,3049.0,0.0,1052.0,2048.0,0.0,544.0,0.0,982.0,521.0,0.0,0.0,18676.0,1695.0,1650.0,45.0,13563.0,1800.0,243.0,4849.0,5841.0,14.0,0.0,817.0,3341.0,78.0,0.0,16450.0,11784.0,1009.0,7754.0,1440.0,1580.0,4666.0,0.0,3185.0,1142.0,339.0,0.0,9564.0,350.0,0.0,0.0,0.0,9214.0,9211.0,2154.0,26015.0,20531.0,13859.0,6672.0,4212.0,1324.0,189.0,413.0,38.0,91.0,2978.0,77.0,1365.0,2460.0,358.0,108.0,0.0,45.0,7.0,0.0,198.0,586.0,452.0,31.0,11.0,0.0,91.0,2233.0,79.0,2154.0,0.0,0.0,2154.0,3077.0,3077.0,0.0,0.0,2154.0,,,3302.0,2154.0,2794.0,1817.0,0.0,111.0,0.0,-1534.0,-1467.0,-67.0,-8396.0,1115.0,9511.0,4662.0,10125.0,5464.0,0.0,0.0,0.0,-432.0,1755.0,1323.0,0.0,1976.0,M14
(주)그린광학,0015G0,2015/12,7642,조현일,충북 청주시 청원구 오창읍 각리1길 45,280,1999/04/14,12,301-81-36394,677486,500,11702541,0,신한회계법인,태성회계법인,27,제조업,27,"의료, 정밀, 광학기기 및 시계 제조업",32122.0,8495.0,5765.0,196.0,1201.0,332.0,0.0,869.0,0.0,3062.0,0.0,1306.0,2730.0,0.0,768.0,0.0,1499.0,463.0,0.0,0.0,23628.0,2121.0,1929.0,192.0,17470.0,1738.0,1403.0,4705.0,8598.0,5.0,0.0,1022.0,3975.0,60.0,0.0,19965.0,15538.0,1050.0,8688.0,2008.0,3792.0,4427.0,0.0,2550.0,1642.0,234.0,0.0,12157.0,350.0,0.0,0.0,0.0,11807.0,11801.0,2623.0,32122.0,25530.0,18152.0,7378.0,4730.0,1499.0,370.0,361.0,42.0,101.0,3100.0,225.0,1297.0,2648.0,727.0,115.0,0.0,68.0,10.0,0.0,535.0,659.0,429.0,96.0,5.0,0.0,128.0,2716.0,93.0,2623.0,0.0,0.0,2623.0,3747.0,3747.0,0.0,0.0,2623.0,,,6847.0,2623.0,3485.0,2498.0,0.0,393.0,0.0,1132.0,-942.0,2074.0,-9682.0,1269.0,10951.0,2390.0,6603.0,4213.0,0.0,0.0,0.0,-445.0,1323.0,878.0,0.0,2742.0,M14
(주)그린광학,0015G0,2016/12,7642,조현일,충북 청주시 청원구 오창읍 각리1길 45,280,1999/04/14,12,301-81-36394,677486,500,11702541,0,신한회계법인,태성회계법인,27,제조업,27,"의료, 정밀, 광학기기 및 시계 제조업",41887.0,10673.0,5674.0,329.0,1503.0,290.0,0.0,1213.0,0.0,3071.0,0.0,772.0,4999.0,0.0,653.0,0.0,2951.0,1395.0,0.0,0.0,31214.0,2347.0,2028.0,318.0,24141.0,1738.0,4519.0,5740.0,10379.0,23.0,0.0,1742.0,4670.0,56.0,0.0,29114.0,20811.0,1709.0,11706.0,2334.0,5062.0,8303.0,0.0,5592.0,2402.0,309.0,0.0,12772.0,350.0,0.0,0.0,19.0,12403.0,12397.0,596.0,41887.0,30048.0,22435.0,7613.0,6047.0,1865.0,211.0,459.0,45.0,60.0,3252.0,610.0,1808.0,1566.0,552.0,89.0,0.0,104.0,19.0,0.0,340.0,1515.0,433.0,152.0,16.0,0.0,915.0,603.0,7.0,596.0,0.0,0.0,596.0,852.0,852.0,0.0,0.0,596.0,,,4767.0,596.0,4964.0,3177.0,0.0,19.0,0.0,-774.0,-2445.0,1671.0,-13122.0,1234.0,14355.0,8386.0,14327.0,5941.0,0.0,0.0,0.0,32.0,878.0,910.0,0.0,3293.0,M14
(주)그린광학,0015G0,2017/12,7642,조현일,충북 청주시 청원구 오창읍 각리1길 45,280,1999/04/14,12,301-81-36394,677486,500,11702541,0,신한회계법인,삼정회계법인,27,제조업,27,"의료, 정밀, 광학기기 및 시계 제조업",54212.0,15348.0,9041.0,919.0,1208.0,150.0,0.0,1058.0,0.0,5825.0,0.0,1089.0,6307.0,0.0,2361.0,0.0,2469.0,1250.0,227.0,0.0,38864.0,1324.0,1150.0,0.0,29891.0,1685.0,3021.0,8674.0,13292.0,97.0,0.0,3122.0,4135.0,3514.0,0.0,38240.0,22803.0,2296.0,12037.0,2730.0,5740.0,15437.0,3404.0,3812.0,3482.0,4739.0,0.0,15972.0,3500.0,0.0,-3150.0,0.0,15622.0,15616.0,4125.0,54212.0,39458.0,27879.0,11579.0,6469.0,2363.0,191.0,561.0,75.0,71.0,2909.0,56.0,2506.0,5110.0,1765.0,140.0,0.0,95.0,13.0,0.0,1517.0,3034.0,1411.0,144.0,52.0,0.0,1427.0,3841.0,-284.0,4125.0,0.0,0.0,4125.0,589.0,589.0,0.0,0.0,4125.0,,,1987.0,4125.0,9225.0,4110.0,0.0,1834.0,0.0,-9529.0,-7353.0,-2176.0,-10922.0,4364.0,15286.0,9299.0,16887.0,7587.0,0.0,0.0,-3.0,362.0,910.0,1272.0,0.0,0.0,M14
(주)그린광학,0015G0,2018/12,7642,조현일,충북 청주시 청원구 오창읍 각리1길 45,280,1999/04/14,12,301-81-36394,677486,500,11702541,0,신한회계법인,삼정회계법인,27,제조업,27,"의료, 정밀, 광학기기 및 시계 제조업",63131.0,17924.0,8419.0,295.0,562.0,112.0,0.0,450.0,0.0,4452.0,0.0,3109.0,9506.0,0.0,1890.0,0.0,6827.0,787.0,2.0,0.0,45207.0,3353.0,657.0,0.0,35766.0,1690.0,4564.0,11275.0,15331.0,89.0,0.0,2817.0,3310.0,2778.0,0.0,53793.0,44617.0,1686.0,21653.0,2427.0,18851.0,9176.0,0.0,4717.0,4265.0,195.0,0.0,9338.0,3500.0,0.0,-3150.0,0.0,8988.0,8982.0,-6245.0,63131.0,33725.0,29688.0,4037.0,7068.0,2763.0,277.0,593.0,82.0,96.0,2637.0,325.0,2561.0,-3031.0,1348.0,50.0,0.0,96.0,17.0,0.0,1186.0,3744.0,1885.0,106.0,12.0,0.0,1741.0,-5427.0,818.0,-6245.0,0.0,0.0,-6245.0,-892.0,-892.0,0.0,0.0,-6245.0,,,-734.0,-6245.0,12294.0,4843.0,0.0,670.0,0.0,-6112.0,-7560.0,1447.0,-11412.0,6890.0,18303.0,11471.0,18056.0,6584.0,0.0,0.0,0.0,-675.0,1272.0,597.0,0.0,0.0,M14
(주)그린광학,0015G0,2019/12,7642,조현일,충북 청주시 청원구 오창읍 각리1길 45,280,1999/04/14,12,301-81-36394,677486,500,11702541,0,신한회계법인,신한회계법인,27,제조업,27,"의료, 정밀, 광학기기 및 시계 제조업",60349.0,17562.0,4578.0,90.0,166.0,10.0,0.0,156.0,0.0,3053.0,0.0,1270.0,12984.0,0.0,1852.0,0.0,10065.0,1067.0,0.0,0.0,42787.0,3709.0,206.0,0.0,33297.0,1690.0,260.0,10706.0,17688.0,53.0,0.0,2898.0,3347.0,2434.0,0.0,56030.0,45645.0,2307.0,20472.0,2466.0,20400.0,10385.0,0.0,4209.0,5879.0,296.0,0.0,4319.0,3500.0,0.0,-3150.0,0.0,3969.0,3963.0,-4552.0,60349.0,25465.0,21914.0,3550.0,6074.0,2721.0,339.0,460.0,116.0,18.0,2629.0,419.0,1637.0,-2524.0,1461.0,103.0,0.0,73.0,60.0,0.0,1225.0,2834.0,1896.0,107.0,41.0,0.0,791.0,-3897.0,655.0,-4552.0,0.0,0.0,-4552.0,-650.0,-650.0,0.0,0.0,-4552.0,,,2983.0,-4552.0,10092.0,4624.0,0.0,1435.0,0.0,-1123.0,-2461.0,1338.0,-1913.0,4700.0,6613.0,-1355.0,4358.0,5713.0,0.0,0.0,0.0,-286.0,597.0,311.0,0.0,0.0,M14
(주)그린광학,0015G0,2020/12,7642,조현일,충북 청주시 청원구 오창읍 각리1길 45,280,1999/04/14,12,301-81-36394,677486,500,11702541,0,신한회계법인,신한회계법인,27,제조업,27,"의료, 정밀, 광학기기 및 시계 제조업",63259.0,22317.0,4594.0,121.0,0.0,0.0,0.0,0.0,0.0,3702.0,0.0,771.0,17723.0,404.0,2710.0,0.0,13365.0,1241.0,3.0,0.0,40942.0,3732.0,245.0,0.0,30716.0,2597.0,220.0,10391.0,15653.0,22.0,0.0,1833.0,2836.0,3657.0,0.0,56590.0,45961.0,2357.0,18956.0,2410.0,22238.0,10629.0,0.0,3489.0,3796.0,3343.0,0.0,6669.0,3500.0,0.0,-3150.0,0.0,6319.0,6314.0,696.0,63259.0,30300.0,23399.0,6901.0,4809.0,1748.0,670.0,392.0,66.0,14.0,2752.0,368.0,1063.0,2092.0,1071.0,72.0,0.0,187.0,57.0,0.0,756.0,2886.0,2083.0,189.0,230.0,0.0,384.0,277.0,-419.0,696.0,0.0,0.0,696.0,99.0,99.0,0.0,0.0,696.0,,,4138.0,696.0,9118.0,5134.0,0.0,2301.0,0.0,-3375.0,-6199.0,2825.0,-1934.0,731.0,2665.0,-2246.0,4650.0,6897.0,0.0,0.0,0.0,-42.0,311.0,268.0,0.0,0.0,M14
(주)그린광학,0015G0,2021/12,7642,조현일,충북 청주시 청원구 오창읍 각리1길 45,280,1999/04/14,12,301-81-36394,677486,500,11702541,0,신한회계법인,신한회계법인,27,제조업,27,"의료, 정밀, 광학기기 및 시계 제조업",62652.0,24035.0,8473.0,2894.0,0.0,0.0,0.0,0.0,0.0,4328.0,0.0,1251.0,15562.0,13.0,2243.0,0.0,12545.0,762.0,0.0,0.0,38617.0,3852.0,294.0,0.0,27377.0,2597.0,124.0,10069.0,13927.0,3.0,0.0,657.0,2276.0,5112.0,0.0,43131.0,33872.0,526.0,17233.0,1427.0,14687.0,9259.0,0.0,2230.0,3604.0,3425.0,0.0,19521.0,4182.0,9813.0,-3150.0,0.0,8676.0,8670.0,1940.0,62652.0,32313.0,24757.0,7556.0,5583.0,1974.0,286.0,322.0,45.0,25.0,2710.0,727.0,1760.0,1974.0,1280.0,74.0,0.0,126.0,257.0,0.0,823.0,2776.0,1910.0,94.0,4.0,0.0,768.0,477.0,-1463.0,1940.0,0.0,0.0,1940.0,272.0,272.0,0.0,0.0,1940.0,,,290.0,1940.0,9526.0,4776.0,0.0,2230.0,0.0,-8946.0,-1350.0,-7596.0,-1115.0,2181.0,3297.0,3521.0,15427.0,11907.0,0.0,0.0,0.0,2695.0,268.0,2964.0,0.0,0.0,M14
