회사명,거래소코드,회계년도,상장협코드,대표이사명,본사 주소,종업원,설립일,결산월,사업자등록번호,금감원등록번호,발행주식 액면가(원),발행주식 보통주,발행주식 우선주,외부감사기관,회계감사법인,통계청 한국표준산업분류 코드 11차(대분류),통계청 한국표준산업분류 11차(대분류),통계청 한국표준산업분류 코드 11차(중분류),통계청 한국표준산업분류 11차(중분류),자산총계(요약)(백만원),유동자산(요약)(백만원),당좌자산(요약)(백만원),현금 및 현금성자산(요약)(백만원),단기투자자산(요약)(백만원),단기예금(요약)(백만원),단기매매증권(요약)(백만원),단기대여금(요약)(백만원),기타단기투자자산(요약)(백만원),매출채권(요약)(백만원),*할인어음 또는 배서어음(요약)(백만원),기타당좌자산(요약)(백만원),재고자산(요약)(백만원),상품(요약)(백만원),제품(요약)(백만원),반제품(요약)(백만원),재공품(요약)(백만원),원재료(요약)(백만원),기타재고자산(요약)(백만원),임대주택자산(요약)(백만원),비유동자산(요약)(백만원),투자자산(요약)(백만원),*장기금융상품(요약)(백만원),*투자유가증권(장기투자증권)(요약)(백만원),유형자산(요약)(백만원),토지,건설중인자산,건물,기계장치,차량운반구,렌탈자산,설비자산,무형자산(요약)(백만원),기타비유동자산(요약)(백만원),이연자산(요약)(백만원),부채총계(요약)(백만원),유동부채(요약)(백만원),매입채무(요약)(백만원),단기차입금(요약)(백만원),유동성장기부채(요약)(백만원),기타유동부채(요약)(백만원),비유동부채(요약)(백만원),사채(요약)(백만원),장기차입금(요약)(백만원),제충당금(요약)(백만원),기타비유동부채(요약)(백만원),이연부채(요약)(백만원),자본총계(요약)(백만원),자본금(요약)(백만원),자본잉여금(요약)(백만원),자본조정(요약)(백만원),기타포괄손익누계액(요약)(백만원),이익잉여금(요약)(백만원),*미처분이익잉여금 및 차기이월미처분이익잉여금(요약)(백만원),*당기순이익(요약)(백만원),부채와자본총계(요약)(백만원),매출액(요약)(백만원),매출원가(요약)(백만원),매출총이익(요약)(백만원),판매비와 관리비(요약)(백만원),급료,퇴직급여(요약)(백만원),복리후생비(요약)(백만원),세금과공과(요약)(백만원),임차료(요약)(백만원),감가상각비,연구비,기타 판매비와 관리비(요약)(백만원),영업이익(요약)(백만원),영업외수익(요약)(백만원),이자수익(요약)(백만원),배당금수익(요약)(백만원),외환차익(요약)(백만원),외화환산이익(요약)(백만원),지분법이익(요약)(백만원),기타영업외수익(요약)(백만원),영업외비용(요약)(백만원),이자비용(요약)(백만원),외환차손(요약)(백만원),외화환산손실(요약)(백만원),지분법손실(요약)(백만원),기타영업외비용(요약)(백만원),법인세비용차감전(계속사업)손익(요약)(백만원),(계속사업손익)법인세비용(요약)(백만원),계속사업이익(요약)(백만원),중단사업이익(요약)(백만원),*법인세효과(요약)(백만원),당기순이익(요약)(백만원),주당계속사업이익(요약)(원),주당순이익(요약)(원),희석화주당계속사업이익(요약)(원),희석화주당순이익(요약)(원),CPA수정후 당기순이익(요약)(백만원),*주당경상이익(2007년 이전 발생)(요약)(원),*희석화주당경상이익(2007년 이전 발생)(요약)(원),영업활동으로 인한 현금흐름(요약)(백만원),당기순이익(요약)(백만원).1,현금의 유출이 없는 비용 등 가산(요약)(백만원),*감가상각비,*전기오류수정손익(요약)(백만원),현금의 유입이없는 수익등의 차감(요약)(백만원),*전기오류수정손익(요약)(백만원).1,영업활동으로 인한 자산 및 부채의변동(요약)(백만원),영업활동으로 인한 자산의 감소(증가)(요약)(백만원),영업활동으로 인한 부채의 증가(감소)(요약)(백만원),투자활동으로 인한 현금흐름(요약)(백만원),투자활동으로 인한 현금유입액(요약)(백만원),투자활동으로 인한 현금유출액(요약)(백만원),재무활동으로 인한 현금흐름(요약)(백만원),재무활동으로 인한 현금유입액(요약)(백만원),재무활동으로 인한 현금유출액(요약)(백만원),영업,합병분할(영업양수도)으로 인한 증가(감소)(요약)(백만원),환율변동으로 인한 차이조정(요약)(백만원),현금의 증가(감소)(요약)(백만원),기초현금(요약)(백만원),기말현금(요약)(백만원),현금등가물(요약)(백만원),현금의 수입과 지출이 없는 거래(요약)(백만원),M코드
(주)꿈비,407400,2021/12,7317,박영건,경기도 용인시 기흥구 동백죽전대로175번길 6 3층,67,2014/10/27,12,318-81-04963,1586455,100,14634534,0,동현회계법인,신우회계법인,32,제조업,32,가구 제조업,11534.0,5389.0,3304.0,2058.0,75.0,10.0,0.0,65.0,0.0,764.0,0.0,406.0,2085.0,29.0,1792.0,0.0,0.0,116.0,147.0,0.0,6146.0,690.0,0.0,0.0,4649.0,1716.0,68.0,2374.0,263.0,70.0,0.0,159.0,194.0,613.0,0.0,6046.0,3757.0,845.0,285.0,1358.0,1268.0,2289.0,0.0,2275.0,0.0,14.0,0.0,5489.0,613.0,602.0,69.0,0.0,4205.0,4194.0,1808.0,11534.0,20851.0,12608.0,8243.0,5845.0,1994.0,159.0,277.0,108.0,17.0,2905.0,352.0,2297.0,2398.0,32.0,2.0,0.0,17.0,0.0,0.0,13.0,190.0,100.0,1.0,0.0,0.0,89.0,2240.0,431.0,1808.0,0.0,0.0,1808.0,1509.0,1509.0,0.0,0.0,1808.0,,,1954.0,1808.0,1289.0,677.0,0.0,15.0,0.0,-1128.0,-977.0,-152.0,-957.0,1119.0,2076.0,378.0,1267.0,889.0,0.0,0.0,0.0,1376.0,683.0,2058.0,0.0,0.0,M16
(주)꿈비,407400,2022/12,7317,박영건,경기도 용인시 기흥구 동백죽전대로175번길 6 3층,67,2014/10/27,12,318-81-04963,1586455,100,14634534,0,동현회계법인,신우회계법인,32,제조업,32,가구 제조업,16022.0,8985.0,4656.0,178.0,712.0,0.0,0.0,712.0,0.0,2930.0,0.0,836.0,4329.0,1013.0,2161.0,0.0,0.0,77.0,1077.0,0.0,7037.0,362.0,0.0,300.0,6260.0,2240.0,134.0,3338.0,416.0,4.0,0.0,127.0,163.0,251.0,0.0,7884.0,5901.0,763.0,3200.0,1192.0,747.0,1983.0,0.0,1983.0,0.0,0.0,0.0,8138.0,613.0,602.0,168.0,1231.0,5524.0,5513.0,1318.0,16022.0,26911.0,17997.0,8914.0,7774.0,2475.0,184.0,344.0,127.0,162.0,2886.0,559.0,3301.0,1140.0,74.0,2.0,0.0,14.0,1.0,0.0,58.0,286.0,164.0,70.0,42.0,0.0,10.0,928.0,-391.0,1318.0,0.0,0.0,1318.0,216.0,216.0,0.0,0.0,1318.0,,,-3343.0,1318.0,1014.0,705.0,0.0,449.0,0.0,-5226.0,-5170.0,-56.0,-636.0,131.0,766.0,2097.0,4478.0,2380.0,0.0,0.0,0.0,-1881.0,2058.0,178.0,0.0,0.0,M16
(주)꿈비,407400,2023/12,7317,박영건,경기도 용인시 기흥구 동백죽전대로175번길 6 3층,67,2014/10/27,12,318-81-04963,1586455,100,14634534,0,동현회계법인,동현회계법인,32,제조업,32,가구 제조업,49130.0,30770.0,22241.0,3169.0,14613.0,14000.0,0.0,613.0,0.0,2373.0,0.0,2085.0,8529.0,2170.0,2901.0,0.0,0.0,64.0,3394.0,0.0,18360.0,3503.0,0.0,973.0,13518.0,7905.0,284.0,4348.0,568.0,255.0,0.0,158.0,210.0,1130.0,0.0,13447.0,8032.0,2481.0,2500.0,1925.0,1126.0,5416.0,0.0,5348.0,0.0,67.0,0.0,35683.0,1226.0,29813.0,99.0,1367.0,3178.0,3167.0,-2346.0,49130.0,28177.0,20565.0,7612.0,10325.0,3224.0,262.0,437.0,156.0,762.0,2633.0,862.0,4253.0,-2713.0,482.0,398.0,0.0,65.0,9.0,0.0,10.0,880.0,300.0,81.0,0.0,0.0,499.0,-3111.0,-765.0,-2346.0,0.0,0.0,-2346.0,-222.0,-222.0,0.0,0.0,-2346.0,,,-4925.0,-2346.0,1525.0,494.0,0.0,1172.0,0.0,-2931.0,-4937.0,2006.0,-25161.0,8610.0,33770.0,33077.0,35084.0,2007.0,0.0,0.0,0.0,2992.0,178.0,3169.0,0.0,0.0,M16
(주)꿈비,407400,2024/12,7317,박영건,경기도 용인시 기흥구 동백죽전대로175번길 6 3층,67,2014/10/27,12,318-81-04963,1586455,100,14634534,0,동현회계법인,동현회계법인,32,제조업,32,가구 제조업,71815.0,47645.0,36902.0,7988.0,19128.0,17026.0,0.0,2102.0,0.0,2893.0,0.0,6894.0,10742.0,5300.0,3735.0,0.0,0.0,60.0,1647.0,0.0,24170.0,7514.0,0.0,1245.0,15362.0,8497.0,332.0,5098.0,1054.0,193.0,0.0,189.0,655.0,640.0,0.0,38210.0,37425.0,476.0,2500.0,7375.0,27074.0,784.0,0.0,733.0,0.0,51.0,0.0,33605.0,1226.0,29813.0,223.0,1231.0,1112.0,1102.0,-2417.0,71815.0,38059.0,24801.0,13258.0,13094.0,3635.0,389.0,441.0,194.0,1183.0,2838.0,882.0,5795.0,164.0,932.0,685.0,0.0,44.0,64.0,0.0,139.0,2597.0,1585.0,139.0,0.0,0.0,872.0,-1500.0,917.0,-2417.0,0.0,0.0,-2417.0,-205.0,-205.0,0.0,0.0,-2417.0,,,-3823.0,-2417.0,4208.0,714.0,0.0,839.0,0.0,-4775.0,-2944.0,-1831.0,-12100.0,17515.0,29615.0,20742.0,23210.0,2468.0,0.0,0.0,0.0,4818.0,3169.0,7988.0,0.0,0.0,M16
(주)노바텍,285490,2017/12,6873,오춘택,"경기도 용인시 기흥구 흥덕중앙로 120, 1101호,1105호,1106호,1107호,1111호,1112호,1113호(영덕동,유타워)",42,2007/03/01,12,123-86-09157,1259232,500,10575831,0,이촌회계법인,한영회계법인,33,제조업,33,기타 제품 제조업,18409.0,7965.0,6979.0,1746.0,3016.0,2997.0,0.0,19.0,0.0,1735.0,0.0,482.0,987.0,0.0,436.0,0.0,5.0,467.0,79.0,0.0,10443.0,6877.0,0.0,0.0,437.0,0.0,0.0,0.0,248.0,84.0,0.0,105.0,2383.0,747.0,0.0,2517.0,1897.0,857.0,0.0,0.0,1040.0,620.0,0.0,0.0,620.0,0.0,0.0,15892.0,1040.0,2760.0,20.0,0.0,12073.0,12073.0,3992.0,18409.0,21278.0,12575.0,8703.0,3170.0,1208.0,382.0,51.0,15.0,18.0,94.0,941.0,461.0,5533.0,483.0,72.0,0.0,210.0,195.0,0.0,6.0,1580.0,0.0,854.0,489.0,0.0,237.0,4436.0,444.0,3992.0,0.0,0.0,3992.0,1107.0,1107.0,0.0,0.0,0.0,0.0,0.0,8444.0,3992.0,3805.0,152.0,0.0,271.0,0.0,918.0,195.0,723.0,-12721.0,1140.0,13861.0,903.0,905.0,2.0,0.0,0.0,-434.0,-3808.0,5554.0,1746.0,0.0,0.0,M16
(주)노바텍,285490,2018/12,6873,오춘택,"경기도 용인시 기흥구 흥덕중앙로 120, 1101호,1105호,1106호,1107호,1111호,1112호,1113호(영덕동,유타워)",42,2007/03/01,12,123-86-09157,1259232,500,10575831,0,이촌회계법인,이촌회계법인,33,제조업,33,기타 제품 제조업,32624.0,27040.0,25595.0,16211.0,7131.0,3071.0,0.0,11.0,4049.0,976.0,0.0,1277.0,1445.0,0.0,745.0,0.0,0.0,690.0,10.0,0.0,5583.0,2380.0,0.0,0.0,463.0,0.0,0.0,0.0,276.0,83.0,0.0,103.0,2051.0,689.0,0.0,1594.0,794.0,153.0,0.0,0.0,640.0,800.0,0.0,0.0,800.0,0.0,0.0,31030.0,2313.0,9670.0,256.0,0.0,18790.0,18790.0,6735.0,32624.0,25866.0,15810.0,10056.0,3408.0,975.0,87.0,139.0,25.0,19.0,497.0,1010.0,656.0,6648.0,1056.0,203.0,0.0,668.0,2.0,0.0,183.0,583.0,0.0,238.0,89.0,0.0,256.0,7121.0,385.0,6735.0,0.0,0.0,6735.0,1714.0,1714.0,1713.0,1713.0,6735.0,,,6474.0,7121.0,1515.0,636.0,0.0,337.0,0.0,-1824.0,-1015.0,-809.0,-125.0,22121.0,22246.0,8184.0,8184.0,0.0,0.0,0.0,-67.0,14465.0,1746.0,16211.0,0.0,0.0,M16
(주)노바텍,285490,2019/12,6873,오춘택,"경기도 용인시 기흥구 흥덕중앙로 120, 1101호,1105호,1106호,1107호,1111호,1112호,1113호(영덕동,유타워)",42,2007/03/01,12,123-86-09157,1259232,500,10575831,0,이촌회계법인,이촌회계법인,33,제조업,33,기타 제품 제조업,44429.0,24799.0,22947.0,3780.0,15648.0,0.0,0.0,5821.0,9827.0,1970.0,0.0,1549.0,1852.0,0.0,1735.0,0.0,0.0,117.0,0.0,0.0,19630.0,17014.0,0.0,1050.0,533.0,0.0,0.0,0.0,329.0,94.0,0.0,111.0,1728.0,355.0,0.0,2392.0,1458.0,925.0,0.0,0.0,533.0,934.0,0.0,0.0,934.0,0.0,0.0,42037.0,2508.0,16059.0,-751.0,0.0,24220.0,24220.0,5446.0,44429.0,24834.0,15842.0,8991.0,4584.0,981.0,115.0,104.0,39.0,0.0,2896.0,1982.0,731.0,4407.0,1952.0,255.0,0.0,492.0,55.0,0.0,1149.0,857.0,3.0,215.0,125.0,0.0,514.0,5502.0,57.0,5446.0,0.0,0.0,5446.0,1142.0,1142.0,1139.0,1139.0,5446.0,,,5517.0,5502.0,2014.0,848.0,0.0,1319.0,0.0,-680.0,-1380.0,700.0,-16880.0,29392.0,46272.0,-1054.0,79.0,1133.0,0.0,0.0,-14.0,-12431.0,16211.0,3780.0,0.0,0.0,M16
(주)노바텍,285490,2020/12,6873,오춘택,"경기도 용인시 기흥구 흥덕중앙로 120, 1101호,1105호,1106호,1107호,1111호,1112호,1113호(영덕동,유타워)",42,2007/03/01,12,123-86-09157,1259232,500,10575831,0,이촌회계법인,이촌회계법인,33,제조업,33,기타 제품 제조업,65507.0,46534.0,46339.0,22810.0,19055.0,1747.0,0.0,6.0,17302.0,2974.0,0.0,1500.0,195.0,0.0,154.0,0.0,0.0,18.0,23.0,0.0,18974.0,16146.0,0.0,1050.0,924.0,0.0,0.0,0.0,535.0,280.0,0.0,110.0,1582.0,321.0,0.0,7518.0,6321.0,1457.0,0.0,0.0,4864.0,1197.0,0.0,0.0,1197.0,0.0,0.0,57989.0,2511.0,27309.0,229.0,0.0,27941.0,27821.0,5015.0,65507.0,18917.0,6130.0,12787.0,9146.0,3400.0,163.0,1211.0,88.0,2.0,2970.0,2580.0,997.0,3640.0,3700.0,228.0,25.0,457.0,7.0,0.0,2982.0,2032.0,3.0,806.0,136.0,0.0,1087.0,5309.0,294.0,5015.0,0.0,0.0,5015.0,1040.0,1040.0,1036.0,1036.0,5015.0,,,9367.0,5309.0,4544.0,851.0,0.0,2754.0,0.0,2268.0,915.0,1354.0,-2113.0,20058.0,22171.0,11805.0,15240.0,3434.0,0.0,0.0,-30.0,19030.0,3780.0,22810.0,0.0,0.0,M16
(주)노바텍,285490,2021/12,6873,오춘택,"경기도 용인시 기흥구 흥덕중앙로 120, 1101호,1105호,1106호,1107호,1111호,1112호,1113호(영덕동,유타워)",42,2007/03/01,12,123-86-09157,1259232,500,10575831,0,이촌회계법인,이촌회계법인,33,제조업,33,기타 제품 제조업,67208.0,37157.0,36360.0,6673.0,20488.0,0.0,0.0,6.0,20482.0,6784.0,0.0,2416.0,797.0,339.0,404.0,0.0,0.0,53.0,0.0,0.0,30051.0,21720.0,0.0,1050.0,6426.0,1736.0,112.0,3351.0,943.0,192.0,0.0,92.0,1121.0,784.0,0.0,11377.0,7714.0,3562.0,3000.0,0.0,1152.0,3663.0,0.0,0.0,3635.0,28.0,0.0,55831.0,5041.0,25103.0,-6621.0,0.0,32309.0,32038.0,7705.0,67208.0,17356.0,2027.0,15330.0,8294.0,3396.0,299.0,983.0,461.0,3.0,3064.0,1003.0,1350.0,7036.0,2998.0,110.0,504.0,583.0,30.0,0.0,1770.0,1418.0,7.0,497.0,23.0,0.0,891.0,8616.0,911.0,7705.0,0.0,0.0,7705.0,769.0,769.0,0.0,0.0,7705.0,,,879.0,8616.0,2190.0,968.0,0.0,2498.0,0.0,-7429.0,-8444.0,1014.0,-11926.0,28316.0,40242.0,-5086.0,3127.0,8212.0,0.0,0.0,-4.0,-16137.0,22810.0,6673.0,0.0,0.0,M16
(주)노바텍,285490,2022/12,6873,오춘택,"경기도 용인시 기흥구 흥덕중앙로 120, 1101호,1105호,1106호,1107호,1111호,1112호,1113호(영덕동,유타워)",42,2007/03/01,12,123-86-09157,1259232,500,10575831,0,이촌회계법인,이촌회계법인,33,제조업,33,기타 제품 제조업,65221.0,35483.0,35144.0,13123.0,19828.0,5942.0,0.0,0.0,13886.0,2138.0,0.0,55.0,339.0,27.0,257.0,0.0,0.0,55.0,0.0,0.0,29738.0,21926.0,0.0,1050.0,5963.0,1380.0,231.0,2693.0,1276.0,290.0,0.0,94.0,658.0,1191.0,0.0,7620.0,4933.0,1299.0,0.0,0.0,3633.0,2687.0,0.0,0.0,2687.0,0.0,0.0,57601.0,5288.0,23512.0,-11248.0,0.0,40049.0,39630.0,8416.0,65221.0,20490.0,3071.0,17419.0,12693.0,3944.0,442.0,5361.0,68.0,32.0,3065.0,350.0,1695.0,4726.0,17888.0,296.0,12074.0,3372.0,32.0,0.0,2114.0,11440.0,32.0,1006.0,780.0,0.0,9622.0,11174.0,2758.0,8416.0,0.0,0.0,8416.0,830.0,830.0,0.0,0.0,8416.0,,,29767.0,11174.0,16220.0,979.0,0.0,14386.0,0.0,16759.0,18608.0,-1849.0,-6688.0,33730.0,40418.0,-15901.0,0.0,15901.0,0.0,0.0,-727.0,6451.0,6673.0,13123.0,0.0,0.0,M16
