회사명,거래소코드,회계년도,상장협코드,대표이사명,본사 주소,종업원,설립일,결산월,사업자등록번호,금감원등록번호,발행주식 액면가(원),발행주식 보통주,발행주식 우선주,외부감사기관,회계감사법인,통계청 한국표준산업분류 코드 11차(대분류),통계청 한국표준산업분류 11차(대분류),통계청 한국표준산업분류 코드 11차(중분류),통계청 한국표준산업분류 11차(중분류),자산총계(요약)(백만원),유동자산(요약)(백만원),당좌자산(요약)(백만원),현금 및 현금성자산(요약)(백만원),단기투자자산(요약)(백만원),단기예금(요약)(백만원),단기매매증권(요약)(백만원),단기대여금(요약)(백만원),기타단기투자자산(요약)(백만원),매출채권(요약)(백만원),*할인어음 또는 배서어음(요약)(백만원),기타당좌자산(요약)(백만원),재고자산(요약)(백만원),상품(요약)(백만원),제품(요약)(백만원),반제품(요약)(백만원),재공품(요약)(백만원),원재료(요약)(백만원),기타재고자산(요약)(백만원),임대주택자산(요약)(백만원),비유동자산(요약)(백만원),투자자산(요약)(백만원),*장기금융상품(요약)(백만원),*투자유가증권(장기투자증권)(요약)(백만원),유형자산(요약)(백만원),토지,건설중인자산,건물,기계장치,차량운반구,렌탈자산,설비자산,무형자산(요약)(백만원),기타비유동자산(요약)(백만원),이연자산(요약)(백만원),부채총계(요약)(백만원),유동부채(요약)(백만원),매입채무(요약)(백만원),단기차입금(요약)(백만원),유동성장기부채(요약)(백만원),기타유동부채(요약)(백만원),비유동부채(요약)(백만원),사채(요약)(백만원),장기차입금(요약)(백만원),제충당금(요약)(백만원),기타비유동부채(요약)(백만원),이연부채(요약)(백만원),자본총계(요약)(백만원),자본금(요약)(백만원),자본잉여금(요약)(백만원),자본조정(요약)(백만원),기타포괄손익누계액(요약)(백만원),이익잉여금(요약)(백만원),*미처분이익잉여금 및 차기이월미처분이익잉여금(요약)(백만원),*당기순이익(요약)(백만원),부채와자본총계(요약)(백만원),매출액(요약)(백만원),매출원가(요약)(백만원),매출총이익(요약)(백만원),판매비와 관리비(요약)(백만원),급료,퇴직급여(요약)(백만원),복리후생비(요약)(백만원),세금과공과(요약)(백만원),임차료(요약)(백만원),감가상각비,연구비,기타 판매비와 관리비(요약)(백만원),영업이익(요약)(백만원),영업외수익(요약)(백만원),이자수익(요약)(백만원),배당금수익(요약)(백만원),외환차익(요약)(백만원),외화환산이익(요약)(백만원),지분법이익(요약)(백만원),기타영업외수익(요약)(백만원),영업외비용(요약)(백만원),이자비용(요약)(백만원),외환차손(요약)(백만원),외화환산손실(요약)(백만원),지분법손실(요약)(백만원),기타영업외비용(요약)(백만원),법인세비용차감전(계속사업)손익(요약)(백만원),(계속사업손익)법인세비용(요약)(백만원),계속사업이익(요약)(백만원),중단사업이익(요약)(백만원),*법인세효과(요약)(백만원),당기순이익(요약)(백만원),주당계속사업이익(요약)(원),주당순이익(요약)(원),희석화주당계속사업이익(요약)(원),희석화주당순이익(요약)(원),CPA수정후 당기순이익(요약)(백만원),*주당경상이익(2007년 이전 발생)(요약)(원),*희석화주당경상이익(2007년 이전 발생)(요약)(원),영업활동으로 인한 현금흐름(요약)(백만원),당기순이익(요약)(백만원).1,현금의 유출이 없는 비용 등 가산(요약)(백만원),*감가상각비,*전기오류수정손익(요약)(백만원),현금의 유입이없는 수익등의 차감(요약)(백만원),*전기오류수정손익(요약)(백만원).1,영업활동으로 인한 자산 및 부채의변동(요약)(백만원),영업활동으로 인한 자산의 감소(증가)(요약)(백만원),영업활동으로 인한 부채의 증가(감소)(요약)(백만원),투자활동으로 인한 현금흐름(요약)(백만원),투자활동으로 인한 현금유입액(요약)(백만원),투자활동으로 인한 현금유출액(요약)(백만원),재무활동으로 인한 현금흐름(요약)(백만원),재무활동으로 인한 현금유입액(요약)(백만원),재무활동으로 인한 현금유출액(요약)(백만원),영업,합병분할(영업양수도)으로 인한 증가(감소)(요약)(백만원),환율변동으로 인한 차이조정(요약)(백만원),현금의 증가(감소)(요약)(백만원),기초현금(요약)(백만원),기말현금(요약)(백만원),현금등가물(요약)(백만원),현금의 수입과 지출이 없는 거래(요약)(백만원),M코드
(주)STX그린로지스,465770,2023/12,1326,유재호,부산시 중구 중앙대로 102,17,2023/09/01,12,423-86-02883,1784394,2500,7171032,0,삼정회계법인,삼정회계법인,50,운수 및 창고업,50,수상 운송업,73934.0,23994.0,22502.0,4312.0,0.0,0.0,0.0,0.0,0.0,14324.0,0.0,3867.0,1492.0,0.0,0.0,0.0,0.0,0.0,1492.0,0.0,49940.0,0.0,0.0,0.0,39762.0,0.0,0.0,0.0,0.0,39184.0,0.0,578.0,15.0,10163.0,0.0,43495.0,24247.0,0.0,0.0,3997.0,20250.0,19248.0,0.0,14893.0,0.0,4356.0,0.0,30439.0,17928.0,15000.0,-3435.0,-491.0,1437.0,1437.0,1437.0,73934.0,28310.0,25655.0,2656.0,809.0,343.0,33.0,33.0,2.0,23.0,2283.0,0.0,356.0,1847.0,271.0,0.0,0.0,52.0,1.0,0.0,218.0,664.0,397.0,178.0,23.0,0.0,66.0,1454.0,17.0,1437.0,0.0,0.0,1437.0,201.0,201.0,200.0,200.0,1437.0,,,548.0,1437.0,3622.0,3036.0,0.0,216.0,0.0,-4296.0,-17186.0,12890.0,-9005.0,0.0,9005.0,11364.0,18741.0,7376.0,0.0,0.0,-95.0,2812.0,1500.0,4312.0,0.0,0.0,M21
(주)STX그린로지스,465770,2024/12,1326,유재호,부산시 중구 중앙대로 102,17,2023/09/01,12,423-86-02883,1784394,2500,7171032,0,삼정회계법인,삼정회계법인,50,운수 및 창고업,50,수상 운송업,147888.0,24435.0,20679.0,2720.0,707.0,0.0,0.0,245.0,462.0,5494.0,0.0,11758.0,3755.0,0.0,0.0,0.0,0.0,0.0,3755.0,0.0,123454.0,10046.0,0.0,0.0,85960.0,0.0,0.0,0.0,0.0,83582.0,0.0,2378.0,14.0,27434.0,0.0,95111.0,71076.0,7003.0,0.0,4557.0,59515.0,24036.0,0.0,16462.0,0.0,7574.0,0.0,52777.0,17928.0,27997.0,-3435.0,4320.0,5967.0,5967.0,5299.0,147888.0,46509.0,36843.0,9666.0,2094.0,1223.0,133.0,129.0,34.0,74.0,2381.0,0.0,383.0,7572.0,2771.0,147.0,0.0,168.0,381.0,0.0,2075.0,4973.0,2094.0,236.0,813.0,0.0,1829.0,5370.0,71.0,5299.0,0.0,0.0,5299.0,634.0,634.0,422.0,422.0,5299.0,,,16532.0,5299.0,17076.0,13624.0,0.0,2344.0,0.0,-3499.0,626.0,-4124.0,-15316.0,3900.0,19216.0,-3764.0,11958.0,15722.0,0.0,0.0,957.0,-1592.0,4312.0,2720.0,0.0,0.0,M21
(주)대한항공,003490,2010/12,21,"조원태, 우기홍",서울시 강서구 하늘길 260,18318,1962/06/19,12,110-81-14794,113526,5000,368220661,1110794,삼정회계법인,삼정회계법인,51,운수 및 창고업,51,항공 운송업,17814309.0,2635194.0,2292155.0,733494.0,142004.0,142000.0,0.0,0.0,4.0,854497.0,0.0,562159.0,343039.0,14206.0,0.0,0.0,0.0,67035.0,261799.0,0.0,15179115.0,1700770.0,925.0,1680063.0,12597996.0,1714820.0,1493263.0,710157.0,96762.0,1796967.0,6010065.0,775963.0,279187.0,601162.0,0.0,14315275.0,6033207.0,245710.0,762801.0,3463017.0,1561679.0,8282068.0,2162198.0,1303612.0,955196.0,3861062.0,0.0,3499035.0,366754.0,2109470.0,-65399.0,736043.0,352166.0,352166.0,461701.0,17814309.0,11460522.0,9027155.0,2433367.0,1323785.0,229255.0,34156.0,80393.0,18605.0,18637.0,10992.0,0.0,931747.0,1109582.0,869306.0,36676.0,1701.0,355962.0,230710.0,111650.0,132608.0,1365055.0,565066.0,493031.0,87156.0,18715.0,201087.0,613833.0,152132.0,461701.0,0.0,0.0,461701.0,6837.0,6837.0,0.0,0.0,461701.0,0.0,0.0,2242055.0,461701.0,1360425.0,878647.0,0.0,441789.0,0.0,861718.0,279127.0,582591.0,-971184.0,62324.0,1033509.0,-1253332.0,2808420.0,4061752.0,0.0,0.0,0.0,17538.0,715956.0,733494.0,0.0,0.0,M21
(주)대한항공,003490,2011/12,21,"조원태, 우기홍",서울시 강서구 하늘길 260,18318,1962/06/19,12,110-81-14794,113526,5000,368220661,1110794,삼정회계법인,삼정회계법인,51,운수 및 창고업,51,항공 운송업,20222503.0,3022470.0,2600602.0,1381685.0,13235.0,11478.0,0.0,0.0,1757.0,898632.0,0.0,307049.0,421869.0,17017.0,0.0,0.0,0.0,71997.0,332855.0,0.0,17200033.0,1662529.0,931.0,207439.0,13831985.0,1648097.0,1159540.0,668025.0,93156.0,2064711.0,7037832.0,1160624.0,321276.0,1384243.0,0.0,18036103.0,6524037.0,293604.0,995577.0,3611448.0,1623409.0,11512066.0,2441516.0,1086695.0,743676.0,7240179.0,0.0,2186400.0,366754.0,191077.0,-65399.0,25739.0,1668229.0,1464777.0,-301091.0,20222503.0,11805282.0,10205749.0,1599532.0,1205435.0,243608.0,24738.0,58439.0,22451.0,17659.0,11071.0,0.0,827470.0,394097.0,641111.0,28594.0,22883.0,409368.0,66868.0,0.0,113399.0,1478220.0,497574.0,399699.0,338542.0,0.0,242405.0,-443012.0,-141922.0,-301091.0,0.0,0.0,-301091.0,-4458.0,-4458.0,0.0,0.0,-301091.0,0.0,0.0,1820213.0,-301091.0,2457407.0,1304268.0,0.0,313864.0,0.0,-22238.0,101185.0,-123423.0,-499966.0,147605.0,647571.0,-679032.0,4386141.0,5065173.0,0.0,0.0,6976.0,648191.0,733494.0,1381685.0,0.0,0.0,M21
(주)대한항공,003490,2012/12,21,"조원태, 우기홍",서울시 강서구 하늘길 260,18318,1962/06/19,12,110-81-14794,113526,5000,368220661,1110794,삼정회계법인,삼정회계법인,51,운수 및 창고업,51,항공 운송업,20678036.0,2973522.0,2491880.0,1250002.0,11752.0,10895.0,0.0,0.0,857.0,805372.0,0.0,424754.0,481642.0,19266.0,0.0,0.0,0.0,75756.0,386620.0,0.0,17704514.0,1733025.0,341.0,188270.0,14404534.0,1664756.0,1164373.0,664180.0,109781.0,1738030.0,7943641.0,1119773.0,299445.0,1267511.0,0.0,18304368.0,6072875.0,257118.0,1234048.0,2834157.0,1747552.0,12231493.0,3480280.0,907844.0,905926.0,6937443.0,0.0,2373669.0,366754.0,191077.0,-65399.0,33636.0,1847601.0,1644149.0,259597.0,20678036.0,12263867.0,10868959.0,1394908.0,1123286.0,252086.0,25040.0,54052.0,19178.0,19878.0,11509.0,0.0,741544.0,271621.0,1292167.0,39112.0,10475.0,301344.0,822805.0,0.0,118431.0,1168297.0,502429.0,231789.0,196137.0,0.0,237942.0,395491.0,135894.0,259597.0,0.0,0.0,259597.0,3844.0,3844.0,0.0,0.0,259597.0,0.0,0.0,2065536.0,259597.0,2611434.0,1486287.0,0.0,957388.0,0.0,151893.0,140808.0,11086.0,-480476.0,251536.0,732012.0,-1697955.0,3675202.0,5373156.0,0.0,0.0,-18788.0,-131682.0,1381685.0,1250002.0,0.0,0.0,M21
(주)대한항공,003490,2013/12,21,"조원태, 우기홍",서울시 강서구 하늘길 260,18318,1962/06/19,12,110-81-14794,113526,5000,368220661,1110794,삼정회계법인,안진회계법인,51,운수 및 창고업,51,항공 운송업,20964254.0,2925307.0,2473265.0,1002505.0,272819.0,10462.0,0.0,250000.0,12356.0,757558.0,0.0,440383.0,452042.0,21101.0,0.0,0.0,0.0,79623.0,351317.0,0.0,18038947.0,1421581.0,350.0,192772.0,15049843.0,1828777.0,1144095.0,557445.0,92472.0,2002672.0,8278033.0,1146349.0,342223.0,1225300.0,0.0,18693691.0,6688806.0,223856.0,786020.0,3910964.0,1767966.0,12004885.0,2140275.0,1171312.0,984760.0,7708538.0,0.0,2270564.0,298931.0,388334.0,-377086.0,368227.0,1592157.0,1388705.0,-290460.0,20964254.0,11712354.0,10606444.0,1105910.0,1123911.0,248114.0,25307.0,65277.0,18316.0,19269.0,28978.0,0.0,718651.0,-18001.0,839347.0,27797.0,3244.0,249448.0,424666.0,0.0,134192.0,1222481.0,437407.0,285264.0,56702.0,0.0,443109.0,-401135.0,-106837.0,-294298.0,3838.0,0.0,-290460.0,-4600.0,-4540.0,0.0,0.0,-290460.0,0.0,0.0,1762075.0,-290460.0,2719237.0,1638513.0,0.0,674348.0,0.0,7647.0,226987.0,-219340.0,-1128165.0,312946.0,1441111.0,-871683.0,4432234.0,5303916.0,0.0,0.0,-9725.0,-247497.0,1250002.0,1002505.0,0.0,0.0,M21
(주)대한항공,003490,2014/12,21,"조원태, 우기홍",서울시 강서구 하늘길 260,18318,1962/06/19,12,110-81-14794,113526,5000,368220661,1110794,삼정회계법인,안진회계법인,51,운수 및 창고업,51,항공 운송업,21420447.0,2392892.0,1976223.0,410108.0,229169.0,9168.0,0.0,220000.0,1.0,583736.0,0.0,753210.0,416669.0,20414.0,0.0,0.0,0.0,74197.0,322058.0,0.0,19027555.0,2102034.0,55327.0,189297.0,15120652.0,1828373.0,1116521.0,536022.0,84629.0,2309314.0,8237604.0,1008188.0,320606.0,1484263.0,0.0,19440735.0,6350692.0,140978.0,563315.0,3706074.0,1940325.0,13090042.0,1854847.0,1535253.0,956967.0,8742976.0,0.0,1979712.0,298931.0,388334.0,-377086.0,206894.0,1462639.0,1259187.0,-205477.0,21420447.0,11680398.0,10171068.0,1509330.0,1136823.0,243523.0,27932.0,58002.0,16974.0,20377.0,31197.0,0.0,738820.0,372508.0,497003.0,37099.0,3417.0,216789.0,168734.0,0.0,70964.0,1206395.0,410006.0,249525.0,402836.0,0.0,144028.0,-336885.0,-131408.0,-205477.0,0.0,0.0,-205477.0,-3502.0,-3502.0,0.0,0.0,0.0,0.0,0.0,1840787.0,-205477.0,2666067.0,1577149.0,0.0,381728.0,0.0,-238076.0,46471.0,-284547.0,-799623.0,593682.0,1393305.0,-1629506.0,4368944.0,5998450.0,0.0,0.0,-4055.0,-592397.0,1002505.0,410108.0,0.0,0.0,M21
(주)대한항공,003490,2015/12,21,"조원태, 우기홍",서울시 강서구 하늘길 260,18318,1962/06/19,12,110-81-14794,113526,5000,368220661,1110794,삼정회계법인,삼정회계법인,51,운수 및 창고업,51,항공 운송업,23048940.0,2873563.0,2397884.0,698947.0,240302.0,20263.0,0.0,220000.0,39.0,540851.0,0.0,917785.0,475679.0,19082.0,0.0,0.0,0.0,88934.0,367663.0,0.0,20175377.0,1466569.0,106493.0,595200.0,16803447.0,1816856.0,1396509.0,543344.0,73564.0,2189967.0,9790330.0,992878.0,284841.0,1620520.0,0.0,20752646.0,8428114.0,150168.0,862438.0,5153640.0,2261867.0,12324532.0,95228.0,907994.0,1161183.0,10160127.0,0.0,2296294.0,369753.0,1153266.0,-377087.0,332917.0,817445.0,613993.0,-407682.0,23048940.0,11308423.0,9286479.0,2021944.0,1162726.0,258606.0,29524.0,65288.0,18364.0,20720.0,36140.0,0.0,734084.0,859218.0,445391.0,38756.0,7711.0,247110.0,112900.0,0.0,38914.0,1803589.0,367086.0,365268.0,608501.0,0.0,462734.0,-498980.0,-91298.0,-407682.0,0.0,0.0,-407682.0,-5749.0,-5749.0,0.0,0.0,0.0,0.0,0.0,2666464.0,-407682.0,3260591.0,1632041.0,0.0,266286.0,0.0,79841.0,-29306.0,109148.0,-171185.0,1307236.0,1478421.0,-2211782.0,3737586.0,5949369.0,0.0,0.0,5341.0,288838.0,410108.0,698947.0,0.0,0.0,M21
(주)대한항공,003490,2016/12,21,"조원태, 우기홍",서울시 강서구 하늘길 260,18318,1962/06/19,12,110-81-14794,113526,5000,368220661,1110794,삼정회계법인,안진회계법인,51,운수 및 창고업,51,항공 운송업,22706038.0,2875642.0,2326359.0,746001.0,117696.0,117596.0,0.0,0.0,100.0,584769.0,0.0,877892.0,549283.0,18913.0,0.0,0.0,0.0,95951.0,434419.0,0.0,19830397.0,1461556.0,42596.0,202158.0,16265985.0,1815654.0,816751.0,547410.0,59636.0,1767463.0,10362176.0,896893.0,379205.0,1723650.0,0.0,21052892.0,8269323.0,142145.0,1167972.0,4333311.0,2625896.0,12783569.0,83169.0,944815.0,1266000.0,10489586.0,0.0,1653146.0,369753.0,1153266.0,-1.0,327977.0,-197849.0,-401301.0,-591361.0,22706038.0,11502877.0,9218012.0,2284865.0,1205861.0,264264.0,30239.0,69695.0,19854.0,20993.0,50349.0,0.0,752731.0,1079004.0,555682.0,26787.0,12688.0,313196.0,135202.0,0.0,67809.0,2376776.0,400164.0,368527.0,375677.0,0.0,1232407.0,-742090.0,-150729.0,-591361.0,0.0,0.0,-591361.0,-7997.0,-7997.0,0.0,0.0,-591361.0,,,2771539.0,-591361.0,3838349.0,1729448.0,0.0,378882.0,0.0,-96567.0,105528.0,-202095.0,-362351.0,543281.0,905631.0,-2371782.0,3023171.0,5394953.0,0.0,0.0,9648.0,47055.0,698947.0,746001.0,0.0,0.0,M21
(주)대한항공,003490,2017/12,21,"조원태, 우기홍",서울시 강서구 하늘길 260,18318,1962/06/19,12,110-81-14794,113526,5000,368220661,1110794,삼정회계법인,안진회계법인,51,운수 및 창고업,51,항공 운송업,23423067.0,3219951.0,2554140.0,575786.0,411472.0,410779.0,0.0,0.0,694.0,602632.0,0.0,964250.0,665811.0,19049.0,0.0,0.0,0.0,116982.0,529780.0,0.0,20203116.0,1431423.0,1998.0,183909.0,17177634.0,2153230.0,1171994.0,503392.0,49636.0,2035274.0,10205769.0,1058338.0,339774.0,1254286.0,0.0,19750938.0,6594634.0,172296.0,772625.0,3294420.0,2355293.0,13156304.0,792932.0,1233846.0,1249311.0,9880216.0,0.0,3672128.0,479777.0,1855996.0,-1.0,646211.0,690144.0,686692.0,907880.0,23423067.0,11802819.0,9660188.0,2142631.0,1186479.0,263590.0,27797.0,71429.0,18992.0,19722.0,39175.0,0.0,745774.0,956151.0,1567650.0,27863.0,6295.0,398731.0,992739.0,0.0,142022.0,1305677.0,427154.0,192746.0,185761.0,0.0,500016.0,1218124.0,310244.0,907880.0,0.0,0.0,907880.0,9909.0,9909.0,0.0,0.0,0.0,0.0,0.0,2813805.0,907880.0,3164037.0,1641447.0,0.0,1301300.0,0.0,43188.0,52142.0,-8954.0,-1729932.0,512277.0,2242209.0,-1223306.0,3105078.0,4328384.0,0.0,0.0,-30783.0,-170216.0,746001.0,575786.0,0.0,0.0,M21
