회사명,거래소코드,회계년도,상장협코드,대표이사명,본사 주소,종업원,설립일,결산월,사업자등록번호,금감원등록번호,발행주식 액면가(원),발행주식 보통주,발행주식 우선주,외부감사기관,회계감사법인,통계청 한국표준산업분류 코드 11차(대분류),통계청 한국표준산업분류 11차(대분류),통계청 한국표준산업분류 코드 11차(중분류),통계청 한국표준산업분류 11차(중분류),자산총계(요약)(백만원),유동자산(요약)(백만원),당좌자산(요약)(백만원),현금 및 현금성자산(요약)(백만원),단기투자자산(요약)(백만원),단기예금(요약)(백만원),단기매매증권(요약)(백만원),단기대여금(요약)(백만원),기타단기투자자산(요약)(백만원),매출채권(요약)(백만원),*할인어음 또는 배서어음(요약)(백만원),기타당좌자산(요약)(백만원),재고자산(요약)(백만원),상품(요약)(백만원),제품(요약)(백만원),반제품(요약)(백만원),재공품(요약)(백만원),원재료(요약)(백만원),기타재고자산(요약)(백만원),임대주택자산(요약)(백만원),비유동자산(요약)(백만원),투자자산(요약)(백만원),*장기금융상품(요약)(백만원),*투자유가증권(장기투자증권)(요약)(백만원),유형자산(요약)(백만원),토지,건설중인자산,건물,기계장치,차량운반구,렌탈자산,설비자산,무형자산(요약)(백만원),기타비유동자산(요약)(백만원),이연자산(요약)(백만원),부채총계(요약)(백만원),유동부채(요약)(백만원),매입채무(요약)(백만원),단기차입금(요약)(백만원),유동성장기부채(요약)(백만원),기타유동부채(요약)(백만원),비유동부채(요약)(백만원),사채(요약)(백만원),장기차입금(요약)(백만원),제충당금(요약)(백만원),기타비유동부채(요약)(백만원),이연부채(요약)(백만원),자본총계(요약)(백만원),자본금(요약)(백만원),자본잉여금(요약)(백만원),자본조정(요약)(백만원),기타포괄손익누계액(요약)(백만원),이익잉여금(요약)(백만원),*미처분이익잉여금 및 차기이월미처분이익잉여금(요약)(백만원),*당기순이익(요약)(백만원),부채와자본총계(요약)(백만원),매출액(요약)(백만원),매출원가(요약)(백만원),매출총이익(요약)(백만원),판매비와 관리비(요약)(백만원),급료,퇴직급여(요약)(백만원),복리후생비(요약)(백만원),세금과공과(요약)(백만원),임차료(요약)(백만원),감가상각비,연구비,기타 판매비와 관리비(요약)(백만원),영업이익(요약)(백만원),영업외수익(요약)(백만원),이자수익(요약)(백만원),배당금수익(요약)(백만원),외환차익(요약)(백만원),외화환산이익(요약)(백만원),지분법이익(요약)(백만원),기타영업외수익(요약)(백만원),영업외비용(요약)(백만원),이자비용(요약)(백만원),외환차손(요약)(백만원),외화환산손실(요약)(백만원),지분법손실(요약)(백만원),기타영업외비용(요약)(백만원),법인세비용차감전(계속사업)손익(요약)(백만원),(계속사업손익)법인세비용(요약)(백만원),계속사업이익(요약)(백만원),중단사업이익(요약)(백만원),*법인세효과(요약)(백만원),당기순이익(요약)(백만원),주당계속사업이익(요약)(원),주당순이익(요약)(원),희석화주당계속사업이익(요약)(원),희석화주당순이익(요약)(원),CPA수정후 당기순이익(요약)(백만원),*주당경상이익(2007년 이전 발생)(요약)(원),*희석화주당경상이익(2007년 이전 발생)(요약)(원),영업활동으로 인한 현금흐름(요약)(백만원),당기순이익(요약)(백만원).1,현금의 유출이 없는 비용 등 가산(요약)(백만원),*감가상각비,*전기오류수정손익(요약)(백만원),현금의 유입이없는 수익등의 차감(요약)(백만원),*전기오류수정손익(요약)(백만원).1,영업활동으로 인한 자산 및 부채의변동(요약)(백만원),영업활동으로 인한 자산의 감소(증가)(요약)(백만원),영업활동으로 인한 부채의 증가(감소)(요약)(백만원),투자활동으로 인한 현금흐름(요약)(백만원),투자활동으로 인한 현금유입액(요약)(백만원),투자활동으로 인한 현금유출액(요약)(백만원),재무활동으로 인한 현금흐름(요약)(백만원),재무활동으로 인한 현금유입액(요약)(백만원),재무활동으로 인한 현금유출액(요약)(백만원),영업,합병분할(영업양수도)으로 인한 증가(감소)(요약)(백만원),환율변동으로 인한 차이조정(요약)(백만원),현금의 증가(감소)(요약)(백만원),기초현금(요약)(백만원),기말현금(요약)(백만원),현금등가물(요약)(백만원),현금의 수입과 지출이 없는 거래(요약)(백만원),M코드
(주)가비아,079940,2010/12,6063,"김홍국, 원종홍","경기도 과천시 과천대로7나길 34 4~6층 (갈현동, 가비아 앳)",423,1999/09/21,12,214-86-39239,506294,500,13420684,0,삼덕회계법인,대주회계법인,58,정보통신업,58,출판업,35298.0,10390.0,10390.0,3217.0,4046.0,1903.0,1011.0,400.0,733.0,2193.0,0.0,934.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24908.0,18440.0,0.0,18440.0,4959.0,740.0,0.0,2002.0,17.0,16.0,0.0,2184.0,818.0,691.0,0.0,13108.0,6587.0,493.0,0.0,660.0,5434.0,6521.0,1992.0,3780.0,0.0,749.0,0.0,22190.0,6368.0,730.0,-1038.0,-825.0,16956.0,16042.0,3770.0,35298.0,26066.0,14334.0,11732.0,7627.0,3542.0,281.0,678.0,220.0,15.0,286.0,478.0,2127.0,4104.0,979.0,115.0,0.0,1.0,8.0,738.0,116.0,571.0,419.0,9.0,0.0,0.0,144.0,4512.0,742.0,3770.0,0.0,0.0,3770.0,308.0,308.0,0.0,0.0,3770.0,0.0,0.0,6214.0,3770.0,2202.0,1999.0,0.0,834.0,0.0,1076.0,-792.0,1868.0,-3271.0,2603.0,5874.0,-976.0,2000.0,2976.0,0.0,0.0,0.0,1966.0,1250.0,3217.0,0.0,660.0,M22
(주)가비아,079940,2011/12,6063,"김홍국, 원종홍","경기도 과천시 과천대로7나길 34 4~6층 (갈현동, 가비아 앳)",423,1999/09/21,12,214-86-39239,506294,500,13420684,0,삼덕회계법인,대주회계법인,58,정보통신업,58,출판업,37296.0,9246.0,9231.0,2780.0,3786.0,3100.0,0.0,90.0,596.0,1933.0,0.0,733.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,28050.0,19179.0,198.0,6437.0,7163.0,740.0,0.0,1945.0,27.0,17.0,0.0,4434.0,1552.0,155.0,0.0,12997.0,11954.0,393.0,0.0,2827.0,8734.0,1044.0,0.0,953.0,0.0,90.0,0.0,24299.0,6368.0,115.0,-1232.0,-989.0,20037.0,18785.0,3262.0,37296.0,33793.0,20762.0,13031.0,9105.0,4051.0,401.0,945.0,286.0,82.0,318.0,307.0,2717.0,3926.0,287.0,153.0,10.0,1.0,14.0,0.0,110.0,395.0,361.0,0.0,0.0,0.0,33.0,3818.0,555.0,3262.0,0.0,0.0,3262.0,267.0,267.0,263.0,263.0,3262.0,0.0,0.0,6751.0,3262.0,2888.0,2521.0,0.0,266.0,0.0,866.0,50.0,816.0,-5828.0,5201.0,11029.0,-1373.0,0.0,1373.0,0.0,0.0,14.0,-437.0,3217.0,2780.0,0.0,0.0,M22
(주)가비아,079940,2012/12,6063,"김홍국, 원종홍","경기도 과천시 과천대로7나길 34 4~6층 (갈현동, 가비아 앳)",423,1999/09/21,12,214-86-39239,506294,500,13420684,0,삼덕회계법인,대주회계법인,58,정보통신업,58,출판업,51796.0,9613.0,9521.0,2796.0,2205.0,1000.0,0.0,1000.0,205.0,2011.0,0.0,2509.0,92.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0,42183.0,16590.0,0.0,1418.0,23749.0,3879.0,0.0,12797.0,1941.0,11.0,0.0,5121.0,1577.0,267.0,0.0,20631.0,10724.0,2570.0,1000.0,787.0,6367.0,9907.0,0.0,9667.0,0.0,240.0,0.0,31165.0,6668.0,1288.0,-1232.0,-966.0,25408.0,24119.0,5738.0,51796.0,38482.0,23494.0,14988.0,12039.0,5909.0,535.0,1005.0,369.0,45.0,769.0,480.0,2928.0,2949.0,4267.0,119.0,3683.0,1.0,0.0,0.0,464.0,592.0,472.0,10.0,13.0,0.0,98.0,6624.0,886.0,5738.0,0.0,0.0,5738.0,450.0,450.0,446.0,446.0,5738.0,0.0,0.0,9005.0,5738.0,5153.0,3698.0,0.0,3891.0,0.0,2005.0,649.0,1356.0,-16005.0,9012.0,25017.0,7027.0,12210.0,5183.0,0.0,0.0,-11.0,16.0,2780.0,2796.0,0.0,0.0,M22
(주)가비아,079940,2013/12,6063,"김홍국, 원종홍","경기도 과천시 과천대로7나길 34 4~6층 (갈현동, 가비아 앳)",423,1999/09/21,12,214-86-39239,506294,500,13420684,0,삼덕회계법인,대주회계법인,58,정보통신업,58,출판업,52152.0,10360.0,10279.0,5302.0,0.0,0.0,0.0,0.0,0.0,1918.0,0.0,3060.0,81.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,41792.0,16305.0,0.0,1055.0,22733.0,3879.0,0.0,12472.0,1710.0,3.0,0.0,4668.0,1495.0,1259.0,0.0,17329.0,11589.0,1268.0,0.0,4167.0,6154.0,5740.0,0.0,5500.0,0.0,240.0,0.0,34823.0,6668.0,1288.0,-1232.0,-839.0,28938.0,27624.0,3787.0,52152.0,40508.0,24558.0,15949.0,12914.0,6169.0,608.0,1038.0,416.0,0.0,1147.0,810.0,2726.0,3035.0,2832.0,57.0,2642.0,1.0,0.0,0.0,132.0,1604.0,406.0,1.0,15.0,0.0,1183.0,4263.0,476.0,3787.0,0.0,0.0,3787.0,295.0,295.0,293.0,293.0,3787.0,0.0,0.0,6246.0,3787.0,6379.0,4279.0,0.0,2716.0,0.0,-1204.0,-444.0,-761.0,-1682.0,2584.0,4267.0,-2043.0,0.0,2043.0,0.0,0.0,-15.0,2506.0,2796.0,5302.0,0.0,0.0,M22
(주)가비아,079940,2014/12,6063,"김홍국, 원종홍","경기도 과천시 과천대로7나길 34 4~6층 (갈현동, 가비아 앳)",423,1999/09/21,12,214-86-39239,506294,500,13420684,0,삼덕회계법인,대주회계법인,58,정보통신업,58,출판업,55984.0,14916.0,14916.0,5359.0,1500.0,1500.0,0.0,0.0,0.0,2555.0,0.0,5502.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41068.0,13566.0,0.0,938.0,22313.0,3879.0,0.0,12148.0,1404.0,0.0,0.0,4882.0,4265.0,925.0,0.0,17837.0,13162.0,2370.0,3000.0,825.0,6966.0,4675.0,0.0,4675.0,0.0,0.0,0.0,38148.0,6768.0,1989.0,-1232.0,-833.0,31456.0,30418.0,3077.0,55984.0,43906.0,26875.0,17031.0,13580.0,6902.0,668.0,1154.0,463.0,0.0,1191.0,160.0,3041.0,3451.0,305.0,93.0,142.0,0.0,36.0,0.0,34.0,554.0,309.0,1.0,0.0,0.0,244.0,3203.0,126.0,3077.0,0.0,0.0,3077.0,237.0,237.0,0.0,0.0,0.0,0.0,0.0,8696.0,3077.0,4584.0,3908.0,0.0,273.0,0.0,1308.0,-445.0,1753.0,-7744.0,639.0,8383.0,-925.0,498.0,1423.0,0.0,0.0,36.0,63.0,5302.0,5365.0,0.0,0.0,M22
(주)가비아,079940,2015/12,6063,"김홍국, 원종홍","경기도 과천시 과천대로7나길 34 4~6층 (갈현동, 가비아 앳)",423,1999/09/21,12,214-86-39239,506294,500,13420684,0,삼덕회계법인,대주회계법인,58,정보통신업,58,출판업,57657.0,17436.0,17436.0,10289.0,3000.0,3000.0,0.0,0.0,0.0,2238.0,0.0,1909.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40221.0,13509.0,0.0,1243.0,22211.0,3879.0,0.0,11823.0,1090.0,0.0,0.0,5419.0,3639.0,862.0,0.0,15187.0,9687.0,1497.0,0.0,0.0,8190.0,5500.0,0.0,5500.0,0.0,0.0,0.0,42470.0,6768.0,1989.0,-1232.0,-538.0,35484.0,34420.0,4288.0,57657.0,48447.0,28807.0,19640.0,15108.0,8161.0,784.0,1350.0,526.0,0.0,1172.0,101.0,3014.0,4532.0,1950.0,91.0,142.0,0.0,74.0,0.0,1643.0,1734.0,160.0,1.0,0.0,0.0,1573.0,4748.0,459.0,4288.0,0.0,0.0,4288.0,329.0,329.0,0.0,0.0,0.0,0.0,0.0,10152.0,4288.0,6170.0,3978.0,0.0,1916.0,0.0,1609.0,1687.0,-78.0,-1800.0,5316.0,7117.0,-3501.0,5500.0,9001.0,0.0,0.0,74.0,4925.0,5365.0,10289.0,0.0,0.0,M22
(주)가비아,079940,2016/12,6063,"김홍국, 원종홍","경기도 과천시 과천대로7나길 34 4~6층 (갈현동, 가비아 앳)",423,1999/09/21,12,214-86-39239,506294,500,13420684,0,삼덕회계법인,대주회계법인,58,정보통신업,58,출판업,61161.0,12238.0,12238.0,8482.0,0.0,0.0,0.0,0.0,0.0,2408.0,0.0,1347.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48923.0,21967.0,0.0,821.0,22430.0,3879.0,0.0,11498.0,776.0,26.0,0.0,6251.0,3399.0,1127.0,0.0,15747.0,10247.0,1575.0,0.0,0.0,8672.0,5500.0,0.0,5500.0,0.0,0.0,0.0,45414.0,6768.0,1989.0,-1232.0,-747.0,38637.0,37534.0,3544.0,61161.0,49431.0,28803.0,20628.0,16646.0,9217.0,972.0,1434.0,571.0,0.0,1181.0,113.0,3158.0,3982.0,434.0,51.0,177.0,0.0,66.0,0.0,140.0,733.0,119.0,0.0,0.0,0.0,613.0,3683.0,139.0,3544.0,0.0,0.0,3544.0,272.0,272.0,0.0,0.0,0.0,0.0,0.0,9339.0,3544.0,4898.0,4003.0,0.0,228.0,0.0,1125.0,-108.0,1233.0,-10755.0,3218.0,13973.0,-391.0,0.0,391.0,0.0,0.0,0.0,-1807.0,10289.0,8482.0,0.0,0.0,M22
(주)가비아,079940,2017/12,6063,"김홍국, 원종홍","경기도 과천시 과천대로7나길 34 4~6층 (갈현동, 가비아 앳)",423,1999/09/21,12,214-86-39239,506294,500,13420684,0,삼덕회계법인,대주회계법인,58,정보통신업,58,출판업,64986.0,15117.0,15117.0,9988.0,1000.0,1000.0,0.0,0.0,0.0,2800.0,0.0,1328.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49870.0,22815.0,0.0,6761.0,22362.0,3879.0,436.0,11174.0,512.0,0.0,0.0,6361.0,2939.0,1753.0,0.0,17323.0,17323.0,2414.0,0.0,5500.0,9410.0,0.0,0.0,0.0,0.0,0.0,0.0,47663.0,6768.0,1989.0,-1232.0,-601.0,40740.0,39597.0,2494.0,64986.0,52366.0,30562.0,21804.0,18628.0,9550.0,935.0,1563.0,580.0,0.0,1144.0,776.0,4079.0,3176.0,506.0,21.0,213.0,0.0,0.0,0.0,272.0,1209.0,117.0,1.0,260.0,0.0,832.0,2472.0,-21.0,2494.0,0.0,0.0,2494.0,191.0,191.0,0.0,0.0,0.0,0.0,0.0,8671.0,2494.0,5200.0,4105.0,0.0,336.0,0.0,1314.0,-252.0,1566.0,-6515.0,813.0,7328.0,-391.0,0.0,391.0,0.0,0.0,-258.0,1506.0,8482.0,9988.0,0.0,0.0,M22
(주)가비아,079940,2018/12,6063,"김홍국, 원종홍","경기도 과천시 과천대로7나길 34 4~6층 (갈현동, 가비아 앳)",423,1999/09/21,12,214-86-39239,506294,500,13420684,0,삼덕회계법인,대주회계법인,58,정보통신업,58,출판업,69316.0,18389.0,18389.0,11624.0,2700.0,2700.0,0.0,0.0,0.0,2738.0,0.0,1326.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50927.0,21988.0,0.0,1475.0,24425.0,4336.0,1738.0,12034.0,442.0,0.0,0.0,5875.0,2354.0,2160.0,0.0,19483.0,18090.0,1771.0,5500.0,0.0,10818.0,1394.0,0.0,1000.0,0.0,394.0,0.0,49833.0,6768.0,1989.0,-1232.0,-802.0,43111.0,41930.0,2763.0,69316.0,55198.0,31655.0,23543.0,19437.0,10381.0,1028.0,1672.0,681.0,0.0,1138.0,446.0,4091.0,4106.0,994.0,54.0,390.0,3.0,115.0,0.0,432.0,2039.0,159.0,0.0,0.0,0.0,1880.0,3060.0,298.0,2763.0,0.0,0.0,2763.0,212.0,212.0,0.0,0.0,2763.0,,,9241.0,2763.0,6189.0,4101.0,0.0,681.0,0.0,970.0,224.0,746.0,-8099.0,1039.0,9138.0,609.0,1000.0,391.0,0.0,0.0,-115.0,1636.0,9988.0,11624.0,0.0,0.0,M22
(주)가비아,079940,2019/12,6063,"김홍국, 원종홍","경기도 과천시 과천대로7나길 34 4~6층 (갈현동, 가비아 앳)",423,1999/09/21,12,214-86-39239,506294,500,13420684,0,삼덕회계법인,대주회계법인,58,정보통신업,58,출판업,82965.0,13603.0,13603.0,9410.0,100.0,100.0,0.0,0.0,0.0,3060.0,0.0,1033.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69362.0,26065.0,0.0,4562.0,39725.0,4540.0,9795.0,12771.0,240.0,0.0,6387.0,5993.0,588.0,2984.0,0.0,28881.0,20260.0,2058.0,3000.0,0.0,15202.0,8620.0,0.0,4911.0,0.0,3709.0,0.0,54084.0,6768.0,1989.0,-1232.0,-815.0,47375.0,46155.0,4655.0,82965.0,58254.0,34532.0,23722.0,18833.0,10057.0,981.0,1716.0,0.0,0.0,3384.0,0.0,4960.0,4889.0,1349.0,133.0,708.0,0.0,103.0,0.0,405.0,1332.0,251.0,0.0,0.0,0.0,1081.0,4906.0,251.0,4655.0,0.0,0.0,4655.0,357.0,357.0,0.0,0.0,4655.0,,,13244.0,4655.0,8845.0,7267.0,0.0,1226.0,0.0,970.0,-55.0,1025.0,-13094.0,2772.0,15867.0,-2466.0,6911.0,9377.0,0.0,0.0,102.0,-2214.0,11624.0,9410.0,0.0,0.0,M22
