회사명,거래소코드,회계년도,상장협코드,대표이사명,본사 주소,종업원,설립일,결산월,사업자등록번호,금감원등록번호,발행주식 액면가(원),발행주식 보통주,발행주식 우선주,외부감사기관,회계감사법인,통계청 한국표준산업분류 코드 11차(대분류),통계청 한국표준산업분류 11차(대분류),통계청 한국표준산업분류 코드 11차(중분류),통계청 한국표준산업분류 11차(중분류),자산총계(요약)(백만원),유동자산(요약)(백만원),당좌자산(요약)(백만원),현금 및 현금성자산(요약)(백만원),단기투자자산(요약)(백만원),단기예금(요약)(백만원),단기매매증권(요약)(백만원),단기대여금(요약)(백만원),기타단기투자자산(요약)(백만원),매출채권(요약)(백만원),*할인어음 또는 배서어음(요약)(백만원),기타당좌자산(요약)(백만원),재고자산(요약)(백만원),상품(요약)(백만원),제품(요약)(백만원),반제품(요약)(백만원),재공품(요약)(백만원),원재료(요약)(백만원),기타재고자산(요약)(백만원),임대주택자산(요약)(백만원),비유동자산(요약)(백만원),투자자산(요약)(백만원),*장기금융상품(요약)(백만원),*투자유가증권(장기투자증권)(요약)(백만원),유형자산(요약)(백만원),토지,건설중인자산,건물,기계장치,차량운반구,렌탈자산,설비자산,무형자산(요약)(백만원),기타비유동자산(요약)(백만원),이연자산(요약)(백만원),부채총계(요약)(백만원),유동부채(요약)(백만원),매입채무(요약)(백만원),단기차입금(요약)(백만원),유동성장기부채(요약)(백만원),기타유동부채(요약)(백만원),비유동부채(요약)(백만원),사채(요약)(백만원),장기차입금(요약)(백만원),제충당금(요약)(백만원),기타비유동부채(요약)(백만원),이연부채(요약)(백만원),자본총계(요약)(백만원),자본금(요약)(백만원),자본잉여금(요약)(백만원),자본조정(요약)(백만원),기타포괄손익누계액(요약)(백만원),이익잉여금(요약)(백만원),*미처분이익잉여금 및 차기이월미처분이익잉여금(요약)(백만원),*당기순이익(요약)(백만원),부채와자본총계(요약)(백만원),매출액(요약)(백만원),매출원가(요약)(백만원),매출총이익(요약)(백만원),판매비와 관리비(요약)(백만원),급료,퇴직급여(요약)(백만원),복리후생비(요약)(백만원),세금과공과(요약)(백만원),임차료(요약)(백만원),감가상각비,연구비,기타 판매비와 관리비(요약)(백만원),영업이익(요약)(백만원),영업외수익(요약)(백만원),이자수익(요약)(백만원),배당금수익(요약)(백만원),외환차익(요약)(백만원),외화환산이익(요약)(백만원),지분법이익(요약)(백만원),기타영업외수익(요약)(백만원),영업외비용(요약)(백만원),이자비용(요약)(백만원),외환차손(요약)(백만원),외화환산손실(요약)(백만원),지분법손실(요약)(백만원),기타영업외비용(요약)(백만원),법인세비용차감전(계속사업)손익(요약)(백만원),(계속사업손익)법인세비용(요약)(백만원),계속사업이익(요약)(백만원),중단사업이익(요약)(백만원),*법인세효과(요약)(백만원),당기순이익(요약)(백만원),주당계속사업이익(요약)(원),주당순이익(요약)(원),희석화주당계속사업이익(요약)(원),희석화주당순이익(요약)(원),CPA수정후 당기순이익(요약)(백만원),*주당경상이익(2007년 이전 발생)(요약)(원),*희석화주당경상이익(2007년 이전 발생)(요약)(원),영업활동으로 인한 현금흐름(요약)(백만원),당기순이익(요약)(백만원).1,현금의 유출이 없는 비용 등 가산(요약)(백만원),*감가상각비,*전기오류수정손익(요약)(백만원),현금의 유입이없는 수익등의 차감(요약)(백만원),*전기오류수정손익(요약)(백만원).1,영업활동으로 인한 자산 및 부채의변동(요약)(백만원),영업활동으로 인한 자산의 감소(증가)(요약)(백만원),영업활동으로 인한 부채의 증가(감소)(요약)(백만원),투자활동으로 인한 현금흐름(요약)(백만원),투자활동으로 인한 현금유입액(요약)(백만원),투자활동으로 인한 현금유출액(요약)(백만원),재무활동으로 인한 현금흐름(요약)(백만원),재무활동으로 인한 현금유입액(요약)(백만원),재무활동으로 인한 현금유출액(요약)(백만원),영업,합병분할(영업양수도)으로 인한 증가(감소)(요약)(백만원),환율변동으로 인한 차이조정(요약)(백만원),현금의 증가(감소)(요약)(백만원),기초현금(요약)(백만원),기말현금(요약)(백만원),현금등가물(요약)(백만원),현금의 수입과 지출이 없는 거래(요약)(백만원),M코드
(주)강원랜드,035250,2010/12,973,남한규,강원도 정선군 사북읍 하이원길 265,4906,1998/06/29,12,225-81-10770,255619,500,213940500,0,안진회계법인,삼정회계법인,91,"예술, 스포츠 및 여가관련 서비스업",91,스포츠 및 오락관련 서비스업,2609745.0,1105888.0,1103916.0,36554.0,940752.0,796323.0,0.0,0.0,144429.0,3733.0,0.0,122876.0,1972.0,987.0,0.0,0.0,0.0,986.0,0.0,0.0,1503857.0,251061.0,0.0,219110.0,1235107.0,91514.0,111849.0,854854.0,24943.0,540.0,0.0,151408.0,85.0,17604.0,0.0,508617.0,493627.0,1767.0,0.0,0.0,491860.0,14990.0,0.0,0.0,7598.0,7393.0,0.0,2101127.0,106970.0,127929.0,-145707.0,-581.0,2012516.0,421958.0,421785.0,2609745.0,1313683.0,494108.0,819574.0,248364.0,30834.0,2808.0,22621.0,2773.0,1003.0,10737.0,136.0,177453.0,571210.0,55126.0,34752.0,0.0,0.0,0.0,0.0,20374.0,70653.0,0.0,0.0,0.0,7862.0,62791.0,555683.0,133898.0,421785.0,0.0,0.0,421785.0,2066.0,2066.0,0.0,0.0,421785.0,0.0,0.0,491444.0,421785.0,99194.0,59413.0,0.0,15471.0,0.0,-14063.0,48161.0,-62224.0,-388964.0,840711.0,1229676.0,-212732.0,0.0,212732.0,0.0,0.0,0.0,-110252.0,146806.0,36554.0,0.0,277342.0,M25
(주)강원랜드,035250,2011/12,973,남한규,강원도 정선군 사북읍 하이원길 265,4906,1998/06/29,12,225-81-10770,255619,500,213940500,0,안진회계법인,삼정회계법인,91,"예술, 스포츠 및 여가관련 서비스업",91,스포츠 및 오락관련 서비스업,2730284.0,1116718.0,1114472.0,47911.0,1030043.0,980000.0,0.0,0.0,50043.0,4762.0,0.0,31755.0,2246.0,1040.0,0.0,0.0,0.0,1206.0,0.0,0.0,1613566.0,198637.0,0.0,87877.0,1302069.0,93358.0,110537.0,706582.0,241963.0,1642.0,0.0,147987.0,41.0,112819.0,0.0,452082.0,439575.0,1885.0,0.0,0.0,437690.0,12506.0,0.0,0.0,11361.0,1145.0,0.0,2278202.0,106970.0,127929.0,-166809.0,0.0,2210113.0,395554.0,393401.0,2730284.0,1263651.0,530019.0,733632.0,232037.0,31708.0,1184.0,20783.0,2500.0,1209.0,10700.0,72.0,163882.0,501595.0,45779.0,37951.0,0.0,0.0,0.0,0.0,7828.0,35478.0,428.0,0.0,0.0,0.0,35051.0,511896.0,118495.0,393401.0,0.0,0.0,393401.0,1935.0,1935.0,0.0,0.0,393401.0,0.0,0.0,428912.0,393401.0,210012.0,64090.0,0.0,40074.0,0.0,-134426.0,-79807.0,-54620.0,-198767.0,1023296.0,1222064.0,-218788.0,0.0,218788.0,0.0,0.0,0.0,11357.0,36554.0,47911.0,0.0,0.0,M25
(주)강원랜드,035250,2012/12,973,남한규,강원도 정선군 사북읍 하이원길 265,4906,1998/06/29,12,225-81-10770,255619,500,213940500,0,안진회계법인,삼정회계법인,91,"예술, 스포츠 및 여가관련 서비스업",91,스포츠 및 오락관련 서비스업,2915386.0,1117339.0,1116138.0,79762.0,995797.0,815000.0,0.0,0.0,180797.0,5691.0,0.0,34888.0,1201.0,395.0,0.0,0.0,0.0,805.0,0.0,0.0,1798047.0,327161.0,20000.0,176730.0,1334113.0,94468.0,22045.0,787356.0,272714.0,1623.0,0.0,155907.0,64.0,136709.0,0.0,532225.0,516757.0,2233.0,0.0,0.0,514524.0,15468.0,0.0,0.0,14564.0,904.0,0.0,2383161.0,106970.0,129347.0,-174065.0,0.0,2320909.0,296350.0,296504.0,2915386.0,1292896.0,639098.0,653799.0,237009.0,35479.0,1442.0,16435.0,3989.0,1312.0,11477.0,145.0,166730.0,416789.0,48329.0,45208.0,0.0,0.0,0.0,0.0,3121.0,67763.0,648.0,0.0,0.0,0.0,67116.0,397355.0,100851.0,296504.0,0.0,0.0,296504.0,1461.0,1461.0,0.0,0.0,296504.0,0.0,0.0,458413.0,296504.0,221059.0,68067.0,0.0,45332.0,0.0,-13819.0,-86353.0,72534.0,-232183.0,1149417.0,1381601.0,-194378.0,0.0,194378.0,0.0,0.0,0.0,31851.0,47911.0,79762.0,0.0,0.0,M25
(주)강원랜드,035250,2013/12,973,남한규,강원도 정선군 사북읍 하이원길 265,4906,1998/06/29,12,225-81-10770,255619,500,213940500,0,안진회계법인,삼정회계법인,91,"예술, 스포츠 및 여가관련 서비스업",91,스포츠 및 오락관련 서비스업,3105430.0,1032979.0,1031486.0,129278.0,865035.0,750000.0,0.0,0.0,115035.0,5988.0,0.0,31185.0,1493.0,371.0,0.0,0.0,0.0,1123.0,0.0,0.0,2072451.0,584408.0,310000.0,106047.0,1327018.0,95192.0,25757.0,777515.0,261599.0,1460.0,0.0,165495.0,63.0,160961.0,0.0,581467.0,568327.0,2219.0,0.0,0.0,566108.0,13140.0,0.0,0.0,11342.0,1798.0,0.0,2523963.0,106970.0,129347.0,-174065.0,-932.0,2462643.0,295085.0,293129.0,3105430.0,1356906.0,718287.0,638619.0,240056.0,43994.0,2339.0,11351.0,2349.0,1955.0,12100.0,64.0,165903.0,398564.0,43617.0,40736.0,0.0,0.0,0.0,0.0,2880.0,52834.0,273.0,0.0,0.0,0.0,52561.0,389346.0,96217.0,293129.0,0.0,0.0,293129.0,1446.0,1446.0,0.0,0.0,293129.0,0.0,0.0,432140.0,293129.0,225920.0,75207.0,0.0,40759.0,0.0,-46150.0,-86536.0,40386.0,-229556.0,1060187.0,1289743.0,-153068.0,0.0,153068.0,0.0,0.0,0.0,49516.0,79762.0,129278.0,0.0,0.0,M25
(주)강원랜드,035250,2014/12,973,남한규,강원도 정선군 사북읍 하이원길 265,4906,1998/06/29,12,225-81-10770,255619,500,213940500,0,안진회계법인,대주회계법인,91,"예술, 스포츠 및 여가관련 서비스업",91,스포츠 및 오락관련 서비스업,3380462.0,1349602.0,1348397.0,93386.0,1211411.0,760000.0,0.0,0.0,451411.0,5091.0,0.0,38509.0,1205.0,441.0,0.0,0.0,0.0,764.0,0.0,0.0,2030860.0,568326.0,325000.0,58390.0,1284799.0,95129.0,41558.0,754075.0,232971.0,1089.0,0.0,159978.0,42.0,177692.0,0.0,664287.0,619817.0,3263.0,0.0,0.0,616554.0,44469.0,0.0,0.0,43524.0,946.0,0.0,2716175.0,106970.0,129347.0,-174065.0,873.0,2653051.0,338492.0,363816.0,3380462.0,1492291.0,713324.0,778968.0,252650.0,35702.0,2000.0,11560.0,1858.0,2749.0,10214.0,48.0,188518.0,526318.0,50190.0,44478.0,0.0,0.0,0.0,0.0,5712.0,76106.0,247.0,0.0,0.0,0.0,75858.0,500402.0,136586.0,363816.0,0.0,0.0,363816.0,1795.0,1795.0,0.0,0.0,363816.0,0.0,0.0,516729.0,363816.0,287214.0,73161.0,0.0,44519.0,0.0,-89781.0,-107819.0,18037.0,-404621.0,917112.0,1321734.0,-147999.0,0.0,147999.0,0.0,0.0,0.0,-35892.0,129278.0,93386.0,0.0,0.0,M25
(주)강원랜드,035250,2015/12,973,남한규,강원도 정선군 사북읍 하이원길 265,4906,1998/06/29,12,225-81-10770,255619,500,213940500,0,안진회계법인,대주회계법인,91,"예술, 스포츠 및 여가관련 서비스업",91,스포츠 및 오락관련 서비스업,3688060.0,1736168.0,1734546.0,103417.0,1587006.0,685000.0,0.0,0.0,902006.0,4791.0,0.0,39333.0,1622.0,590.0,0.0,0.0,0.0,1032.0,0.0,0.0,1951892.0,524408.0,160008.0,198986.0,1253601.0,96311.0,32826.0,759441.0,213334.0,777.0,0.0,150911.0,31.0,173852.0,0.0,690618.0,662837.0,3607.0,0.0,0.0,659230.0,27781.0,0.0,0.0,20568.0,7212.0,0.0,2997442.0,106970.0,129347.0,-174065.0,0.0,2935190.0,454632.0,430460.0,3688060.0,1630977.0,754752.0,876225.0,272340.0,39581.0,1472.0,9060.0,2164.0,2730.0,10532.0,108.0,206693.0,603885.0,45937.0,42410.0,0.0,0.0,0.0,0.0,3528.0,67108.0,227.0,0.0,0.0,0.0,66881.0,582714.0,152254.0,430460.0,0.0,0.0,430460.0,2123.0,2123.0,0.0,0.0,430460.0,0.0,0.0,581804.0,430460.0,281987.0,71198.0,0.0,43184.0,0.0,-87459.0,-116171.0,28712.0,-399445.0,1691256.0,2090701.0,-172328.0,0.0,172328.0,0.0,0.0,0.0,10031.0,93386.0,103417.0,0.0,0.0,M25
(주)강원랜드,035250,2016/12,973,남한규,강원도 정선군 사북읍 하이원길 265,4906,1998/06/29,12,225-81-10770,255619,500,213940500,0,안진회계법인,대주회계법인,91,"예술, 스포츠 및 여가관련 서비스업",91,스포츠 및 오락관련 서비스업,3975980.0,1799027.0,1797717.0,91359.0,1666389.0,1060000.0,0.0,0.0,606389.0,4197.0,0.0,35772.0,1310.0,439.0,0.0,0.0,0.0,871.0,0.0,0.0,2176953.0,740474.0,570000.0,53358.0,1254129.0,121235.0,52323.0,747128.0,189302.0,464.0,0.0,143677.0,24.0,182326.0,0.0,723242.0,717426.0,3084.0,0.0,0.0,714342.0,5816.0,0.0,0.0,4642.0,1174.0,0.0,3252738.0,106970.0,129347.0,-174065.0,0.0,3190486.0,454928.0,454999.0,3975980.0,1694575.0,782104.0,912471.0,287586.0,45665.0,1171.0,8091.0,1912.0,2262.0,11015.0,115.0,217357.0,624885.0,44058.0,39348.0,0.0,0.0,0.0,0.0,4710.0,71618.0,228.0,0.0,0.0,0.0,71390.0,597325.0,142327.0,454999.0,0.0,0.0,454999.0,2244.0,2244.0,0.0,0.0,454999.0,0.0,0.0,600687.0,454999.0,285868.0,72587.0,0.0,40053.0,0.0,-100127.0,-109129.0,9002.0,-414060.0,2085024.0,2499084.0,-198684.0,0.0,198684.0,0.0,0.0,0.0,-12058.0,103417.0,91359.0,0.0,0.0,M25
(주)강원랜드,035250,2017/12,973,남한규,강원도 정선군 사북읍 하이원길 265,4906,1998/06/29,12,225-81-10770,255619,500,213940500,0,안진회계법인,한영회계법인,91,"예술, 스포츠 및 여가관련 서비스업",91,스포츠 및 오락관련 서비스업,4182527.0,2155755.0,2154455.0,103274.0,1994493.0,1540000.0,0.0,0.0,454493.0,4636.0,0.0,52052.0,1300.0,557.0,0.0,0.0,0.0,743.0,0.0,0.0,2026773.0,575302.0,310000.0,53263.0,1253404.0,121240.0,90627.0,733805.0,167244.0,546.0,0.0,139942.0,18.0,198049.0,0.0,681738.0,680591.0,3361.0,0.0,0.0,677230.0,1147.0,0.0,0.0,0.0,1147.0,0.0,3500790.0,106970.0,129347.0,-174065.0,0.0,3438538.0,448979.0,437096.0,4182527.0,1602902.0,785131.0,817770.0,281946.0,46653.0,3601.0,7717.0,1946.0,2187.0,12137.0,64.0,207642.0,535825.0,68839.0,37474.0,0.0,0.0,0.0,0.0,31365.0,38914.0,197.0,0.0,0.0,0.0,38717.0,565750.0,128654.0,437096.0,0.0,0.0,437096.0,2156.0,2156.0,0.0,0.0,0.0,0.0,0.0,465969.0,437096.0,252800.0,72365.0,0.0,53521.0,0.0,-170407.0,-105961.0,-64445.0,-253342.0,1430740.0,1684082.0,-200712.0,0.0,200712.0,0.0,0.0,0.0,11915.0,91359.0,103274.0,0.0,0.0,M25
(주)강원랜드,035250,2018/12,973,남한규,강원도 정선군 사북읍 하이원길 265,4906,1998/06/29,12,225-81-10770,255619,500,213940500,0,안진회계법인,한영회계법인,91,"예술, 스포츠 및 여가관련 서비스업",91,스포츠 및 오락관련 서비스업,4229631.0,1749493.0,1748349.0,47368.0,1642541.0,1210000.0,0.0,0.0,432541.0,9729.0,0.0,48711.0,1144.0,422.0,0.0,0.0,0.0,722.0,0.0,0.0,2480138.0,1005253.0,400000.0,53293.0,1299058.0,122777.0,26997.0,809224.0,197540.0,705.0,0.0,141816.0,443.0,175384.0,0.0,643178.0,635168.0,3562.0,0.0,0.0,631607.0,8010.0,0.0,0.0,0.0,8010.0,0.0,3586453.0,106970.0,129347.0,-174065.0,0.0,3524201.0,286642.0,297320.0,4229631.0,1436042.0,727186.0,708857.0,274005.0,49277.0,3347.0,9406.0,2156.0,2251.0,12605.0,49.0,194913.0,434852.0,53338.0,43843.0,0.0,0.0,0.0,0.0,9495.0,77419.0,217.0,0.0,0.0,0.0,77203.0,410771.0,113451.0,297320.0,0.0,0.0,297320.0,1467.0,1467.0,0.0,0.0,297320.0,,,366068.0,297320.0,246976.0,64745.0,0.0,49845.0,0.0,-128383.0,-92269.0,-36114.0,-205029.0,2297036.0,2502064.0,-200712.0,0.0,200712.0,-16234.0,0.0,0.0,-55906.0,103274.0,47368.0,0.0,0.0,M25
(주)강원랜드,035250,2019/12,973,남한규,강원도 정선군 사북읍 하이원길 265,4906,1998/06/29,12,225-81-10770,255619,500,213940500,0,안진회계법인,한영회계법인,91,"예술, 스포츠 및 여가관련 서비스업",91,스포츠 및 오락관련 서비스업,4436462.0,1868366.0,1864734.0,59133.0,1758749.0,1670000.0,0.0,0.0,88749.0,7787.0,0.0,39065.0,3631.0,582.0,480.0,0.0,0.0,2570.0,0.0,0.0,2568096.0,1061909.0,250000.0,53269.0,1353732.0,123612.0,36221.0,804520.0,187464.0,698.0,63956.0,137261.0,3446.0,149008.0,0.0,718029.0,650508.0,3858.0,0.0,0.0,646650.0,67521.0,0.0,0.0,1841.0,65680.0,0.0,3718433.0,106970.0,129347.0,-174065.0,0.0,3656181.0,314623.0,335610.0,4436462.0,1517612.0,734363.0,783249.0,280524.0,42567.0,2593.0,6338.0,2245.0,2348.0,17968.0,60.0,208670.0,502725.0,91294.0,43415.0,0.0,0.0,0.0,0.0,47878.0,104138.0,1819.0,0.0,0.0,0.0,102319.0,489881.0,154271.0,335610.0,0.0,0.0,335610.0,1655.0,1655.0,0.0,0.0,335610.0,,,408995.0,335610.0,249954.0,71626.0,0.0,83315.0,0.0,-93254.0,-45056.0,-48198.0,-212758.0,1850560.0,2063318.0,-184472.0,0.0,184472.0,0.0,0.0,0.0,11765.0,47368.0,59133.0,0.0,0.0,M25
